schulnummer,Schulform,Schulbezeichnung_1,Schulbezeichnung_2,Schulbezeichnung_3,kurzbezeichnung,Bezirksregierung,plz,ort,strasse,Telefonvorwahl,Telefon,Faxvorwahl,Fax,email,website,Rechtsform,Traegernummer,gemeindeschluessel,Schulbetriebsschluessel,Schulbetriebsdatum,EPSG,UTMRechtswert,UTMHochwert,Unnamed: 24,latitude,longitude,schulform_name,traegerschaft,bezirksregierung_name,schulname,telefon,stadt,data_source,data_retrieved,bundesland,sozialindexstufe,school_type,is_cross_grade,cross_grade_note,traffic_accidents_total,traffic_accidents_per_year,traffic_accidents_fatal,traffic_accidents_serious,traffic_accidents_minor,traffic_accidents_bicycle,traffic_accidents_pedestrian,traffic_accidents_school_hours,traffic_nearest_accident_m,traffic_data_years,traffic_data_source
100219,15.0,Erzbischöfliche Gesamtschule am,Bildungscampus Köln-Kalk,in Köln im Aufbau,"Köln, GE Erzbischöfliche Gesamtschule",3.0,51103,Köln,Christian-Sünner-Str. 5,221.0,22211511.0,,,100219@schule.nrw.de,,2.0,71110.0,5315000.0,1.0,01.08.2024,,360142.0,5644488.0,,50.935043,7.009553,Gesamtschule,Privat,Köln,Erzbischöfliche Gesamtschule am Bildungscampus Köln-Kalk in Köln im Aufbau,22122211511.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,,Gesamtschule,,,47,15.7,0,5,42,25,6,28,173,"2024,2023,2022",Unfallatlas
100231,20.0,Gymnasium Neustadt-Nord,,,"Köln, Gym Neustadt-Nord",3.0,50678,Köln,Ubierring 45,221.0,47441050.0,,,100231@schule.nrw.de,https://www.gymnasium-neustadt-nord.de,1.0,10182.0,5315000.0,1.0,01.08.2025,,356957.0,5643168.0,,50.922399,6.964773,Gymnasium,Öffentlich,Köln,Gymnasium Neustadt-Nord,22147441050.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,,Gymnasium,,,130,43.3,0,9,121,79,19,63,14,"2024,2023,2022",Unfallatlas
100233,20.0,Gymnasium Brügelmannstraße,,,"Köln, Gym Brügelmannstraße",3.0,50679,Köln,Brügelmannstr. 10,,,,,100233@schule.nrw.de,,1.0,10182.0,5315000.0,1.0,01.08.2025,,358410.0,5645454.0,,50.943302,6.984545,Gymnasium,Öffentlich,Köln,Gymnasium Brügelmannstraße,,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,,Gymnasium,,,83,27.7,1,8,74,16,4,48,89,"2024,2023,2022",Unfallatlas
100235,15.0,Gesamtschule Kalk,,,"Köln, GE Kalk",3.0,50679,Köln,Brügelmannstr. 10,,,,,100235@schule.nrw.de,,1.0,10182.0,5315000.0,1.0,01.08.2025,,358410.0,5645454.0,,50.943302,6.984545,Gesamtschule,Öffentlich,Köln,Gesamtschule Kalk,,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,,Gesamtschule,,,83,27.7,1,8,74,16,4,48,89,"2024,2023,2022",Unfallatlas
136281,4.0,Städt. Gem. Hauptschule,,,"Düsseldorf, GH Graf-Recke-Str.",1.0,40235,Düsseldorf,Graf-Recke-Str. 230,211.0,8923060.0,211.0,8929659.0,136281@schule.nrw.de,https://duesselrecken.de/,1.0,10042.0,5111000.0,1.0,01.08.1973,EPSG:25832,348067.0,5679439.0,,51.246055,6.823128,Hauptschule,Öffentlich,Düsseldorf,Städt. Gem. Hauptschule,2118923060.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,7.0,Hauptschule,,,25,8.3,0,3,22,10,3,16,93,"2024,2023,2022",Unfallatlas
136323,4.0,Städtische Katholische Hauptschule,,,"Düsseldorf, KH Itterstr.",1.0,40589,Düsseldorf,Itterstr. 16,211.0,8924721.0,211.0,8924735.0,136323@schule.nrw.de,http://www.khs-itterstrasse.de,1.0,10042.0,5111000.0,1.0,01.08.1973,EPSG:25832,348372.0,5671509.0,,51.174879,6.830847,Hauptschule,Öffentlich,Düsseldorf,Städtische Katholische Hauptschule,2118924721.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,9.0,Hauptschule,,,49,16.3,0,5,44,21,11,23,58,"2024,2023,2022",Unfallatlas
136359,4.0,Dumont-Lindemann-Schule,Städt. Gem. Hauptschule,,"Düsseldorf, GH Dumont-Lindemann",1.0,40215,Düsseldorf,Weberstr. 3,211.0,8923130.0,211.0,8929626.0,136359@schule.nrw.de,http://www.dumont-lindemann-schule.de,1.0,10042.0,5111000.0,1.0,01.08.1973,EPSG:25832,344892.0,5675508.0,,51.209879,6.779375,Hauptschule,Öffentlich,Düsseldorf,Dumont-Lindemann-Schule Städt. Gem. Hauptschule,2118923130.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,8.0,Hauptschule,,,146,48.7,0,17,129,62,23,75,55,"2024,2023,2022",Unfallatlas
136384,4.0,Schule am Eller Forst,Städt. Gemeinschaftshauptschule,,"Düsseldorf, GH Schule am Eller Forst",1.0,40627,Düsseldorf,Vennhauser Allee 167,211.0,8997660.0,211.0,8929344.0,136384@schule.nrw.de,http://www.ghs-bernburger.de,1.0,10042.0,5111000.0,1.0,01.08.1973,EPSG:25832,350373.0,5674935.0,,51.206192,6.858024,Hauptschule,Öffentlich,Düsseldorf,Schule am Eller Forst Städt. Gemeinschaftshauptschule,2118997660.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,8.0,Hauptschule,,,20,6.7,0,1,19,2,1,9,62,"2024,2023,2022",Unfallatlas
136440,4.0,St.-Benedikt-Schule,Städt. Kath. Hauptschule,,"Düsseldorf, KH St.-Benedikt-Schule",1.0,40210,Düsseldorf,Charlottenstr. 110,211.0,8992875.0,211.0,8929353.0,136440@schule.nrw.de,http://www.st-benedikt-schule.de,1.0,10042.0,5111000.0,1.0,01.08.1973,EPSG:25832,345713.0,5677037.0,,51.22384,6.790462,Hauptschule,Öffentlich,Düsseldorf,St.-Benedikt-Schule Städt. Kath. Hauptschule,2118992875.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,8.0,Hauptschule,,,236,78.7,1,31,204,75,72,127,51,"2024,2023,2022",Unfallatlas
136505,4.0,Städtische Gemeinschaftshauptschule,Benrath,- Sekundarstufe I -,"Düsseldorf, GH Benrath",1.0,40597,Düsseldorf,Melanchthonstr. 2,211.0,8921828.0,,,136505@schule.nrw.de,http://www.ghs-benrath.de,1.0,10042.0,5111000.0,1.0,01.08.1973,EPSG:25832,350909.0,5670539.0,,51.16683,6.867516,Hauptschule,Öffentlich,Düsseldorf,Städtische Gemeinschaftshauptschule Benrath - Sekundarstufe I -,2118921828.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,9.0,Hauptschule,,,31,10.3,0,5,26,12,6,24,84,"2024,2023,2022",Unfallatlas
136566,4.0,Wilhelm-Ferdinand-Schüßler-Tagesschule,Städt. Gemeinschaftshauptschule,Sekundarstufe I,"Düsseldorf, GH Rather Kreuzweg",1.0,40472,Düsseldorf,Rather Kreuzweg 21,211.0,8992881.0,211.0,8929305.0,136566@schule.nrw.de,http://wfs-tagesschule.de/,1.0,10042.0,5111000.0,1.0,01.08.1973,EPSG:25832,347071.0,5681331.0,,51.262789,6.80806,Hauptschule,Öffentlich,Düsseldorf,Wilhelm-Ferdinand-Schüßler-Tagesschule Städt. Gemeinschaftshauptschule Sekundarstufe I,2118992881.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,9.0,Hauptschule,,,60,20.0,0,4,56,23,17,40,26,"2024,2023,2022",Unfallatlas
140843,4.0,Kurt-Tucholsky-Schule,Städt. Gem. Hauptschule,,"Köln, GH Kurt-Tucholsky-Schule",3.0,51109,Köln,Helene-Weber-Platz 3-5,221.0,33779930.0,221.0,337799321.0,140843@schule.nrw.de,http://www.kths-koeln.de/,1.0,10182.0,5315000.0,1.0,01.08.1973,EPSG:25832,363517.0,5644402.0,,50.935079,7.057589,Hauptschule,Öffentlich,Köln,Kurt-Tucholsky-Schule Städt. Gem. Hauptschule,22133779930.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,9.0,Hauptschule,,,12,4.0,0,3,9,0,5,7,291,"2024,2023,2022",Unfallatlas
140867,4.0,Städt. Gem. Hauptschule,Bilderstöckchen,,"Köln, GH Bilderstöckchen",3.0,50739,Köln,Reutlinger Str. 49,221.0,33759240.0,221.0,337592430.0,140867@schule.nrw.de,https://ghsbilderstoeckchen.koeln/,1.0,10182.0,5315000.0,1.0,01.08.1973,EPSG:25832,354853.0,5648368.0,,50.968605,6.932785,Hauptschule,Öffentlich,Köln,Städt. Gem. Hauptschule Bilderstöckchen,22133759240.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,8.0,Hauptschule,,,36,12.0,0,4,32,20,7,26,66,"2024,2023,2022",Unfallatlas
140879,4.0,Ursula-Kuhr-Schule,Städt. Gem. Hauptschule,,"Köln, GH Ursula-Kuhr-Schule",3.0,50767,Köln,Volkhovener Weg 140,221.0,5704320.0,221.0,57043222.0,140879@schule.nrw.de,http://www.ursula-kuhr-schule.de,1.0,10182.0,5315000.0,1.0,01.08.1973,EPSG:25832,352524.0,5652811.0,,51.00794,6.897836,Hauptschule,Öffentlich,Köln,Ursula-Kuhr-Schule Städt. Gem. Hauptschule,2215704320.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,6.0,Hauptschule,,,8,2.7,1,1,6,4,2,4,102,"2024,2023,2022",Unfallatlas
140892,4.0,Adolph-Kolping-Schule,Städt. Kath. Hauptschule,,"Köln, KH Adolph-Kolping-Schule",3.0,51103,Köln,Falckensteinstr. 34,221.0,9658350.0,221.0,8903132.0,140892@schule.nrw.de,http://akskoeln.de,1.0,10182.0,5315000.0,1.0,01.08.1973,EPSG:25832,359885.0,5645524.0,,50.944291,7.0055,Hauptschule,Öffentlich,Köln,Adolph-Kolping-Schule Städt. Kath. Hauptschule,2219658350.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,9.0,Hauptschule,,,94,31.3,0,10,84,33,15,43,25,"2024,2023,2022",Unfallatlas
140909,4.0,Städtische Katholische Hauptschule,,,"Köln, KH Großer Griechenmarkt",3.0,50676,Köln,Großer Griechenmarkt 76,221.0,9215830.0,221.0,92158320.0,140909@schule.nrw.de,http://www.griechenmarkt.de/,1.0,10182.0,5315000.0,1.0,01.08.1973,EPSG:25832,355980.0,5644274.0,,50.932095,6.950445,Hauptschule,Öffentlich,Köln,Städtische Katholische Hauptschule,2219215830.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,7.0,Hauptschule,,,218,72.7,1,25,192,99,31,115,107,"2024,2023,2022",Unfallatlas
140960,4.0,Städt. Gem. Hauptschule,Baadenberger Str.,,"Köln, GH Baadenberger Str.",3.0,50825,Köln,Baadenberger Str. 111,221.0,261080.0,221.0,2610820.0,140960@schule.nrw.de,http://www.ghs-baadenberger.com/,1.0,10182.0,5315000.0,1.0,01.08.1973,EPSG:25832,353849.0,5647926.0,,50.964379,6.918674,Hauptschule,Öffentlich,Köln,Städt. Gem. Hauptschule Baadenberger Str.,221261080.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,8.0,Hauptschule,,,55,18.3,1,13,41,23,4,28,48,"2024,2023,2022",Unfallatlas
141021,4.0,Stadt Köln,Städt. Katholische Hauptschule am Rhein,Sekundarstufe I,"Köln, KH Kath. Hauptschule am Rhein",3.0,50668,Köln,Niederichstr. 1-3,221.0,492249830.0,221.0,492249843.0,141021@schule.nrw.de,http://www.khs-buelow.de/,1.0,10182.0,5315000.0,1.0,01.08.1973,EPSG:25832,356914.0,5646067.0,,50.948441,6.963023,Hauptschule,Öffentlich,Köln,Stadt Köln Städt. Katholische Hauptschule am Rhein Sekundarstufe I,221492249830.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,7.0,Hauptschule,,,80,26.7,0,13,67,39,17,46,108,"2024,2023,2022",Unfallatlas
141070,4.0,Städt. Gem. Hauptschule,Tiefentalstr.,,"Köln, GH Tiefentalstr.",3.0,51063,Köln,Tiefentalstr. 66,221.0,2855810.0,221.0,28558129.0,141070@schule.nrw.de,http://www.ghs-tiefental.de,1.0,10182.0,5315000.0,1.0,01.08.1973,EPSG:25832,360225.0,5648968.0,,50.975325,7.009014,Hauptschule,Öffentlich,Köln,Städt. Gem. Hauptschule Tiefentalstr.,2212855810.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,9.0,Hauptschule,,,97,32.3,0,17,80,32,17,47,54,"2024,2023,2022",Unfallatlas
141082,4.0,Stadt Köln,Nelson-Mandela-Schule,Gemeinschaftshauptschule  -Sek.I-,"Köln, GH Nelson-Mandela-Schule",3.0,51067,Köln,Wuppertaler Str. 19,221.0,22135181.0,221.0,22135170.0,141082@schule.nrw.de,http://www.nelson-mandela-schule-koeln.de,1.0,10182.0,5315000.0,1.0,01.08.1973,EPSG:25832,361174.0,5647249.0,,50.960106,7.023179,Hauptschule,Öffentlich,Köln,Stadt Köln Nelson-Mandela-Schule Gemeinschaftshauptschule  -Sek.I-,22122135181.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,9.0,Hauptschule,,,30,10.0,0,1,29,9,9,18,185,"2024,2023,2022",Unfallatlas
141860,4.0,Johann-Amos-Comenius-Schule,Städt. Gem. Hauptschule Köln-Porz,- Sekundarstufe I -,"Köln, GH Johann-Amos-Comenius",3.0,51143,Köln,Heerstr. 7,2203.0,9920122.0,2203.0,9920125.0,141860@schule.nrw.de,http://www.jac-koeln.de/,1.0,10182.0,5315000.0,1.0,01.08.1973,EPSG:25832,363085.0,5636819.0,,50.866824,7.054288,Hauptschule,Öffentlich,Köln,Johann-Amos-Comenius-Schule Städt. Gem. Hauptschule Köln-Porz - Sekundarstufe I -,22039920122.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,8.0,Hauptschule,,,13,4.3,0,2,11,6,5,8,103,"2024,2023,2022",Unfallatlas
141872,4.0,Kopernikusschule,Städt. Gem. Hauptschule,,"Köln, GH Kopernikusschule",3.0,51145,Köln,Bonner Str. 40,2203.0,18630.0,2203.0,186320.0,141872@schule.nrw.de,http://www.kopernikushs-koeln.de,1.0,10182.0,5315000.0,1.0,01.08.1973,EPSG:25832,364345.0,5639140.0,,50.887982,7.071322,Hauptschule,Öffentlich,Köln,Kopernikusschule Städt. Gem. Hauptschule,220318630.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,9.0,Hauptschule,,,25,8.3,0,2,23,14,4,12,59,"2024,2023,2022",Unfallatlas
