schulnummer,Schulform,Schulbezeichnung_1,Schulbezeichnung_2,Schulbezeichnung_3,kurzbezeichnung,Bezirksregierung,plz,ort,strasse,Telefonvorwahl,Telefon,Faxvorwahl,Fax,email,website,Rechtsform,Traegernummer,gemeindeschluessel,Schulbetriebsschluessel,Schulbetriebsdatum,EPSG,UTMRechtswert,UTMHochwert,Unnamed: 24,latitude,longitude,schulform_name,traegerschaft,bezirksregierung_name,schulname,telefon,stadt,data_source,data_retrieved,bundesland,sozialindexstufe,school_type,is_cross_grade,cross_grade_note,traffic_accidents_total,traffic_accidents_per_year,traffic_accidents_fatal,traffic_accidents_serious,traffic_accidents_minor,traffic_accidents_bicycle,traffic_accidents_pedestrian,traffic_accidents_school_hours,traffic_nearest_accident_m,traffic_data_years,traffic_data_source
100158,2.0,Städtische Katholische Grundschule,Primarstufe mit Montessorizweig,,"Düsseldorf, KG Josef-Kleesattel-Str.",1.0,40595,Düsseldorf,Josef-Kleesattel-Str. 13,211.0,7393600.0,211.0,7393601.0,100158@schule.nrw.de,http://schulen.duesseldorf.de/gs-josefkleesattelstr,1.0,10042.0,5111000.0,1.0,01.08.1973,EPSG:25832,352341.0,5668096.0,,51.145248,6.888985,Grundschule,Öffentlich,Düsseldorf,Städtische Katholische Grundschule Primarstufe mit Montessorizweig,2117393600.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,6.0,Grundschule,,,20,6.7,0,7,13,10,2,11,179,"2024,2023,2022",Unfallatlas
100159,2.0,Gem. Grundschule Alfons-Nowak-Straße,,,"Köln, GG Alfons-Nowak-Straße",3.0,50858,Köln,Alfons-Nowak-Str. 2,221.0,7161250.0,221.0,71612520.0,100159@schule.nrw.de,https://www.alfons-nowak-strasse.de,1.0,10182.0,5315000.0,1.0,01.08.2023,,349599.0,5644243.0,,50.930188,6.859716,Grundschule,Öffentlich,Köln,Gem. Grundschule Alfons-Nowak-Straße,2217161250.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,3.0,Grundschule,,,20,6.7,0,4,16,12,3,13,46,"2024,2023,2022",Unfallatlas
100160,2.0,Grundschule Kaiserswerth,Städt. Gem. Grundschule Fliednerstraße,- Primarstufe -,"Düsseldorf, GG Kaiserswerth",1.0,40489,Düsseldorf,Fliednerstr. 32,211.0,8923642.0,211.0,8923645.0,100160@schule.nrw.de,http://www.grundschule-kaiserswerth.de,1.0,10042.0,5111000.0,1.0,01.08.1972,EPSG:25832,342329.0,5685867.0,,51.302254,6.738147,Grundschule,Öffentlich,Düsseldorf,Grundschule Kaiserswerth Städt. Gem. Grundschule Fliednerstraße - Primarstufe -,2118923642.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,3.0,Grundschule,,,30,10.0,0,2,28,13,7,18,120,"2024,2023,2022",Unfallatlas
100161,2.0,"Offene Grund-Schule Köln, Staatl.gen.",private Ersatzschule als inklusive,Gem.Grundschule d. OSK gGmbH,"Köln, GG Offene-Grundschule Köln",3.0,50999,Köln,Sürther Str. 199,221.0,337703101.0,,,100161@schule.nrw.de,https://www.offene-schule-koeln.de,2.0,82508.0,5315000.0,1.0,01.08.2022,,359708.0,5637441.0,,50.871605,7.006089,Grundschule,Privat,Köln,"Offene Grund-Schule Köln, Staatl.gen. private Ersatzschule als inklusive Gem.Grundschule d. OSK gGmbH",221337703101.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,,Grundschule,,,39,13.0,0,3,36,18,1,28,121,"2024,2023,2022",Unfallatlas
100168,2.0,Freie Naturschulen Köln - Grundschule,Staatl.gen.priv. Ersatzs. a. inklusive,Gem.Grundschule d. Vivimos gUG,"Köln, GG Freie Naturschulen",3.0,50996,Köln,An der Wachsfabrik 25,2236.0,8846800.0,,,100168@schule.nrw.de,https://www.freie-naturschulen-koeln.com/,2.0,10041.0,5315000.0,1.0,10.08.2022,,359211.0,5637187.0,,50.869201,6.999128,Grundschule,Privat,Köln,Freie Naturschulen Köln - Grundschule Staatl.gen.priv. Ersatzs. a. inklusive Gem.Grundschule d. Vivimos gUG,22368846800.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,,Grundschule,,,34,11.3,0,4,30,13,0,23,123,"2024,2023,2022",Unfallatlas
100171,2.0,Städt. Kath. Grundschule,- Primarstufe -,,"Düsseldorf, KG Unter den Eichen",1.0,40625,Düsseldorf,Unter den Eichen 26,211.0,8928292.0,211.0,8929562.0,100171@schule.nrw.de,http://www.kgs-unterdeneichen.de,1.0,10042.0,5111000.0,1.0,01.08.1973,EPSG:25832,350425.0,5677883.0,,51.232696,6.857538,Grundschule,Öffentlich,Düsseldorf,Städt. Kath. Grundschule - Primarstufe -,2118928292.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,3.0,Grundschule,,,37,12.3,0,3,34,9,9,23,169,"2024,2023,2022",Unfallatlas
100183,2.0,Christophorus-Schule,Städt. Kath. Grundschule,- Primarstufe -,"Düsseldorf, KG Christophorus",1.0,40591,Düsseldorf,Werstener Friedhofstr. 10,211.0,8926170.0,211.0,8926175.0,100183@schule.nrw.de,https://www.christophorus-grundschule.de/,1.0,10042.0,5111000.0,1.0,01.08.1973,EPSG:25832,348182.0,5672765.0,,51.186115,6.8276,Grundschule,Öffentlich,Düsseldorf,Christophorus-Schule Städt. Kath. Grundschule - Primarstufe -,2118926170.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,3.0,Grundschule,,,32,10.7,0,2,30,12,4,15,44,"2024,2023,2022",Unfallatlas
100213,2.0,Henri-Dunant-Schule,Städt. Gem. Grundschule,- Primarstufe -,"Düsseldorf, GG Henri-Dunant-Schule",1.0,40591,Düsseldorf,Rheindorfer Weg 20,211.0,8924350.0,211.0,8924352.0,100213@schule.nrw.de,http://www.gs-rheindorferweg.schulen.duesseldorf.de/,1.0,10042.0,5111000.0,1.0,01.08.1973,EPSG:25832,347268.0,5673248.0,,51.190212,6.814326,Grundschule,Öffentlich,Düsseldorf,Henri-Dunant-Schule Städt. Gem. Grundschule - Primarstufe -,2118924350.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,2.0,Grundschule,,,63,21.0,0,14,49,14,12,35,23,"2024,2023,2022",Unfallatlas
100218,2.0,Grundschule Friedrich-Karl-Straße,,,"Köln, GG Friedrich-Karl-Straße",3.0,50737,Köln,Friedrich-Karl-Str. 64,221.0,474410610.0,,,100218@schule.nrw.de,,1.0,10182.0,5315000.0,1.0,01.08.2025,,356442.0,5648917.0,,50.973937,6.955184,Grundschule,Öffentlich,Köln,Grundschule Friedrich-Karl-Straße,221474410610.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,,Grundschule,,,82,27.3,0,7,75,41,9,50,85,"2024,2023,2022",Unfallatlas
100225,2.0,Städt. Gem. Grundschule,- Primarstufe -,,"Düsseldorf, GG Bingener Weg",1.0,40229,Düsseldorf,Bingener Weg 10,211.0,8924378.0,211.0,8924385.0,100225@schule.nrw.de,http://www.schulen.duesseldorf.de/gs-bingenerweg/,1.0,10042.0,5111000.0,1.0,01.08.1973,EPSG:25832,347676.0,5674424.0,,51.200888,6.819662,Grundschule,Öffentlich,Düsseldorf,Städt. Gem. Grundschule - Primarstufe -,2118924378.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,5.0,Grundschule,,,12,4.0,0,1,11,4,2,11,79,"2024,2023,2022",Unfallatlas
100237,2.0,Städt. Gem. Grundschule,- Primarstufe -,,"Düsseldorf, GG Gumbertstr.",1.0,40229,Düsseldorf,Gumbertstr. 191,211.0,9215317.0,211.0,2202122.0,100237@schule.nrw.de,https://gumbertschule.de/,1.0,10042.0,5111000.0,1.0,01.07.1973,EPSG:25832,349380.0,5674304.0,,51.200261,6.844084,Grundschule,Öffentlich,Düsseldorf,Städt. Gem. Grundschule - Primarstufe -,2119215317.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,8.0,Grundschule,,,85,28.3,2,8,75,23,22,51,60,"2024,2023,2022",Unfallatlas
100250,2.0,St. -Peter-Schule,Städt. Kath. Grundschule,- Primarstufe -,"Düsseldorf, KG St. -Peter",1.0,40215,Düsseldorf,Jahnstr. 97,211.0,8924741.0,211.0,8924746.0,100250@schule.nrw.de,http://www.st-peter-schule-duesseldorf.de,1.0,10042.0,5111000.0,1.0,01.08.1973,EPSG:25832,344980.0,5675726.0,,51.211862,6.78054,Grundschule,Öffentlich,Düsseldorf,St. -Peter-Schule Städt. Kath. Grundschule - Primarstufe -,2118924741.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,6.0,Grundschule,,,168,56.0,0,21,147,53,29,90,125,"2024,2023,2022",Unfallatlas
100262,2.0,St. Michael Schule,Städt. Kath. Grundschule,- Primarstufe -,"Düsseldorf, KG St. Michael Schule",1.0,40231,Düsseldorf,Kempgensweg 65,211.0,8921726.0,211.0,8929434.0,100262@schule.nrw.de,https://www.gs-kempgensweg.de/,1.0,10042.0,5111000.0,1.0,01.08.1973,EPSG:25832,348307.0,5675212.0,,51.208136,6.828354,Grundschule,Öffentlich,Düsseldorf,St. Michael Schule Städt. Kath. Grundschule - Primarstufe -,2118921726.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,9.0,Grundschule,,,78,26.0,0,9,69,17,20,42,98,"2024,2023,2022",Unfallatlas
100274,2.0,Franz-Boehm-Schule,Städtische Katholische Grundschule,- Primarstufe -,"Düsseldorf, KG Franz-Boehm-Schule",1.0,40627,Düsseldorf,Kamper Weg 291,211.0,8927910.0,211.0,8927915.0,100274@schule.nrw.de,http://www.grundschule-kamper-weg.de,1.0,10042.0,5111000.0,1.0,01.08.1973,EPSG:25832,350712.0,5676059.0,,51.216381,6.862405,Grundschule,Öffentlich,Düsseldorf,Franz-Boehm-Schule Städtische Katholische Grundschule - Primarstufe -,2118927910.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,4.0,Grundschule,,,30,10.0,0,5,25,13,8,18,48,"2024,2023,2022",Unfallatlas
100286,2.0,St. Apollinaris Schule,Städtische Katholische Grundschule,- Primarstufe -,"Düsseldorf, KG St. Apollinaris Schule",1.0,40589,Düsseldorf,Itterstr. 16,211.0,8924726.0,211.0,8924736.0,100286@schule.nrw.de,http://www.apollinarisschule.de,1.0,10042.0,5111000.0,1.0,01.08.1973,EPSG:25832,348372.0,5671509.0,,51.174879,6.830847,Grundschule,Öffentlich,Düsseldorf,St. Apollinaris Schule Städtische Katholische Grundschule - Primarstufe -,2118924726.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,6.0,Grundschule,,,49,16.3,0,5,44,21,11,23,58,"2024,2023,2022",Unfallatlas
100298,2.0,Städtische Katholische Grundschule,Lohausen,- Primarstufe -,"Düsseldorf, KG Lohausen",1.0,40474,Düsseldorf,Im Grund 78,211.0,8992798.0,211.0,8929433.0,100298@schule.nrw.de,http://www.kleine-gelbe-schule.de,1.0,10042.0,5111000.0,1.0,01.08.1973,EPSG:25832,342189.0,5682912.0,,51.275664,6.737446,Grundschule,Öffentlich,Düsseldorf,Städtische Katholische Grundschule Lohausen - Primarstufe -,2118992798.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,4.0,Grundschule,,,5,1.7,0,0,5,4,0,2,402,"2024,2023,2022",Unfallatlas
100304,2.0,Städtische Katholische Grundschule,Mettmanner Straße,- Primarstufe -,"Düsseldorf, KG Mettmanner Straße",1.0,40233,Düsseldorf,Hubbelrather Str. 13,211.0,8997971.0,211.0,8929449.0,100304@schule.nrw.de,https://kgs-mettmannerstrasse.de/,1.0,10042.0,5111000.0,1.0,01.08.1973,EPSG:25832,346843.0,5676926.0,,51.223147,6.806679,Grundschule,Öffentlich,Düsseldorf,Städtische Katholische Grundschule Mettmanner Straße - Primarstufe -,2118997971.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,8.0,Grundschule,,,157,52.3,0,15,142,57,25,91,59,"2024,2023,2022",Unfallatlas
100316,2.0,Städt. Kath. Grundschule,- Primarstufe -,,"Düsseldorf, KG Höhenstr.",1.0,40227,Düsseldorf,Höhenstr. 5,211.0,8928261.0,211.0,8929182.0,100316@schule.nrw.de,http://www.kgs-hoehenstrasse.de/,1.0,10042.0,5111000.0,1.0,01.08.1973,EPSG:25832,346329.0,5676194.0,,51.216431,6.799638,Grundschule,Öffentlich,Düsseldorf,Städt. Kath. Grundschule - Primarstufe -,2118928261.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,8.0,Grundschule,,,160,53.3,0,22,138,68,42,101,140,"2024,2023,2022",Unfallatlas
100328,2.0,Gutenberg Schule,Städt. Gem. Grundschule,,"Düsseldorf, GG Gutenberg Schule",1.0,40235,Düsseldorf,Grafenberger Allee 384,211.0,8924469.0,211.0,8924467.0,100328@schule.nrw.de,http://www.gutenbergschule-duesseldorf.de,1.0,10042.0,5111000.0,1.0,01.08.1973,EPSG:25832,348138.0,5678851.0,,51.24079,6.824394,Grundschule,Öffentlich,Düsseldorf,Gutenberg Schule Städt. Gem. Grundschule,2118924469.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,3.0,Grundschule,,,60,20.0,1,4,55,15,7,36,80,"2024,2023,2022",Unfallatlas
100330,2.0,Städt. Gem. Grundschule Urdenbach,,,"Düsseldorf, GG Urdenbach",1.0,40593,Düsseldorf,Garather Str. 16,211.0,8924450.0,211.0,8924460.0,100330@schule.nrw.de,http://www.ggs-garather-strasse.de,1.0,10042.0,5111000.0,1.0,01.08.1973,EPSG:25832,351137.0,5668271.0,,51.146509,6.871713,Grundschule,Öffentlich,Düsseldorf,Städt. Gem. Grundschule Urdenbach,2118924450.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,2.0,Grundschule,,,10,3.3,0,0,10,3,3,6,27,"2024,2023,2022",Unfallatlas
100365,2.0,Volker-Rosin-Schule,Städt. Gemeinschaftsg. Arnstadter Weg,- Primarstufe -,"Düsseldorf, GG Volker-Rosin-Schule",1.0,40627,Düsseldorf,Arnstadter Weg 6-16,211.0,8926420.0,211.0,8926425.0,100365@schule.nrw.de,http://www.schulen.duesseldorf.de/gs-arnstadterweg,1.0,10042.0,5111000.0,1.0,01.08.1973,EPSG:25832,350024.0,5676168.0,,51.21718,6.852516,Grundschule,Öffentlich,Düsseldorf,Volker-Rosin-Schule Städt. Gemeinschaftsg. Arnstadter Weg - Primarstufe -,2118926420.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,4.0,Grundschule,,,22,7.3,0,4,18,12,3,17,220,"2024,2023,2022",Unfallatlas
100389,2.0,Städt. Gem. Grundschule,- Primarstufe -,,"Düsseldorf, GG Deutzer Str.",1.0,40229,Düsseldorf,Deutzer Str. 102,211.0,8924793.0,211.0,8924795.0,100389@schule.nrw.de,http://www.ggs-deutzerstrasse.de,1.0,10042.0,5111000.0,1.0,01.08.1973,EPSG:25832,350404.0,5673283.0,,51.191356,6.859156,Grundschule,Öffentlich,Düsseldorf,Städt. Gem. Grundschule - Primarstufe -,2118924793.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,6.0,Grundschule,,,66,22.0,0,7,59,9,4,38,58,"2024,2023,2022",Unfallatlas
100390,2.0,Städt. Gem. Grundschule,,,"Düsseldorf, GG Am Köhnen",1.0,40599,Düsseldorf,Am Köhnen 73,211.0,8923970.0,211.0,8923972.0,100390@schule.nrw.de,https://ggs-amkoehnen.de/,1.0,10042.0,5111000.0,1.0,01.08.1973,EPSG:25832,350878.0,5671978.0,,51.179753,6.866476,Grundschule,Öffentlich,Düsseldorf,Städt. Gem. Grundschule,2118923970.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,9.0,Grundschule,,,42,14.0,1,6,35,11,10,29,139,"2024,2023,2022",Unfallatlas
100420,2.0,Carl Sonnenschein Schule,Städt. Kath. Grundschule,- Primarstufe -,"Düsseldorf, KG Carl Sonnenschein Schule",1.0,40237,Düsseldorf,Graf-Recke-Str. 153,211.0,8928340.0,211.0,6790791.0,100420@schule.nrw.de,http://www.carlsonnenschein-schule.de,1.0,10042.0,5111000.0,1.0,01.08.1973,EPSG:25832,347654.0,5679193.0,,51.243734,6.81732,Grundschule,Öffentlich,Düsseldorf,Carl Sonnenschein Schule Städt. Kath. Grundschule - Primarstufe -,2118928340.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,3.0,Grundschule,,,31,10.3,0,1,30,12,6,21,12,"2024,2023,2022",Unfallatlas
100432,2.0,St.Bruno-Schule,Städt. Kath. Grundschule,- Primarstufe -,"Düsseldorf, KG St.Bruno-Schule",1.0,40468,Düsseldorf,An der Golzheimer Heide 120,211.0,8923695.0,211.0,8923698.0,100432@schule.nrw.de,http://stbruno-schule.de/,1.0,10042.0,5111000.0,1.0,01.08.1973,EPSG:25832,344375.0,5681981.0,,51.2679,6.769167,Grundschule,Öffentlich,Düsseldorf,St.Bruno-Schule Städt. Kath. Grundschule - Primarstufe -,2118923695.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,4.0,Grundschule,,,21,7.0,0,2,19,9,0,12,86,"2024,2023,2022",Unfallatlas
100444,2.0,Paul-Klee-Schule,Städt. Kath. Grundschule,- Primarstufe -,"Düsseldorf, KG Paul-Klee-Schule",1.0,40211,Düsseldorf,Gerresheimer Str. 34-36,211.0,8923752.0,211.0,8923756.0,100444@schule.nrw.de,http://www.grundschule-paul-klee.de,1.0,10042.0,5111000.0,1.0,01.08.1973,EPSG:25832,346021.0,5677476.0,,51.227868,6.794681,Grundschule,Öffentlich,Düsseldorf,Paul-Klee-Schule Städt. Kath. Grundschule - Primarstufe -,2118923752.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,9.0,Grundschule,,,192,64.0,2,25,165,73,44,107,89,"2024,2023,2022",Unfallatlas
100468,2.0,Städt. Kath. Grundschule,- Primarstufe -,,"Düsseldorf, KG Fuldaer Str.",1.0,40229,Düsseldorf,Fuldaer Str. 33,211.0,8926950.0,211.0,8926959.0,100468@schule.nrw.de,https://www.kgs-fuldaerstr.de/,1.0,10042.0,5111000.0,1.0,01.08.1973,EPSG:25832,348909.0,5673402.0,,51.192032,6.837727,Grundschule,Öffentlich,Düsseldorf,Städt. Kath. Grundschule - Primarstufe -,2118926950.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,2.0,Grundschule,,,22,7.3,1,5,16,5,5,13,27,"2024,2023,2022",Unfallatlas
100470,2.0,Städt. Gem. Grundschule,- Primarstufe -,,"Düsseldorf, GG Flurstr.",1.0,40235,Düsseldorf,Flurstr. 59,211.0,8924557.0,211.0,8924561.0,100470@schule.nrw.de,http://www.ggs-flurstrasse.de,1.0,10042.0,5111000.0,1.0,01.08.1973,EPSG:25832,347544.0,5677510.0,,51.228582,6.816462,Grundschule,Öffentlich,Düsseldorf,Städt. Gem. Grundschule - Primarstufe -,2118924557.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,7.0,Grundschule,,,85,28.3,0,13,72,36,21,55,13,"2024,2023,2022",Unfallatlas
