schulnummer,Schulform,Schulbezeichnung_1,Schulbezeichnung_2,Schulbezeichnung_3,kurzbezeichnung,Bezirksregierung,plz,ort,strasse,Telefonvorwahl,Telefon,Faxvorwahl,Fax,email,website,Rechtsform,Traegernummer,gemeindeschluessel,Schulbetriebsschluessel,Schulbetriebsdatum,EPSG,UTMRechtswert,UTMHochwert,Unnamed: 24,latitude,longitude,schulform_name,traegerschaft,bezirksregierung_name,schulname,telefon,stadt,data_source,data_retrieved,bundesland,sozialindexstufe,school_type,is_cross_grade,cross_grade_note,traffic_accidents_total,traffic_accidents_per_year,traffic_accidents_fatal,traffic_accidents_serious,traffic_accidents_minor,traffic_accidents_bicycle,traffic_accidents_pedestrian,traffic_accidents_school_hours,traffic_nearest_accident_m,traffic_data_years,traffic_data_source,transit_rail_01_name,transit_rail_01_distance_m,transit_rail_01_latitude,transit_rail_01_longitude,transit_rail_01_lines,transit_rail_02_name,transit_rail_02_distance_m,transit_rail_02_latitude,transit_rail_02_longitude,transit_rail_02_lines,transit_rail_03_name,transit_rail_03_distance_m,transit_rail_03_latitude,transit_rail_03_longitude,transit_rail_03_lines,transit_tram_01_name,transit_tram_01_distance_m,transit_tram_01_latitude,transit_tram_01_longitude,transit_tram_01_lines,transit_tram_02_name,transit_tram_02_distance_m,transit_tram_02_latitude,transit_tram_02_longitude,transit_tram_02_lines,transit_tram_03_name,transit_tram_03_distance_m,transit_tram_03_latitude,transit_tram_03_longitude,transit_tram_03_lines,transit_bus_01_name,transit_bus_01_distance_m,transit_bus_01_latitude,transit_bus_01_longitude,transit_bus_01_lines,transit_bus_02_name,transit_bus_02_distance_m,transit_bus_02_latitude,transit_bus_02_longitude,transit_bus_02_lines,transit_bus_03_name,transit_bus_03_distance_m,transit_bus_03_latitude,transit_bus_03_longitude,transit_bus_03_lines,transit_stops_500m,transit_stop_count_1000m,transit_all_lines_1000m,transit_accessibility_score
100158,2.0,Städtische Katholische Grundschule,Primarstufe mit Montessorizweig,,"Düsseldorf, KG Josef-Kleesattel-Str.",1.0,40595,Düsseldorf,Josef-Kleesattel-Str. 13,211.0,7393600.0,211.0,7393601.0,100158@schule.nrw.de,http://schulen.duesseldorf.de/gs-josefkleesattelstr,1.0,10042.0,5111000.0,1.0,01.08.1973,EPSG:25832,352341.0,5668096.0,,51.145248,6.888985,Grundschule,Öffentlich,Düsseldorf,Städtische Katholische Grundschule Primarstufe mit Montessorizweig,2117393600.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,6.0,Grundschule,,,20,6.7,0,7,13,10,2,11,179,"2024,2023,2022",Unfallatlas,Düsseldorf-Garath,634,51.1435907,6.8976828,Düsseldorf-Garath,Benrath Betriebshof,1785,51.1610231,6.8842833,,Düsseldorf-Hellerhof,1898,51.1331097,6.9081155,,Benrath Betriebshof,1800,51.1610492,6.8834101,,Urdenbacher Allee,2109,51.1620659,6.87502,2,Schloss Benrath,2375,51.1622562,6.8683888,1,Julius-Raschdorff-Straße,175,51.1437524,6.8882246,,Rostocker Straße,184,51.1467311,6.8901687,,Hermann-vom-Endt-Straße,290,51.1446434,6.8849403,,16,51,"1, 2, 3, Düsseldorf-Garath",65.0
100159,2.0,Gem. Grundschule Alfons-Nowak-Straße,,,"Köln, GG Alfons-Nowak-Straße",3.0,50858,Köln,Alfons-Nowak-Str. 2,221.0,7161250.0,221.0,71612520.0,100159@schule.nrw.de,https://www.alfons-nowak-strasse.de,1.0,10182.0,5315000.0,1.0,01.08.2023,,349599.0,5644243.0,,50.930188,6.859716,Grundschule,Öffentlich,Köln,Gem. Grundschule Alfons-Nowak-Straße,2217161250.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,3.0,Grundschule,,,20,6.7,0,4,16,12,3,13,46,"2024,2023,2022",Unfallatlas,Lövenich,2266,50.9428837,6.8344286,,Köln-Müngersdorf/Technologiepark,2857,50.9484237,6.888433,,Köln-Weiden West,3344,50.9408525,6.8150982,,Mohnweg,915,50.9379486,6.8553815,1,Junkersdorf,1055,50.9376585,6.8689984,1,Rheinenergie-Stadion,1333,50.9375837,6.874683,,Kölner Weg,196,50.9312821,6.8575188,,Südallee,302,50.9304625,6.8640096,,Birkenallee,401,50.9337723,6.8604069,,19,42,"1, A, B",60.0
100160,2.0,Grundschule Kaiserswerth,Städt. Gem. Grundschule Fliednerstraße,- Primarstufe -,"Düsseldorf, GG Kaiserswerth",1.0,40489,Düsseldorf,Fliednerstr. 32,211.0,8923642.0,211.0,8923645.0,100160@schule.nrw.de,http://www.grundschule-kaiserswerth.de,1.0,10042.0,5111000.0,1.0,01.08.1972,EPSG:25832,342329.0,5685867.0,,51.302254,6.738147,Grundschule,Öffentlich,Düsseldorf,Grundschule Kaiserswerth Städt. Gem. Grundschule Fliednerstraße - Primarstufe -,2118923642.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,3.0,Grundschule,,,30,10.0,0,2,28,13,7,18,120,"2024,2023,2022",Unfallatlas,Klemensplatz,201,51.3006089,6.7393291,,Kalkumer Schloßallee,503,51.3053587,6.7433994,,Kittelbachstraße,822,51.2948681,6.7387759,,Alte Landstraße,1468,51.2890645,6.7390622,,Eckenerstraße,4192,51.2720892,6.7742922,1,Am Röttchen,4373,51.2733347,6.7807665,,Klemensplatz,147,51.3010697,6.7390764,3,Kalkumer Schloßallee,520,51.3053165,6.7438003,,Kaiserpfalz,635,51.2966524,6.7363949,2,5,27,"1, 2, 3, 4, 809(disused)",70.0
100161,2.0,"Offene Grund-Schule Köln, Staatl.gen.",private Ersatzschule als inklusive,Gem.Grundschule d. OSK gGmbH,"Köln, GG Offene-Grundschule Köln",3.0,50999,Köln,Sürther Str. 199,221.0,337703101.0,,,100161@schule.nrw.de,https://www.offene-schule-koeln.de,2.0,82508.0,5315000.0,1.0,01.08.2022,,359708.0,5637441.0,,50.871605,7.006089,Grundschule,Privat,Köln,"Offene Grund-Schule Köln, Staatl.gen. private Ersatzschule als inklusive Gem.Grundschule d. OSK gGmbH",221337703101.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,,Grundschule,,,39,13.0,0,3,36,18,1,28,121,"2024,2023,2022",Unfallatlas,Porz (Rhein),4298,50.8832667,7.0644885,,Köln Steinstraße,4472,50.8952751,7.0576212,,Köln Airport-Businesspark,5080,50.9102443,7.0447205,,Michaelshoven,691,50.8759692,6.9990761,KMH,Sürth Bahnhof,806,50.8645156,7.0037019,KSU,Siegstraße,1532,50.8833367,6.9946362,KKSS,Heinrich-Erpenbach-Straße,280,50.8690893,7.0063516,,Sürther Feldallee,493,50.8751251,7.0103535,,Bürgeramt Rodenkichen,525,50.8725188,6.9987418,,5,50,"A, C, D, KMH, KSU",55.0
100168,2.0,Freie Naturschulen Köln - Grundschule,Staatl.gen.priv. Ersatzs. a. inklusive,Gem.Grundschule d. Vivimos gUG,"Köln, GG Freie Naturschulen",3.0,50996,Köln,An der Wachsfabrik 25,2236.0,8846800.0,,,100168@schule.nrw.de,https://www.freie-naturschulen-koeln.com/,2.0,10041.0,5315000.0,1.0,10.08.2022,,359211.0,5637187.0,,50.869201,6.999128,Grundschule,Privat,Köln,Freie Naturschulen Köln - Grundschule Staatl.gen.priv. Ersatzs. a. inklusive Gem.Grundschule d. Vivimos gUG,22368846800.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,,Grundschule,,,34,11.3,0,4,30,13,0,23,123,"2024,2023,2022",Unfallatlas,Porz (Rhein),4845,50.8832667,7.0644885,,Köln Steinstraße,5024,50.8952751,7.0576212,,Köln Airport-Businesspark,5573,50.9102443,7.0447205,,Sürth Bahnhof,612,50.8645156,7.0037019,KSU,Michaelshoven,753,50.8759692,6.9990761,KMH,Siegstraße,1603,50.8833367,6.9946362,KKSS,Sürth Rodderweg,140,50.8681185,7.0001393,,Unter Buschweg,336,50.8672183,7.002735,,Bürgeramt Rodenkichen,368,50.8724943,6.9986651,,9,38,"A, C, D, KMH, KSU",60.0
100171,2.0,Städt. Kath. Grundschule,- Primarstufe -,,"Düsseldorf, KG Unter den Eichen",1.0,40625,Düsseldorf,Unter den Eichen 26,211.0,8928292.0,211.0,8929562.0,100171@schule.nrw.de,http://www.kgs-unterdeneichen.de,1.0,10042.0,5111000.0,1.0,01.08.1973,EPSG:25832,350425.0,5677883.0,,51.232696,6.857538,Grundschule,Öffentlich,Düsseldorf,Städt. Kath. Grundschule - Primarstufe -,2118928292.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,3.0,Grundschule,,,37,12.3,0,3,34,9,9,23,169,"2024,2023,2022",Unfallatlas,Heinrich-Könn-Straße,1251,51.2428575,6.8498133,,Gerresheim Krankenhaus,1430,51.2453106,6.8535054,,Düsseldorf-Gerresheim,1452,51.2202703,6.863938,,Dörpfeldstraße,253,51.2309945,6.8599577,,Schönaustraße,324,51.2348919,6.8606003,,Gerresheim Rathaus,453,51.2365185,6.8598003,,Dörpfeldstraße,232,51.231333,6.8600607,,Dreherstraße,234,51.2347753,6.8570476,,Schönaustraße,286,51.2344634,6.8605309,,34,70,"1, 2, 3, 4, 5, 730, 733",70.0
100183,2.0,Christophorus-Schule,Städt. Kath. Grundschule,- Primarstufe -,"Düsseldorf, KG Christophorus",1.0,40591,Düsseldorf,Werstener Friedhofstr. 10,211.0,8926170.0,211.0,8926175.0,100183@schule.nrw.de,https://www.christophorus-grundschule.de/,1.0,10042.0,5111000.0,1.0,01.08.1973,EPSG:25832,348182.0,5672765.0,,51.186115,6.8276,Grundschule,Öffentlich,Düsseldorf,Christophorus-Schule Städt. Kath. Grundschule - Primarstufe -,2118926170.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,3.0,Grundschule,,,32,10.7,0,2,30,12,4,15,44,"2024,2023,2022",Unfallatlas,Ickerswarder Straße,509,51.1845337,6.8207449,,Opladener Straße,655,51.1877401,6.8185736,,Elbruchstraße,743,51.1794329,6.8274946,,Vennhauser Allee,1910,51.1986906,6.8462792,7,Am Stufstock,2274,51.2065245,6.8255868,,Schlesische Straße,2420,51.2078335,6.8297418,4,Pattscheider Straße,81,51.1864096,6.8265383,,Benninghauser Straße,167,51.1875554,6.8282816,,Werstener Friedhofstraße,440,51.1841954,6.8331262,,17,74,"1, 2, 3, 4",65.0
100213,2.0,Henri-Dunant-Schule,Städt. Gem. Grundschule,- Primarstufe -,"Düsseldorf, GG Henri-Dunant-Schule",1.0,40591,Düsseldorf,Rheindorfer Weg 20,211.0,8924350.0,211.0,8924352.0,100213@schule.nrw.de,http://www.gs-rheindorferweg.schulen.duesseldorf.de/,1.0,10042.0,5111000.0,1.0,01.08.1973,EPSG:25832,347268.0,5673248.0,,51.190212,6.814326,Grundschule,Öffentlich,Düsseldorf,Henri-Dunant-Schule Städt. Gem. Grundschule - Primarstufe -,2118924350.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,2.0,Grundschule,,,63,21.0,0,14,49,14,12,35,23,"2024,2023,2022",Unfallatlas,Werstener Dorfstraße,291,51.1928034,6.8148695,,Opladener Straße,404,51.1877401,6.8185736,,Ickerswarder Straße,774,51.1845337,6.8207449,,Universität Nord / Christophstraße,1420,51.1964727,6.796566,,Am Stufstock,1976,51.2065245,6.8255868,,Oberbilk S,2103,51.2087623,6.8084718,4,Werstener Dorfstraße,203,51.1919724,6.8150974,,Opladener Straße,350,51.1881991,6.818187,,Ohmweg,532,51.1862473,6.8100517,,16,69,"1, 2, 3, 4, 5, 6, 7, 8",75.0
100218,2.0,Grundschule Friedrich-Karl-Straße,,,"Köln, GG Friedrich-Karl-Straße",3.0,50737,Köln,Friedrich-Karl-Str. 64,221.0,474410610.0,,,100218@schule.nrw.de,,1.0,10182.0,5315000.0,1.0,01.08.2025,,356442.0,5648917.0,,50.973937,6.955184,Grundschule,Öffentlich,Köln,Grundschule Friedrich-Karl-Straße,221474410610.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,,Grundschule,,,82,27.3,0,7,75,41,9,50,85,"2024,2023,2022",Unfallatlas,Neusser Straße/Gürtel,301,50.9727024,6.9513559,,Florastraße,985,50.9651406,6.9535232,,Amsterdamer Straße/Gürtel,1014,50.9709011,6.9688425,,Neusser Straße/Gürtel,318,50.972337,6.9514153,1,Mollwitzstraße,650,50.9782066,6.9488428,,Nesselrodestraße,1015,50.9770617,6.9688125,,Niehler Kirchweg,36,50.9741511,6.9547971,,Neusser Straße/Gürtel,286,50.9725468,6.9517405,A,Friedrich-Karl-Straße,323,50.9746062,6.9596659,,24,58,"1, 147, 186, 2, 3, 4, A",75.0
100225,2.0,Städt. Gem. Grundschule,- Primarstufe -,,"Düsseldorf, GG Bingener Weg",1.0,40229,Düsseldorf,Bingener Weg 10,211.0,8924378.0,211.0,8924385.0,100225@schule.nrw.de,http://www.schulen.duesseldorf.de/gs-bingenerweg/,1.0,10042.0,5111000.0,1.0,01.08.1973,EPSG:25832,347676.0,5674424.0,,51.200888,6.819662,Grundschule,Öffentlich,Düsseldorf,Städt. Gem. Grundschule - Primarstufe -,2118924378.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,5.0,Grundschule,,,12,4.0,0,1,11,4,2,11,79,"2024,2023,2022",Unfallatlas,Provinzialplatz,585,51.1989685,6.8118476,,Kaiserslauterner Straße,695,51.2036048,6.8106839,,Werstener Dorfstraße,959,51.1928034,6.8148695,,Am Stufstock,750,51.2065245,6.8255868,,Lierenfeld Betriebshof Süd,941,51.209235,6.8174241,1,Schlesische Straße,1044,51.2078335,6.8297418,4,Schulbus,51,51.2013412,6.819743,,Meisenheimer Weg,144,51.1999878,6.8211558,,Mannheimer Weg,299,51.200687,6.823945,,28,81,"1, 2, 3, 4, 5, 6, 7, 8",65.0
