schulnummer,schulname,schulart,strasse,plz,ortsteil,bezirk,telefon,email,website,leitung
01Y09,Diesterweg-Gymnasium,Gymnasium,Böttgerstr. 2-6,13357,Gesundbrunnen,,+49 30 46309620,sekretariat@dwgym.berlin,https://www.dwgym.berlin,"Lehmann, Volker"
06Y04,Dreilinden-Gymnasium,Gymnasium,Dreilindenstr. 49,14109,Nikolassee,,+49 30 8031087,sekretariat@dreilinden-gymnasium.de,http://www.dreilinden-gymnasium.de,"Stiller, Jens"
06Y02,Droste-Hülshoff-Gymnasium,Gymnasium,Schönower Str. 8,14165,Zehlendorf,,+49 30 84508466,%09%09schulbuero@droste-berlin.de,https://droste-berlin.de,"Seydel, Christian"
07Y07,Eckener-Gymnasium,Gymnasium,Kaiserstr. 17-21,12105,Mariendorf,,+49 30 902777448,info@eckener-gymnasium.de,https://eckener-gymnasium.de,"Rehers, Yvonne"
09Y11,Emmy-Noether-Gymnasium,Gymnasium,Pablo-Neruda-Str. 6-7,12559,Köpenick,,+49 30 6542160,%09sekretariat@noether-gymnasium.de,http://www.noether-gymnasium.de,"Arndt, Heike"
08Y04,Ernst-Abbe-Gymnasium,Gymnasium,Sonnenallee 79,12045,Neukölln,,+49 30 225013030,%09sekretariat@ernst-abbe.schule.berlin.de,https://www.ernst-abbe.de,"Großmann, Lutz"
12Y02,Europäisches Gymnasium Bertha-von-Suttner,Gymnasium,Reginhardstr. 172,13409,Reinickendorf,,+49 30 491 60 57,12Y02@12Y02.schule.berlin.de,https://www.bertha-von-suttner.de,"Wagner, Christiane"
12P03,Evangelische Schule Frohnau,Gymnasium,Benediktinerstr. 11-19,13465,Frohnau,,+49 30 509305310,sekretariat@ev-frohnau.de,http://www.ev-frohnau.de,"Behnken, Christine"
09P07,Evangelische Schule Köpenick (Gymnasium),Gymnasium,Grüne Trift 169,12557,Köpenick,,+49 30 32532401,leitung@ev-schule-koepenick.de,https://www.ev-schule-koepenick.de,"Tiedje, Michael"
04P11,Evangelisches Gymnasium zum Grauen Kloster,Gymnasium,Salzbrunner Str. 41,14193,Schmargendorf,,+49 30 8254011,sekretariat@graues-kloster.de,http://www.graues-kloster.de,"Dr. Martinez Moreno, Annette"
03Y13,Felix-Mendelssohn-Bartholdy-Gymnasium,Gymnasium,Pasteurstr. 7,10407,Prenzlauer Berg,,+49 30 4208274 00,%09sekretariat@fmbg.schule.berlin.de,http://www.fmbg-berlin.de,"Tschiche, Pierre"
06Y09,Fichtenberg-Oberschule,Gymnasium,Rothenburgstr. 18,12165,Steglitz,,+49 30 902992354,info@fichtenberg-oberschule.de,http://fichtenberg-oberschule.net,"Golus-Steiner, Andreas"
01Y07,Französisches Gymnasium,Gymnasium,Derfflingerstr. 7,10785,Tiergarten,,+49 30 25758910,sekretariat@fg-berlin.eru,https://www.fg-berlin.eu,"Dzembritzki, Nikola"
06P20,Freie Schule Anne-Sophie Berlin,Gymnasium,Clayallee 328-334,14169,Zehlendorf,,+49 30 8471463910,info.berlin@freie-schule-anne-sophie.de,http://www.freie-schule-anne-sophie.de,"Tscherniak, A.; Herzig, Ch.; Rockenstein, A."
05Y01,Freiherr-vom-Stein-Gymnasium,Gymnasium,Galenstr. 40-44,13597,Spandau,,+49 30 3309653,05y01@05y01.schule.berlin.de,http://www.steingymnasium.de,"Verch, Norbert"
04Y07,Friedrich-Ebert-Gymnasium,Gymnasium,Blissestr. 22,10713,Wilmersdorf,,+49 30 8974510,%09bock@feo-berlin.de,https://feoberlin.de,"Bock, Marc-Thomas"
12Y01,Friedrich-Engels-Gymnasium,Gymnasium,Emmentaler Str. 67,13407,Reinickendorf,,+49 30 4955056,12Y01@12Y01.schule.berlin.de,https://www.feg.berlin,"Dr. Hellmuth, Doris"
12Y04,Gabriele-von-Bülow-Gymnasium,Gymnasium,Tile-Brügge-Weg 63,13509,Tegel,,+49 30 210052460,%0912Y04@12Y04.schule.berlin.de,https://www.gvb-berlin.de,"Briesemeister, Heike"
09Y10,Gebrüder-Montgolfier-Gymnasium,Gymnasium,Ellernweg 20-22,12487,Johannisthal,,+49 30 6316677,sekretariat@gemont.de,https://www.gemont.de,"Teichmann, Kerstin"
07Y09,Georg-Büchner-Gymnasium,Gymnasium,Lichtenrader Damm 224,12305,Lichtenrade,,+49 30 902778208,sekretariat@gbgonline.de,http://www.gbgonline.de,"Zimmermann, Jan"
02Y04,Georg-Friedrich-Händel-Gymnasium,Gymnasium,Frankfurter Allee 6A,10247,Friedrichshain,,+49 30 2250279011,sekretariat@haendelgym.de,http://www.haendelgym.de,"Klee, Meike"
12Y05,Georg-Herwegh-Gymnasium,Gymnasium,Fellbacher Str. 18-19,13467,Hermsdorf,,+49 30 4042070,%09mail@herwegh-gymnasium.de,http://www.herwegh-gymnasium.de,"Toll, Kolja"
09Y06,Gerhart-Hauptmann-Gymnasium,Gymnasium,Bruno-Wille-Str. 37-39,12587,Friedrichshagen,,+49 30 6451839,sekretariat@ghs-berlin.de,http://www.ghs-berlin.de,"Hähnert, Thomas"
04Y11,Goethe-Gymnasium,Gymnasium,Gasteiner Str. 23,10717,Wilmersdorf,,+49 30 8649960,info.goethe-gymnasium@t-online.de,https://goethe-gymnasium.berlin,"Meurer, Arienne"
06Y11,Goethe-Gymnasium Lichterfelde,Gymnasium,Drakestr. 72-7,12205,Lichterfelde,,+49 30 84416730,sekretariat@goethe-lichterfelde.schule.berlin.de,https://www.goethe-gymnasium-lichterfelde.de,"Gläser, Constantin"
04Y04,Gottfried-Keller-Gymnasium,Gymnasium,Olbersstr. 38,10589,Charlottenburg,,+49 30 902927310,kontakt@gks-berlin.de,http://www.gks-berlin.de,"Kany, Uwe"
06Y13,Gymnasium Steglitz,Gymnasium,Heesestr. 15,12169,Steglitz,,+49 30 93951937,sekretariat@gymnasiumsteglitz.de,http://www.gymnasiumsteglitz.de,"Lükemann, Antje Florentine"
01Y12,Gymnasium Tiergarten,Gymnasium,Altonaer Str. 26,10555,Hansaviertel,,+49 30 398009710,sekretariat@gymnasium-tiergarten.de,https://www.gymnasium-tiergarten.de,"Lingnau, Ariane"
08Y06,Hannah-Arendt-Gymnasium,Gymnasium,Elfriede-Kuhr-Str. 17,12355,Rudow,,+49 30 6097180,sekretariat@hag-berlin.net,https://www.hag-berlin.net,"Ulrich, Torsten"
05Y03,Hans-Carossa-Gymnasium,Gymnasium,Am Landschaftspark Gatow 40,14089,Kladow,,+49 30 36996511,%09Sekretariat@05Y03.schule.berlin.de,http://www.hcg-berlin.de,"Rußbült, Henning"
11Y05,Hans-und-Hilde-Coppi-Gymnasium,Gymnasium,Römerweg 30-32,10318,Karlshorst,,+49 30 5098116,sekretariat@coppi-gym.de,http://www.coppi-gym.de,"Gosse, Ulf"
02Y03,Heinrich-Hertz-Gymnasium,Gymnasium,Rigaer Str. 81-82,10247,Friedrichshain,,+49 30 42262080,sekretariat@hhgym.de,https://hhgym.de,"Wesche,Corinna"
03Y04,Heinrich-Schliemann-Gymnasium,Gymnasium,Dunckerstr. 64,10439,Prenzlauer Berg,,+49 30 4468950,sekretariat@hsg-berlin.eu,http://www.hsg-berlin.de,"Pietraßyk-Kendziorra, Sascha"
04Y06,Heinz-Berggruen-Gymnasium,Gymnasium,Bayernallee 4,14052,Westend,,+49 30 902928702,Info@hbgym.de,http://www.hbgym.de,"Gebauer-Kwee, Dirk"
04Y05,Herder-Gymnasium,Gymnasium,Westendallee 45-46,14052,Westend,,+49 30 902927800,%09sekretariat@herder-gymnasium.eu,https://www.herder-gymnasium.eu,"Schallbruch, Karin"
06Y08,Hermann-Ehlers-Gymnasium,Gymnasium,Elisenstr. 3-4,12169,Steglitz,,+49 30 902992353,sekretariat@heg.schule.berlin.de,https://hermann-ehlers-schule.de,"Kötterheinrich-Wedekind, Tilmann"
02Y08,Hermann-Hesse-Gymnasium,Gymnasium,Böckhstr. 16,10967,Kreuzberg,,+49 30 666434090,%09kontakt@hhg-kreuzberg.de,https://hesse-kreuzberg.de,"Roschke, Sylke"
04Y08,Hildegard-Wegscheider-Gymnasium,Gymnasium,Lassenstr. 16-20,14193,Grunewald,,+49 30 897454210,%09sekretariat@hwos.de,https://www.wegscheider-gymnasium.de,"Krause, Ulrike"
12Y03,Humboldt-Gymnasium,Gymnasium,Hatzfeldtallee 2-4,13509,Tegel,,+49 30 4337008,12Y03@12Y03.schule.berlin.de,https://www.humboldtschule-berlin.de,"Roth, Martin"
11Y11,Immanuel-Kant-Gymnasium,Gymnasium,Lückstr. 63,10317,Rummelsburg,,+49 30 5139748,sekretariat@kant-gymnasium.de,http://www.kant-gymnasium.de,"Niedermöller, Arnd"
03Y17,Inge-Deutschkron-Gymnasium,Gymnasium,Kopenhagener Str. 83-87,13158,Wilhelmsruh,,+49 30 405771260,%0903Y17@03Y17.schule.berlin.de,https://www.idg.berlin,"Schäffer, Katrin"
11Y02,Johann-Gottfried-Herder-Gymnasium,Gymnasium,Franz-Jacob-Str. 8,10369,Fennpfuhl,,+49 30 97609567,sekretariat@jgherder.de,http://www.jgherder.de,"Wagner, Martin"
01Y02,John-Lennon-Gymnasium,Gymnasium,Zehdenicker Str. 17,10119,Mitte,,+49 30 40500110,sekretariat@jlgym-berlin.de,https://www.jlgym-berlin.de,"Berisha, Antoneta"
04P23,Jüdische Traditionsschule,Gymnasium,Westfälische Str. 15,10709,Wilmersdorf,,+49 30 32678897,heike.michalak@jschule.de,https://www.jschule.de,"Michalak, Heike"
01P03,Jüdisches Gymnasium Moses Mendelssohn,Gymnasium,Große Hamburger Str. 27,10115,Mitte,,+49 30 726265700,eckstaedt@jgmm.de,https://jgmm.de,"Dr. Eckstaedt, Aaron"
05Y02,Kant-Gymnasium,Gymnasium,Bismarckstr. 54,13585,Spandau,,+49 30 3539480,info@kant-gym.de,http://www.Kant-gymnasium-berlin.de,"Vehlow, Marc"
03Y03,Käthe-Kollwitz-Gymnasium,Gymnasium,Dunckerstr. 65-66,10439,Prenzlauer Berg,,+49 30 4447671,sekretariat@kkos.net,https://www.kaethe-kollwitz-gymnasium.de,"Ley, Simone"
04P04,Katholische Schule Liebfrauen (Gymnasium),Gymnasium,Ahornallee 33,14050,Westend,,+49 30 30613013,sekretariat@ksl.schulerzbistum.de,https://ksliebfrauen.de,"Dr. Keitsch, Markus"
12P04,Katholische Schule Salvator,Gymnasium,Fürst-Bismarck-Str. 8-10,13469,Waidmannslust,,+49 30 4111198,sekretariat@kss.schulerzbistum.de;%20sekretariat@kss-gs.schulerzbistum.de,https://salvator.net;%20https://salvator-grundschule.de,"Malz, Ralf; Pritsch, Thomas"
08P04,Katholische Schule Sankt Marien,Gymnasium,Donaustr. 58,12043,Neukölln,,+49 30 39881620,sekretariat@kssm.schulerzbistum.de,https://marienschule-berlin.de,Rahner Theresa
03P10,Katholische Theresienschule (Gymnasium),Gymnasium,Behaimstr. 29,13086,Weißensee,,+49 30 9246425,sekretariat@ksth.schulerzbistum.de,http://www.Theresienschule.de,"Tentschert, Matthias"
06P06,Königin-Luise-Stiftung,Gymnasium,Podbielskiallee 78,14195,Dahlem,,+49 30 841813,info@kls-berlin.de,http://www.koenigin-luise-stiftung.de,"Dr. Schönleber, M.; Kaiser, A.; Broschkowski, M."
02Y06,Leibniz-Gymnasium,Gymnasium,Schleiermacherstr. 23,10961,Kreuzberg,,+49 30 50586711,sekretariat@leibniz-gymnasium.berlin,http://www.leibnizschule-berlin.de,"Krollpfeiffer-Kuhring, Renate"
08Y05,Leonardo-da-Vinci-Gymnasium,Gymnasium,Christoph-Ruden-Str. 3,12349,Buckow,,+49 30 742010,sekretariat@08y05.schule.berlin.de,https://www.leonardo-da-vinci-gymnasium.de,"Reiter-Ost, Anja"
01Y08,Lessing-Gymnasium,Gymnasium,Schöningstr. 17,13349,Wedding,,+49 30 45798510,post@lessing-gymnasium-berlin.de,https://lessing-gymnasium-berlin.de,"Wüstenberg, Michael"
06Y10,Lilienthal-Gymnasium,Gymnasium,Ringstr. 2-3,12203,Lichterfelde,,+49 30 84415360,sekretariat@lilienthal-gymnasium-berlin.de,http://www.lilienthal-gymnasium-berlin.de,"Beyer, Thorsten"
05Y05,Lily-Braun-Gymnasium,Gymnasium,Münsingerstr. 2,13597,Spandau,,+49 30 3389040,e-post@lily-braun-gymnasium.de,http://www.lily-braun-gymnasium.de,"Kaufmann, Ulrike"
07Y05,Luise-Henriette-Gymnasium,Gymnasium,Kurfürstenstraße 53-54,12105,Mariendorf,,+49 30 902772678,sekretariat@lhg.schule,http://www.luise-henriette-berlin.de,"Köhn, Christoph"
11Y10,Manfred-von-Ardenne-Gymnasium,Gymnasium,Werneuchener Str. 27-28,13055,Alt-Hohenschönhausen,,+49 30 9865002,%09info@ardenne-gymnasium.de,https://www.ardenne-gymnasium.de,"Herberg, Stephan"
04Y10,Marie-Curie-Gymnasium,Gymnasium,Weimarische Str. 21,10715,Wilmersdorf,,+49 30 8599497110,%09schulleitung@mcg-berlin.de,http://www.mcg-berlin.de,"Petters, Enrico"
03Y15,Max-Delbrück-Gymnasium,Gymnasium,Kuckhoffstr. 2,13156,Niederschönhausen,,+49 30 47596720,sekretariat@max-delbrueck-gymnasium.de,https://max-delbrueck-gymnasium.de,"Peters, Nicole"
01Y11,Max-Planck-Gymnasium,Gymnasium,Singerstr. 8A,10179,Mitte,,+49 30 847118830,sekretariat@mpg-berlin.de,http://www.mpg-berlin.de,"Dr. Kopke, Trix"
10Y11,Melanchthon-Gymnasium,Gymnasium,Adele-Sandrock-Str. 73-75,12627,Hellersdorf,,+49 30 9918008,%09spieler@melanchthon-schule-berlin.de,http://www.melanchthon-schule-berlin.de,"Spieler, Jörg"
04P35,Mentora Gymnasium (KEIN Schulbetrieb),Gymnasium,Salzufer 6,10587,Charlottenburg,,+49 30 810580838,info@mentora-gymnasium.de,https://www.mentora-gymnasium.de,"Grüning, Zoia"
04P24,Moser-Schule - Schweizer Gymnasium,Gymnasium,Badenallee 31-32,14052,Westend,,+49 30 30838282,info@moserschule.de,http://www.moserschule.de,"Plümecke, Daniela"
01Y04,Musikgymnasium Carl Philipp Emanuel Bach,Gymnasium,Rheinsberger Str. 4-5,10115,Mitte,,+49 30 901891530,sekretariat@musikgymnasium-bach.de,https://musikgymnasium-berlin.de,"Benner-von Streit, Birgit"
10Y02,Otto-Nagel-Gymnasium,Gymnasium,Schulstr. 11,12683,Biesdorf,,+49 30 5143864,sekretariat@ong.berlin,https://ong.berlin,"Wolfram-Gagel, Dana"
07Y04,Paul-Natorp-Gymnasium,Gymnasium,Goßlerstr. 13-15,12161,Friedenau,,+49 30 902777921,sekretariat@natorp-gymnasium.de,https://www.natorp-gymnasium.de,"Bösch, Sarah"
06Y07,Paulsen-Gymnasium,Gymnasium,Gritznerstr. 57,12163,Steglitz,,+49 30 79742530,paulsengymnasium@pg-berlin.de,https://wp.paulsen-gymnasium.de,"Kloppe-Langer, Stefan"
03Y14,Primo-Levi-Gymnasium,Gymnasium,Pistoriusstr. 133,13086,Weißensee,,+49 30 9290168111,sekretariat@plg-berlin.de,http://www.plg-berlin.de,"Schramm, Uwe"
12P07,Private Goethe-Schulen,Gymnasium,Wittenauer Str. 112,13435,Wittenau,,+49 30 40399849,sekretariatgoetheschulenberlin@gmail.com,http://goethe-grundschule.bifiz.de,"Berger, Oxana; Kaiser, Elvira; Hirschnitz, Martin"
04P47,Privates Europa-Gymnasium Berlin,Gymnasium,Haubachstr. 5,10585,Charlottenburg,,+49 30 74073717,info@europa-gymnasium.eu,https://www.europa-gymnasium.eu,"Konrad, Petra"
07Y03,Rheingau-Gymnasium,Gymnasium,Schwalbacher Str. 3-4,12161,Friedenau,,+49 30 902777920,sekretariat@rheingau-gymnasium.de,https://www.rheingau-gymnasium.de,"Schalow, Sebastian"
07Y01,Robert-Blum-Gymnasium,Gymnasium,Kolonnenstr. 21,10829,Schöneberg,,+49 30 902777172,sekretariat@robert-blum-schule.de,http://www.robert-blum-schule.de,"Häger, Jörg"
03Y16,Robert-Havemann-Gymnasium,Gymnasium,Achillesstr. 79,13125,Karow,,+49 30 94878511,%0903Y16@03Y16.schule.berlin.de,http://www.robert-havemann-gymnasium.de,"Borgwald, Franz"
02Y07,Robert-Koch-Gymnasium,Gymnasium,Dieffenbachstr. 60,10967,Kreuzberg,,+49 30 50585731,sekretariat@robert-koch-gymnasium.berlin,https://www.robert-koch-gymnasium.berlin,"Schüßler, Steffen"
12Y07,Romain-Rolland-Gymnasium,Gymnasium,Place Moliere 4,13469,Wittenau,,+49 30 4140170,%0912Y07@12Y07.schule.berlin.de,https://www.romain-rolland-gymnasium.eu,"Peters, Uwe"
01Y13,Rosalind-Franklin-Gymnasium,Gymnasium,Turmstr. 75,10551,Moabit,,+49 30 9018 38210,%09schulleitung@gymnasium-13.de,https://gymnasium-13.de,"Sladek, Steffen"
03Y10,Rosa-Luxemburg-Gymnasium,Gymnasium,Kissingenstr. 12,13189,Pankow,,+49 30 91607730,%09sekretariat@rlg.berlin,https://www.rosa-luxemburg-gymnasium.de,"Treptow, Ralf"
07Y02,Rückert-Gymnasium,Gymnasium,Mettestr. 8,10825,Schöneberg,,+49 30 902777173,reich@rueckert-gymnasium-berlin.de,http://www.rueckert-gymnasium.berlin,"Reich, Heike"
10Y08,Sartre-Gymnasium,Gymnasium,Kyritzer Str. 103,12629,Hellersdorf,,+49 30 99281416,sekretariat@sartre-gymnasium.de,http://sartre-gymnasium.de,"Kausch-Miniers, Angela"
06Y01,Schadow-Gymnasium,Gymnasium,Beuckestr. 27-29,14163,Zehlendorf,,+49 30 902995463,sekretariat@schadow-gymnasium-berlin.de,https://schadow-gymnasium-berlin.de,"Krenz, Andreas"
04Y01,Schiller-Gymnasium,Gymnasium,Schillerstr. 125-127,10625,Charlottenburg,,+49 30 902925920,%09%09sekretariat@sgym.schule.berlin.de,http://www.sgym.de,"Kunze, Andrea"
12Y06,Schulfarm Insel Scharfenberg,Gymnasium,Schwarzer Weg 101-105,13505,Tegel,,+49 30 430944330,sekretariat@berlin-sis.de,http://www.insel-scharfenberg.de,"Waldow, Matthias"
04Y03,Sophie-Charlotte-Gymnasium,Gymnasium,Sybelstr. 2,10629,Charlottenburg,,+49 30 902928600,sekretariat@scg.schule.berlin.de,http://www.scgberlin.de,"Schmerling, Christoph"
10Y01,Tagore-Gymnasium,Gymnasium,Sella-Hasse-Str. 25,12687,Marzahn,,+49 30 9321069,schulleitung@tagore-gymnasium.de,https://www.tagore-gymnasium.de,"Touré, Angela"
12Y08,Thomas-Mann-Gymnasium,Gymnasium,Königshorster Str. 10,13439,Märkisches Viertel,,+49 30 414763670,%0912Y08@12Y08.schule.berlin.de,https://www.tmgberlin.de,"Liedtke, Jan-Alexander"
07Y08,Ulrich-von-Hutten-Gymnasium,Gymnasium,Rehagener Str. 35-37,12307,Lichtenrade,,+49 30 902778244,uvh@uvh-online.de,https://www.ulrich-von-hutten-gymnasium.de,"Meyenberg, Gudrun"
04Y02,Wald-Gymnasium,Gymnasium,Waldschulallee 95,14055,Westend,,+49 30 902926930,%09sekretariat@waldgymnasium.schule.berlin.de,http://www.waldgymnasium.de,"Schwippl, Stefanie"
04Y09,Walther-Rathenau-Gymnasium,Gymnasium,Herbertstr. 2-6,14193,Grunewald,,+49 30 8902990,sekretariat@wrg.schule.berlin.de,https://www.wrg-berlin.de,"Knobelsdorf, Solveig"
06Y05,Werner-von-Siemens-Gymnasium,Gymnasium,Beskidenstr. 3,14129,Nikolassee,,+49 30 8039066,%09leitung@siemens-gymnasium-berlin.de,http://www.siemens-gymnasium-berlin.de,"Paubandt, Ute"
05P13,Wilhelmstadt Schulen,Gymnasium,Wilhelmstr. 28-30,13593,Wilhelmstadt,,+49 30 36289213,a.reising@wilhelmstadtschulen.de,https://wilhelmstadtschulen.de,"Toy, Muzaffer; Baykus, Bünyamin"
10Y03,Wilhelm-von-Siemens-Gymnasium,Gymnasium,Allee der Kosmonauten 134,12683,Biesdorf,,+49 30 549791340,%09schulleitung@wvsg.schule.berlin.de,https://www.wvsiemens-berlin.de/,"Herrmann, Veit"
06Y12,Willi-Graf-Gymnasium,Gymnasium,Ostpreußendamm 166,12207,Lichterfelde,,+49 30 7729004,sekretariat@willi-graf-os.de,https://willi-graf-gymnasium.de,"Steinke, Hans"
