schulnummer,scraped_schueler,scraped_lehrer,scraped_sprachen,scraped_bezirk,scraped_abitur,scraped_traegerschaft,scraped_gruendungsjahr,scraped_besonderheiten,data_source
08S08,,,,,,Öffentlich,,"Ganztagsschule mit sonderpädagogischen Förderschwerpunkten: Sprache, Körperliche u. motorische Entwicklung, Geistige Entwicklung",gemini_website
10S07,,,,,,Öffentlich,,"Förderschwerpunkte Lernen, geistige Entwicklung, Autismus; 4 Schülerfirmen; eFöB; Schulstation",gemini_website
08S04,,,,,,Öffentlich,,,
09S06,,,,,,Öffentlich,,Förderschwerpunkte „Lernen“ und „Geistige Entwicklung“,gemini_website
01S01,,,,,,Öffentlich,,"Förderschwerpunkt ""Lernen""",gemini_website
08S09,60.0,15.0,,,,Öffentlich,,"Kleine Klassen, individuelle Förderung, hundgestützte Schulsozialarbeit, moderne IT-Ausstattung (Berliner Schule 2.0)",gemini_website
03P03,,,,,,Privat,,"Christliche Werte, biblische Grundlage, Persönlichkeitsentwicklung, familiäre Atmosphäre",gemini_website
03B08,,,,,,Öffentlich,,,
05P19,,,"Deutsch, Englisch",,,Privat,,"Zweisprachig (DE/EN) vom Kindergarten bis Abitur/IBDP, Ganztagskonzept, Technologieeinsatz",gemini_website
03P24,50.0,7.0,,,,Privat,,"Freie Demokratische Schule; Fokus auf Eigenverantwortung, Partizipation, selbstbestimmtes Lernen, wöchentliche Schulversammlung",gemini_website
07A44,,,,,,Öffentlich,,,
12S05,,,,,,Öffentlich,,Spezialisiert auf Schüler mit psychiatrischen Erkrankungen (Klassen 1-10).,gemini_website
05P13,,,,,,Privat,,"Schulprojekt Tansania, Jugend trainiert, Berufsinformationsmesse, internat. Projekt-Olympiade",gemini_website
12A44,375.0,,,,,Öffentlich,2024.0,Willkommensklassen für Kinder im Ankunftszentrum TXL; Fokus auf Deutschkenntnisse & Integration.,gemini_website
09Y12,,,"Englisch, Französisch, Spanisch",,,Öffentlich,2023.0,"Offene Ganztagsschule, Teilungsunterricht NW/ITG, LRS-Förderung, saniertes denkmalgeschütztes Gebäude",gemini_website
11Y12,,,,,,Öffentlich,,Schule als Lern- und Lebensraum,gemini_website
10Y12,,,"Englisch, Spanisch, Französisch, Latein",,,Öffentlich,2026.0,"Schwerpunkte: Nachhaltigkeit, Gemeinwohl, Demokratiebildung. Projektorientierter Unterricht, Compartment-Gebäude.",gemini_website
06P18,,,,,,Privat,,,
01P22,,,"Deutsch, Englisch",,,Privat,,"IB World School, bilinguale Bildung, Outdoor-Lernen, Wetterstation, Fokus auf Demokratie",gemini_website
01P18,950.0,,"Deutsch, Englisch",,,Privat,2006.0,"Bilinguales (Deutsch-Englisch), zukunftsorientiertes Ganztagskonzept mit Fokus auf Zukunftskompetenzen.",gemini_website
12P03,,,,,,Privat,,"Evangelische Religionslehre als ordentliches Fach, Fobizz-Siegel (digitale Bildung), Faire Schule (Anti-Mobbing)",gemini_website
09P07,,,,,,Privat,2005.0,"Christliches Menschenbild, Bildung auf Grundlage des Evangeliums",gemini_website
04P11,,,"Englisch, Französisch, Latein, Altgriechisch",,,Privat,,"Ältestes Gymnasium Berlins (humanistisch-evangelisch), Fokus auf alte Sprachen, Naturwiss., Sport (Rudern/Hockey).",gemini_website
01Y07,810.0,115.0,"Französisch, Englisch, Spanisch, Latein, Altgriechisch",,,Öffentlich,,"Ältestes französisches Gymnasium weltweit, internationale & mehrsprachige Erziehung, Abibac, Erasmus+",gemini_website
06P20,,,Englisch,,,Privat,,"Individuelles Coaching, Eigenverantwortung, soziale Kompetenzen, bilingual (deutsch-englisch), Ganztag",gemini_website
04Y11,,,,,,Öffentlich,,"Humanistisches Gymnasium (altsprachlicher Bildungsgang ab Kl. 5), offener Ganztag, Projekttage",gemini_website
04P35,,,,,,Privat,,,
04P04,,,,,,Privat,1926.0,"Christliches Menschenbild, Erfahrungs- und Lebensraum, individuelle Förderung",gemini_website
03P10,,,Französisch,,,Privat,1896.0,"Katholische Schule mit Schulpastoral, Schulpastoralaktion, Cinéfête, Klima AG, EU-Wettbewerbe",gemini_website
04P24,,,"Deutsch, Französisch, Englisch",,,Privat,1961.0,"Deutsch-Französisch-Englische Ausrichtung, Immersionsunterricht, AbiBac, Sozialpädagogik/Schulpsychologie",gemini_website
01Y13,,,,,,Öffentlich,,,
01Y04,,,,,,Öffentlich,1949.0,"Musikalischer Schwerpunkt, Vorbereitung auf Musikstudium, Meisterkurse, Unterricht durch Hochschullehrkräfte",gemini_website
04P47,,,"Englisch, Französisch, Spanisch, Chinesisch",,,Privat,,"Individuelle Förderung, bilinguale (DE/EN) und internationale Ausrichtung, kleine Klassen, Mandarin, Kultur.",gemini_website
