schulnummer,schulname,strasse,plz,ort,website,email,school_type,traegerschaft,traeger,fax,phone,director,latitude,longitude,adresse,data_source,data_retrieved,bundesland,stadt
BY-SCHUL_SCHULSTANDORTEFOERDERZENTREN_70623091-1dc6-4706-81df-5a7319a67cfa,Schule für Kranke München,"Kölner Platz 1, Haus 22",80804,München,,,Förderzentren,,,,,,48.170628,11.577609,"Kölner Platz 1, Haus 22, 80804 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEFOERDERZENTREN_afa95526-2dae-4f12-b300-49baad439d08,Sonderpädagogisches Förderzentrum München Süd,Boschetsrieder Str. 35,81379,München,,,Förderzentren,,,,,,48.099961,11.536227,"Boschetsrieder Str. 35, 81379 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEFOERDERZENTREN_423271fd-1786-4e0f-90e9-6a5276a50fd1,Sonderpädagogisches Förderzentrum Rothwiesenstraße /München Nord-West,Rothwiesenstr. 18,80995,München,,,Förderzentren,,,,,,48.211825,11.48694,"Rothwiesenstr. 18, 80995 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEFOERDERZENTREN_f1f0cf09-d9f1-40d0-bd37-1f430aacecb2,"Prof.-Otto-Speck-Schule Förderzentrum emot. und soz. Entwicklung, München",Dachauer Str. 96,80335,München,,,Förderzentren,,,,,,48.151728,11.557673,"Dachauer Str. 96, 80335 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEFOERDERZENTREN_121363a7-a4a3-498e-a2c6-a639438af5f4,Sonderpädagogisches Förderzentrum München-Nord an der Paulckestraße,Paulckestr. 10,80933,München,,,Förderzentren,,,,,,48.217438,11.551315,"Paulckestr. 10, 80933 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEFOERDERZENTREN_7c9414c0-e69b-44db-adee-4824c56f57d7,"Sonderpädagogisches Förderzentrum München Mitte 2, An der Isar",Herrnstr. 21,80539,München,,,Förderzentren,,,,,,48.136607,11.581381,"Herrnstr. 21, 80539 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEBERUFLICHESCHULEN_0f2762e9-d42d-4af9-b028-465ec93628aa,"Therese-von-Bayern-Schule, staatl. Berufsoberschule für Wirtschaft München",Lindwurmstr. 90,80337,München,,,Berufsoberschulen,,,,,,48.12432,11.54746,"Lindwurmstr. 90, 80337 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEFOERDERZENTREN_d8bcc935-8b6a-4117-80a0-7d7f4d18d575,Sonderpädagogisches Förderzentrum München Süd-Ost Neuperlach,Gerhart-Hauptmann-Ring 15,81737,München,,,Förderzentren,,,,,,48.101353,11.653798,"Gerhart-Hauptmann-Ring 15, 81737 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEBERUFLICHESCHULEN_73562e30-7b70-403d-9484-4a5f99688ddd,Staatliche Berufsoberschule für Technik München,Orleansstr. 44,81667,München,,,Berufsoberschulen,,,,,,48.126533,11.601963,"Orleansstr. 44, 81667 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_f6f1998f-7725-49fe-a659-bf184fcbcf3a,"Mittelschule München, Weilerstraße 1",Weilerstr. 1,81541,München,,,Mittelschulen,,,,,,48.122928,11.587836,"Weilerstr. 1, 81541 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_cb66bae7-fa14-4e9e-b30e-ccbcf2f5ca72,"Mittelschule München, Bernaysstraße 35",Bernaysstr. 35,80937,München,,,Mittelschulen,,,,,,48.206077,11.579248,"Bernaysstr. 35, 80937 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_a189cc2a-eecb-4463-825c-1aa84f7152b0,"Mittelschule München, Blumenauer Straße 11",Blumenauer Str. 11,80689,München,,,Mittelschulen,,,,,,48.127779,11.474073,"Blumenauer Str. 11, 80689 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEFOERDERZENTREN_af42ebc3-4449-424e-82a9-46c96c8ced03,"Musenbergschule, Förderzentrum, Förderschwerpunkt Hören, München",Musenbergstr. 32,81929,München,,,Förderzentren,,,,,,48.171038,11.646385,"Musenbergstr. 32, 81929 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_a8a2d980-67d3-4727-8791-d1cbf7f92c6e,"Mittelschule München, am Echardinger Grünstreifen, Innsbrucker Ring 75",Innsbrucker Ring 75,81671,München,,,Mittelschulen,,,,,,48.121844,11.621165,"Innsbrucker Ring 75, 81671 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_f7415ea2-d26f-439f-a9bf-4a7b8f0807cc,"Mittelschule München, Eduard-Spranger-Straße 17",Georg-Zech-Allee 16,80995,München,,,Mittelschulen,,,,,,48.208811,11.531514,"Georg-Zech-Allee 16, 80995 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_b04dbb2c-e499-401f-b7a2-43eb88da9e2c,"Mittelschule München, Feldbergstraße 85",Feldbergstr. 85,81825,München,,,Mittelschulen,,,,,,48.117661,11.668102,"Feldbergstr. 85, 81825 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_9953a7cb-5d79-4c96-8cf5-2dd70cc141d7,"Mittelschule München, Franz-Nißl-Straße 55",Franz-Nißl-Str. 55,80999,München,,,Mittelschulen,,,,,,48.193577,11.461363,"Franz-Nißl-Str. 55, 80999 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_25b4363c-9a0c-404a-b543-7f93fa7533d2,"Mittelschule München, Führichstraße 53",Führichstr. 53,81671,München,,,Mittelschulen,,,,,,48.115952,11.615494,"Führichstr. 53, 81671 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_2e2eadd4-e366-4a06-9482-7aabe577cd53,"Mittelschule München, Fürstenrieder Straße 30",Fürstenrieder Str. 30,80686,München,,,Mittelschulen,,,,,,48.139112,11.502666,"Fürstenrieder Str. 30, 80686 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_74a711e7-38f9-4188-80f2-d5fcb5cba118,"Mittelschule München, Gotzinger Platz 1",Gotzinger Platz 1,81371,München,,,Mittelschulen,,,,,,48.117288,11.550818,"Gotzinger Platz 1, 81371 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_c2055711-26ac-4c86-974a-469cc561e126,"Mittelschule München, Haldenbergerstraße 27",Haldenbergerstr. 27,80997,München,,,Mittelschulen,,,,,,48.176071,11.489623,"Haldenbergerstr. 27, 80997 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_ec28fc2d-2760-4217-a0f8-6e3ef8e3357a,"Mittelschule München, Fernpaßstraße 41",Fernpaßstr. 41,81373,München,,,Mittelschulen,,,,,,48.121107,11.522278,"Fernpaßstr. 41, 81373 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_ca4fb9cf-b2e7-4d40-ab03-e0abecb28c3d,"Mittelschule München, Ichostraße 2",Ichostr. 2,81541,München,,,Mittelschulen,,,,,,48.115707,11.578528,"Ichostr. 2, 81541 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_16595193-7f60-43da-814e-1490b17e8564,"Mittelschule München, Implerstraße 35",Implerstr. 35,81371,München,,,Mittelschulen,,,,,,48.120736,11.548723,"Implerstr. 35, 81371 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_a7736c33-8661-4205-8b1e-c2e16609d87b,"Mittelschule München, Inzeller Weg 4",Inzeller Weg 4,81825,München,,,Mittelschulen,,,,,,48.127224,11.648761,"Inzeller Weg 4, 81825 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_c4b8ef16-4e11-4d6a-bda2-5e45aef8fa33,"Mittelschule München, Wittelsbacherstraße 10",Wittelsbacherstr. 10,80469,München,,,Mittelschulen,,,,,,48.12503,11.570341,"Wittelsbacherstr. 10, 80469 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_6a992f2f-eb1e-4c80-9376-da5276bab040,"Mittelschule München, Knappertsbuschstraße 43",Knappertsbuschstr. 43,81927,München,,,Mittelschulen,,,,,,48.163385,11.639652,"Knappertsbuschstr. 43, 81927 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_c9ea71de-1c26-4bc1-a47a-a01a9e23f5ea,"Mittelschule München, Leipziger Straße 7",Leipziger Str. 7,80992,München,,,Mittelschulen,,,,,,48.178379,11.518652,"Leipziger Str. 7, 80992 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_9069a59d-17de-4af5-ae33-590be9c91c22,"Mittelschule München, Perlacher Straße 114",Perlacher Str. 114,81539,München,,,Mittelschulen,,,,,,48.108921,11.589377,"Perlacher Str. 114, 81539 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_1e25e585-6e37-46b5-9c45-51563ce6ae4e,"Mittelschule München, Lehrer-Wirth-Straße 31",Lehrer-Wirth-Str. 31,81829,München,,,Mittelschulen,,,,,,48.128207,11.694105,"Lehrer-Wirth-Str. 31, 81829 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_6ee130bf-7a96-4cd2-9891-a854bb43c7cf,"Mittelschule München, Reichenaustraße 3",Reichenaustr. 3,81243,München,,,Mittelschulen,,,,,,48.147044,11.436266,"Reichenaustr. 3, 81243 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_bc614253-fa2e-460d-824d-c996be230e91,"Mittelschule München, Peslmüllerstraße 8",Peslmüllerstr. 8,81243,München,,,Mittelschulen,,,,,,48.141752,11.445861,"Peslmüllerstr. 8, 81243 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_b5d4871c-efd4-4733-b637-f81d1bb8309f,"Mittelschule München, Schleißheimer Straße 275",Schleißheimer Str. 275,80809,München,,,Mittelschulen,,,,,,48.180585,11.566501,"Schleißheimer Str. 275, 80809 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_17cb67f8-0bdd-449a-9d2e-1ad754494991,"Mittelschule München, Simmernstraße 2",Simmernstr. 2,80804,München,,,Mittelschulen,,,,,,48.16738,11.582841,"Simmernstr. 2, 80804 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_260bd00d-8bc4-4ada-8a92-69e8948de687,"Mittelschule München, Situlistraße 87",Situlistr. 87,80939,München,,,Mittelschulen,,,,,,48.195767,11.618154,"Situlistr. 87, 80939 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_ffbbb79b-f403-48ee-bdf0-8f153164fb9a,"Mittelschule München, Stuntzstraße 55",Stuntzstr. 55,81677,München,,,Mittelschulen,,,,,,48.141619,11.622683,"Stuntzstr. 55, 81677 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_5f87d162-d25c-4558-81ef-3ee7dfe21965,"Mittelschule München, Toni-Pfülf-Straße 30",Toni-Pfülf-Str. 30,80995,München,,,Mittelschulen,,,,,,48.201038,11.532896,"Toni-Pfülf-Str. 30, 80995 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_3fa85b1e-ed77-4cbc-b9ba-32c2165cc7e6,"Mittelschule München, Torquato-Tasso-Straße 38",Torquato-Tasso-Str. 38,80807,München,,,Mittelschulen,,,,,,48.180034,11.581221,"Torquato-Tasso-Str. 38, 80807 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_242e8fe3-b0d7-4c9e-9912-3543af545d4d,"Mittelschule München, Walliser Straße 5",Walliser Str. 5,81475,München,,,Mittelschulen,,,,,,48.091949,11.482629,"Walliser Str. 5, 81475 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_61dd325b-0534-4bb6-a269-54a41a1bd1ca,"Mittelschule München, Wiesentfelser Straße 53",Wiesentfelser Str. 53,81249,München,,,Mittelschulen,,,,,,48.146135,11.412995,"Wiesentfelser Str. 53, 81249 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_3cd7a9d2-b5fa-40f5-bb3e-0b33d8fbca77,"Mittelschule München, Winthirplatz 6",Winthirplatz 6,80639,München,,,Mittelschulen,,,,,,48.153282,11.5273,"Winthirplatz 6, 80639 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_94fcd1ad-f83d-49bf-a98e-ef93be906cdb,"Mittelschule München, Wörthstraße 2",Wörthstr. 2,81667,München,,,Mittelschulen,,,,,,48.131662,11.598082,"Wörthstr. 2, 81667 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_4efad132-7475-46fe-b549-c62aa9d07179,"Mittelschule München, Zielstattstraße 74",Zielstattstr. 74,81379,München,,,Mittelschulen,,,,,,48.102287,11.519935,"Zielstattstr. 74, 81379 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_f6c29785-ee6c-4d3c-b0dc-a9db529d0e5e,"Mittelschule München, Sambergerstraße 14",Sambergerstr. 14,81477,München,,,Mittelschulen,,,,,,48.080293,11.508217,"Sambergerstr. 14, 81477 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_154c18bb-6e37-4243-b2b2-5d193dbc1801,"Mittelschule München, Gerhart-Hauptmann-Ring 15",Gerhart-Hauptmann-Ring 15,81737,München,,,Mittelschulen,,,,,,48.101353,11.653798,"Gerhart-Hauptmann-Ring 15, 81737 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEBERUFLICHESCHULEN_582d3eee-370f-4db7-bd1a-57cfa6870193,Staatliche Fachoberschule für Technik München,Orleansstr. 44,81667,München,,,Fachoberschulen,,,,,,48.126533,11.601963,"Orleansstr. 44, 81667 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_7a32cfc9-204f-46ce-85f6-9117e815d636,"Mittelschule München, Hochstraße 31",Hochstr. 31,81669,München,,,Mittelschulen,,,,,,48.126085,11.586868,"Hochstr. 31, 81669 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEGYMNASIEN_98ce20ed-d9ec-428f-a3f9-7d07d125c47a,Gymnasium München-Trudering,Friedenspromenade 64,81827,München,,,Gymnasien,,,,,,48.110636,11.67381,"Friedenspromenade 64, 81827 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEBERUFLICHESCHULEN_78d342f2-fa1d-489e-81ed-270285a4456d,"Therese-von-Bayern-Schule, Staatl. Fachoberschule für Wirtschaft München",Lindwurmstr. 90,80337,München,,,Fachoberschulen,,,,,,48.12432,11.54746,"Lindwurmstr. 90, 80337 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_600ccc9f-014a-45f9-aefb-09e212af55ee,"Mittelschule München, Guardinistraße 60",Guardinistr. 60,81375,München,,,Mittelschulen,,,,,,48.11853,11.494343,"Guardinistr. 60, 81375 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEGYMNASIEN_f4bf16af-64d0-4da2-b1be-af09200332dc,Karlsgymnasium München-Pasing,Am Stadtpark 21,81243,München,,,Gymnasien,,,,,,48.141573,11.452465,"Am Stadtpark 21, 81243 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEBERUFLICHESCHULEN_3070b611-0def-4c41-ba93-0f1bbea86e5a,Staatliche Fachoberschule München-West,Bergsonstr. 109,81245,München,,,Fachoberschulen,,,,,,48.163257,11.434339,"Bergsonstr. 109, 81245 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEGYMNASIEN_7fe22a7c-24c6-469f-a593-d3f153e6ae3c,Ludwigsgymnasium München,Fürstenrieder Str. 159 a,81377,München,,,Gymnasien,,,,,,48.122118,11.504679,"Fürstenrieder Str. 159 a, 81377 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEGYMNASIEN_ce41bb75-f3f8-4124-a39a-9be8fda6bed0,Maximiliansgymnasium München,Oettingenstr. 78,80538,München,,,Gymnasien,,,,,,48.150023,11.595798,"Oettingenstr. 78, 80538 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEGYMNASIEN_360cb8b1-ee5c-4909-8c6c-1eb24e4871a0,Theresien-Gymnasium München,Kaiser-Ludwig-Platz 3,80336,München,,,Gymnasien,,,,,,48.131907,11.556458,"Kaiser-Ludwig-Platz 3, 80336 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
