schulnummer,schulname,school_type,schulkategorie,schulform_raw,klassenstufe,strasse,plz,ort,stadt,bundesland,ortsteil,latitude,longitude,telefon,fax,email,website,traegerschaft,traeger_name,form_der_privatschule,schulleitung,stv_schulleitung,schueler_gesamt,klassenzahl,unterrichtszeit,unterrichtszeit_erlaeuterung,profile,sonstige_profile,foerderschwerpunkt,unterrichtssprache,fruehe_fremdsprache,erste_fremdsprache,zweite_fremdsprache,dritte_fremdsprache,sprachen,art_des_angebots,ganztagsform,besonderheiten,besonderheiten_erlaeuterung,auszeichnungen,foerderverein,schulbibliothek,namensgebung,berufsbereiche,ausbildungsberufe,schulform_bemerkung,ndh_count,sw_portal_url,sw_portal_slug,data_source,data_retrieved
3129,Berthold-Otto-Schule,Grundschule,grundschulen,Grundschule,1-4,Kiefernstraße 18a,65933,Frankfurt am Main,Frankfurt am Main,Hessen,Griesheim,50.0997,8.60645,+49 69 212 33901,+49 69 212 42626,poststelle.berthold-otto-schule@stadt-frankfurt.de,,Stadt Frankfurt am Main,,,Carola Rasch-Hegelund,,280.0,13.0,08:15 bis 13:30 Uhr,,,,,Deutsch,"Englisch, Herkunftssprachlicher Unterricht, Arabisch, Türkisch, Erläuterung der Sprachangebote",,,,"Englisch, Herkunftssprachlicher Unterricht, Arabisch, Türkisch, Erläuterung der Sprachangebote",Ganztagsangebote,Schule mit Frühbetreuung,"Förderung der Deutschkenntnisse, Ganztagsangebote, Gewaltprävention, Jugendhilfeangebot, Kooperationspartner, Mittagessen",,,,Schullandheim,"Berthold Otto (1859-1933) Reformpädagoge, gründete 1911 eine eigene Gesamtschule",,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/berthold-otto-schule,berthold-otto-schule,Frankfurt Schulwegweiser,2026-04-06
3167,Boehleschule,Grundschule,grundschulen,Grundschule,1-4,Jungmannstraße 3-5,65933,Frankfurt am Main,Frankfurt am Main,Hessen,Griesheim,50.0919,8.60541,+49 69 212 42670,+49 69 212 42709,poststelle.boehleschule@stadt-frankfurt.de,,Stadt Frankfurt am Main,,,Marina Eckert,Stefanie Stromberger,292.0,12.0,siehe Erläuterung der Unterrichtszeit,,,,,Deutsch,"Englisch, Herkunftssprachlicher Unterricht, Türkisch",,,,"Englisch, Herkunftssprachlicher Unterricht, Türkisch",Ganztagsangebote,Schule mit Frühbetreuung,"AGs am Nachmittag, Ganztagsangebote, Jugendhilfeangebot",,,"""Förderverein der Boehleschule e.V."", Ansprechpartnerin: Carmen Wildtraut",Öffnungszeiten: täglich von 09:30 - 10:00 Uhr,"Fritz Boehle (1873-1916), Maler",,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/boehleschule,boehleschule,Frankfurt Schulwegweiser,2026-04-06
3168,Bonifatiusschule,Grundschule,grundschulen,Grundschule,1-4,Hamburger Allee 43,60486,Frankfurt am Main,Frankfurt am Main,Hessen,Bockenheim,50.1152,8.64761,+49 69 212 33527,,poststelle.bonifatiusschule@stadt-frankfurt.de,http://www.bonifatiusschule-frankfurt.de,Stadt Frankfurt am Main,,,Isabella Eberz-Leuschner,,264.0,12.0,08:00 bis 13:30 Uhr,,,,,Deutsch,"Englisch, Herkunftssprachlicher Unterricht, Türkisch",,,,"Englisch, Herkunftssprachlicher Unterricht, Türkisch",Ganztagsangebote,Schule mit Frühbetreuung,"AGs am Nachmittag, Besondere Leseförderung, Förderung besonderer Begabung, Förderung der Deutschkenntnisse, Ganztagsangebote, Gewaltprävention, Jugendhilfeangebot, Kooperationspartner",,"Schule der Nachhaltigkeit, Musikalische Grundschule","""Förderverein der Bonifatiusschule e.V."", Ansprechpartner/in: Frau Verheyen","Öffnungszeiten: Täglich in der 1. Pause und nach Absprache. Vorlesestunden, Autorenlesungen, Monatsrätsel. Von der Stadtbücherei aufgebaut und organisiert.","St. Bonifatius (672-754) kath. Heiliger, Missionar",,,,11.0,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/bonifatiusschule,bonifatiusschule,Frankfurt Schulwegweiser,2026-04-06
3156,Brentanoschule,Grundschule,grundschulen,Grundschule,1-4,Biedenkopfer Weg 33,60489,Frankfurt am Main,Frankfurt am Main,Hessen,Rödelheim,50.1207,8.60364,+49 69 212 42713,,poststelle.brentanoschule@stadt-frankfurt.de,https://www.brentanoschule-frankfurt.de/,Stadt Frankfurt am Main,,,Konstanze Kutschera,,230.0,10.0,08:00 bis 13:30 Uhr,,"Flexibler Schulanfang, Schwerpunkt Musik, Schwerpunkte:, Flexibler Schulanfang:",,,Deutsch,"Englisch, Herkunftssprachlicher Unterricht, Türkisch",,,,"Englisch, Herkunftssprachlicher Unterricht, Türkisch",Ganztagsangebote,Schule mit Frühbetreuung,"AGs am Nachmittag, Besondere Leseförderung, Förderung der Deutschkenntnisse, Ganztagsangebote, Jugendhilfeangebot, Kooperationspartner",,"""Gesundheitsfördernde Schule"", ""Musikalische Grundschule"" und Zertifikat ""Schule und Gesundheit""","""Förderverein der Brentanoschule"", Ansprechpartnerin: Frau Neubert (Schulsekretärin), brentanoschule@t-online.de",Von der Stadtbücherei aufgebaut und organisiert. Öffnungszeiten: dienstags und donnerstags 08:45 - 12:30 Uhr. Wöchentliche feste Büchereistunde für jede Klasse.,"Nach der Familie von Brentano, Frankfurter Patrizierfamilie",,,,28.0,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/brentanoschule,brentanoschule,Frankfurt Schulwegweiser,2026-04-06
3173,Comeniusschule,Grundschule,grundschulen,Grundschule,1-4,Burgstraße 59,60389,Frankfurt am Main,Frankfurt am Main,Hessen,Nordend,50.1239,8.6962,+49 69 212 33484,+49 69 212 36612,poststelle.comeniusschule@stadt-frankfurt.de,http://www.comeniusschule-frankfurt.de,Stadt Frankfurt am Main,,,Christian Uhling-Neumann,Denise Emmerich,387.0,18.0,siehe Erläuterung der Unterrichtszeit,,"Schwerpunkt Musik, Schwerpunkt Musik",,,Deutsch,"Englisch, Herkunftssprachlicher Unterricht, Arabisch, Türkisch",,,,"Englisch, Herkunftssprachlicher Unterricht, Arabisch, Türkisch",Ganztagsangebote,,"AGs am Nachmittag, Besondere Leseförderung, Förderung der Deutschkenntnisse, Ganztagsangebote, Gewaltprävention, Hausaufgabenhilfe/-betreuung, Kooperationspartner",,"""Umweltschule"" und ""Musikalische Grundschule""","""Freunde und Förderer der Comeniusschule e.V.""",Täglich von 09:00 - 11:00 Uhr. Eltern arbeiten ehrenamtlich in unserer Bücherei. Kinder leihen in dieser Zeit Bücher aus.,"Johann Amos Comenius (1592-1670), Pädagoge",,,,57.0,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/comeniusschule,comeniusschule,Frankfurt Schulwegweiser,2026-04-06
3135,Dahlmannschule,Grundschule,grundschulen,Grundschule,1-4,Luxemburgerallee 24,60385,Frankfurt am Main,Frankfurt am Main,Hessen,Ostend,50.1189,8.71197,+49 69 212 35278,+49 69 212 31190,poststelle.dahlmannschule@stadt-frankfurt.de,http://dahlmannschule-frankfurt.de/,Stadt Frankfurt am Main,Stadt Frankfurt am Main,,Heike Talberg,Frau Pohl,405.0,18.0,8:15 Uhr bis 14:15 Uhr,,"Schwerpunkt Sport, Schwerpunkt Musik",,,Deutsch,Englisch,,,,Englisch,Ganztagsangebote,Schule mit Frühbetreuung,"AGs am Nachmittag, Förderung der Deutschkenntnisse, Ganztagsangebote, Gewaltprävention, Kooperationspartner, Pausenverkauf",,,"""Förderverein Verein der Freunde und Förderer der Dahlmannschule"", Ansprechpartner/in: Frau Sabine Beck, Frau Petra Schmidt, FV.Dahlmannschule@gmx.de",Schülerzeitung,Friedrich Christoph Dahlmann (1785-1860) Historiker und Politiker. Mitglied der Frankfurter Nationalversammlung 1848,,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/dahlmannschule,dahlmannschule,Frankfurt Schulwegweiser,2026-04-06
3136,Diesterwegschule,Grundschule,grundschulen,Grundschule,1-4,Ginnheimer Waldgasse 30,60431,Frankfurt am Main,Frankfurt am Main,Hessen,Ginnheim,50.1455,8.65083,+49 69 212 42881,+49 69 212 42805,poststelle.diesterwegschule@stadt-frankfurt.de,http://www.diesterwegschule-frankfurt.de,Stadt Frankfurt am Main,,,Christiane Wieler,,380.0,19.0,08:00 bis 13:15 Uhr,,"Schwerpunkt Musik, Schwerpunkt Musik",,,Deutsch,"Französisch, Herkunftssprachlicher Unterricht, Türkisch",,,,"Französisch, Herkunftssprachlicher Unterricht, Türkisch",Ganztagsangebote,Schule mit Frühbetreuung,"AGs am Nachmittag, Förderung der Deutschkenntnisse, Ganztagsangebote, Jugendhilfeangebot",,,"""Förderverein der Diesterwegschule e.V."", Ansprechpartner: Vorsitzender Herr Martin Richter","Öffnungszeiten: Tägliche Ausleihe in den Pausen, feste Büchereistunden für die Klassen. Konzept: Projekte, Lesungen, Vorlesetag. Von der Stadtbücherei aufgebaut und organisiert.",Adolf Diesterweg (1790-1866) Pädagoge und Schulpolitiker,,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/diesterwegschule,diesterwegschule,Frankfurt Schulwegweiser,2026-04-06
3137,Ebelfeldschule,Grundschule,grundschulen,Grundschule,1-4,Praunheimer Hohl 4,60488,Frankfurt am Main,Frankfurt am Main,Hessen,Praunheim,50.1412,8.61348,+49 69 212 35598,+49 69 212 30195,poststelle.ebelfeldschule@stadt-frankfurt.de,www.ebelfeldschule.de,Stadt Frankfurt am Main,,,Petra Eichner,Frau Köhler,420.0,14.0,07:55 Uhr bis 13:15 Uhr,,"Schwerpunkt Naturwissenschaften, Schwerpunkt Naturwissenschaften",,,Deutsch,"Englisch, Herkunftssprachlicher Unterricht, Türkisch",,,,"Englisch, Herkunftssprachlicher Unterricht, Türkisch",Ganztagsangebote,Schule mit Frühbetreuung,"Ganztagsangebote, Jugendhilfeangebot, Mittagessen",,,"""Förderverein Ebelfeldschule e.V."", Ansprechpartnerin: Frau Dr. Schmidt",,Benannt nach den geographischen Gegebenheiten (eine Erhebung an der Nidda namens Ebel),,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/ebelfeldschule,ebelfeldschule,Frankfurt Schulwegweiser,2026-04-06
3138,Eichendorffschule,Grundschule,grundschulen,Grundschule,1-4,Waldschulstraße 83,65933,Frankfurt am Main,Frankfurt am Main,Hessen,Griesheim,50.1033,8.60205,+49 69 212 43113,+49 69 212 42912,poststelle.eichendorffschule@stadt-frankfurt.de,,Stadt Frankfurt am Main,,,Frau Stemmer,Bettina Wetzel,290.0,13.0,08:00 bis 13:15 Uhr,,,,,Deutsch,Englisch,,,,Englisch,Ganztagsangebote,Schule mit Frühbetreuung,"AGs am Nachmittag, Besondere Leseförderung, Förderung der Deutschkenntnisse, Ganztagsangebote, Jugendhilfeangebot, Kooperationspartner",,"""Gesundheitsfördernde Schule""","""Freunde und Förderer der Eichendorffschule (FFE)"", Ansprechpartnerin: Vorsitzende: Frau Özlem Baysal",Schulzeitung,Josef Freiherr von Eichendorff (10.03.1788 - 26.11.1857) Dichter,,,,12.0,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/eichendorffschule,eichendorffschule,Frankfurt Schulwegweiser,2026-04-06
3130,Elsa-Brändström-Schule,Grundschule,grundschulen,Grundschule,1-4,Lindenstraße 2,60325,Frankfurt am Main,Frankfurt am Main,Hessen,Westend,50.1152,8.661,Sekretariat Frau Petra Schröder,,poststelle.elsa-braendstroem-schule@stadt-frankfurt.de,http://www.ebs-ffm.de/,Stadt Frankfurt am Main,,,Thorsten Kübert,Liz Beutel,341.0,14.0,08:00 bis 13:10 Uhr,,"Schwerpunkt Kunst, Schwerpunkt Musik, Schwerpunkt Neue Technologien, Schwerpunkte",,,Deutsch,Englisch,,,,Englisch,Ganztagsangebote,Schule mit Frühbetreuung,"AGs am Nachmittag, Besondere Leseförderung, Förderung der Deutschkenntnisse, Ganztagsangebote, Gewaltprävention",,,"""Freunde und Förderer der Elsa-Brändström-Schule e.V."", Ansprechpartner/in: Frau Filippi (1. Vorsitzende)",Öffnungszeiten: Mo. bis Fr. zwischen 07:45 bis 08:00 Uhr Frühausleihe. Jede Klasse besucht 14-tägig während einer Deutschstunde im Klassenverband die Bücherei und führt eine Lesezeit mit Ausleihmöglichkeit durch. Von der Stadtbücherei aufgebaut und organisiert,"Elsa Brändström (1888-1948) als ""Engel von Sibirien"" bekannt, setzte sich für Kriegsgefangene des ersten Weltkrieges in russischen Lagern ein",,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/elsa-braendstroem-schule,elsa-braendstroem-schule,Frankfurt Schulwegweiser,2026-04-06
SW-emma-kann-grundschule,Emma-Kann-Grundschule,Grundschule,grundschulen,Grundschule,1-4,Maastrichter Ring 4,60486,Frankfurt am Main,Frankfurt am Main,Hessen,Gallus,50.1089689,8.6282704,+49 69 212 70935,+49 69 212 34389,poststelle.emma-kann-grundschule@stadt-frankfurt.de,https://www.emma-kann-grundschule.de/,Stadt Frankfurt am Main,,,Frau Soo-Young Hirsch-Yun,,,,07:30 bis max. 17:00 Uhr (Erweiterte Schulische Betreuung),,,,,Deutsch,,,,,,,Schule mit Frühbetreuung,,,,,Von der Stadtbücherei aufgebaut und organisiert.,"Emma Kann (1914-2009), deutsche Lyrikerin und Essayistin",,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/emma-kann-grundschule,emma-kann-grundschule,Frankfurt Schulwegweiser,2026-04-06
3131,Engelbert-Humperdinck-Schule,Grundschule,grundschulen,Grundschule,1-4,Wolfsgangstraße 106,60322,Frankfurt am Main,Frankfurt am Main,Hessen,Westend,50.1238,8.67077,+49 69 212 35137,+49 69 212 38214,poststelle.engelbert-humperdinck-schule@stadt-frankfurt.de,http://www.ehs-frankfurt.de,Stadt Frankfurt am Main,,,Manuela Remke,Angela Wanke,348.0,16.0,08:30 bis 13:45 Uhr,,"Schwerpunkt Kunst, Schwerpunkt Mathematik, Schwerpunkt Musik, Schwerpunkt Naturwissenschaften, Schwerpunkt Neue Technologien, Schwerpunkt Sprachen, Schwerpunkte",,,Deutsch,Englisch,,,,Englisch,Ganztagsangebote,Schule mit Frühbetreuung,"AGs am Nachmittag, Besondere Leseförderung, Förderung der Deutschkenntnisse, Ganztagsangebote, Gewaltprävention, Kooperationspartner, Mittagessen",,,"""Freunde und Förderer der Engelbert-Humperdinck-Schule"", Ansprechpartner: Herr Dr. Schwarz",Schüleraustausch,Engelbert Humperdinck (1854-1921) Komponist,,,Schule mit Ganztagsangeboten,10.0,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/engelbert-humperdinck-schule,engelbert-humperdinck-schule,Frankfurt Schulwegweiser,2026-04-06
