schulnummer,schulname,school_type,schulkategorie,schulform_raw,klassenstufe,strasse,plz,ort,stadt,bundesland,ortsteil,latitude,longitude,telefon,fax,email,website,traegerschaft,traeger_name,form_der_privatschule,schulleitung,stv_schulleitung,schueler_gesamt,klassenzahl,unterrichtszeit,unterrichtszeit_erlaeuterung,profile,sonstige_profile,foerderschwerpunkt,unterrichtssprache,fruehe_fremdsprache,erste_fremdsprache,zweite_fremdsprache,dritte_fremdsprache,sprachen,art_des_angebots,ganztagsform,besonderheiten,besonderheiten_erlaeuterung,auszeichnungen,foerderverein,schulbibliothek,namensgebung,berufsbereiche,ausbildungsberufe,schulform_bemerkung,ndh_count,sw_portal_url,sw_portal_slug,data_source,data_retrieved,schueler_2024_25
3112,Heinrich-Kleyer-Schule,Berufliche Schule,weiterfuehrende-berufliche-schulen,"Berufliche Schule, Berufliches Gymnasium, Bildungsgänge zur Berufsvorbereitung (BzB), Fachoberschule, Zweijährige Berufsfachschule, Weiterführende berufliche Schule",,Kühhornshofweg 27,60320,Frankfurt am Main,Frankfurt am Main,Hessen,Nordend,50.1360494,8.6821235,+49 69 212 35148,+49 69 212 30732,poststelle.heinrich-kleyer-schule@stadt-frankfurt.de,http://www.heinrich-kleyer-schule.de,Stadt Frankfurt am Main,,,Klaus Sandrock,,2888.0,117.0,07:30 bis 21:00 Uhr,,,,,,,Englisch,Französisch,,"Englisch, Französisch",,,"Jugendhilfeangebot, Mittagessen, Schüleraustausch",,,Verein der Freunde und Förderer der Heinrich-Kleyer-Schule e.V.,Von der Stadtbücherei aufgebaut und organisiert. Öffnungszeiten: 9:45 Uhr bis 14:15 Uhr. Ansprechpartnerin: Frau Boß,"Heinrich Kleyer (1853 - 1932), Gründer der ""Adler-Werke""","Fahrzeugtechnik, Maschinenbautechnik, Mechatronik, Metalltechnik","Augenoptiker/in, Eisenbahner/in im Betriebsdienst, Fahrradmonteur/in, Feinwerkmechaniker/in, Industriemechaniker/in, Karosserie- und Fahrzeugbaumechaniker/in, Kostruktionsmechaniker/in, Kraftfahrzeugmechatroniker/in - verschiedene Schwerpunkte, Mechatroniker/in, Metallbauer/in verschiedene Fachrichtungen, Zerspanungsmechaniker/in, Zweiradmechaniker/in",,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/weiterfuehrende-berufliche-schulen/heinrich-kleyer-schule,heinrich-kleyer-schule,Frankfurt Schulwegweiser,2026-04-06,371
SW-hochschule-fresenius,Hochschule Fresenius,Berufliche Schule,weiterfuehrende-berufliche-schulen,"Berufliche Schule, Weiterführende berufliche Schule",,Marienburgstraße 2,60528,Frankfurt am Main,Frankfurt am Main,Hessen,Niederrad,50.0920074,8.6478414,+49 69 247514252,+49 69 247514260,gesundheit-frankfurt@hs-fresenius.de,http://www.hs-fresenius.de,Private Träger,Hochschule Fresenius gem. GmbH,,,,,,,,,,,Deutsch,,,,,,,,,,,,,,"Gesundheit, Sozialwesen","Erzieher/in, Sozialassistent/in",Höhere Berufsfachschule für Sozialassistenz und Fachschule für Sozialpädagogik,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/weiterfuehrende-berufliche-schulen/hochschule-fresenius,hochschule-fresenius,Frankfurt Schulwegweiser,2026-04-06,
4393,IKS - Interkulturelle Schule Rhein-Main,Berufliche Schule,weiterfuehrende-berufliche-schulen,"Berufliche Schule, Fachoberschule, Weiterführende berufliche Schule",,Kaiserkronenweg 1,60433,Frankfurt am Main,Frankfurt am Main,Hessen,Preungesheim,50.1659552,8.6808351,+49 69 27997180,+49 69 27997182,info@iks-schule.de,http://www.iks-rhein-main.de,Private Träger,EAE European Academy of Economics gGmbH,"Staatlich genehmigte Ersatzschule, Staatlich anerkannte Ersatzschule",Dr. I. Özkan,,199.0,,,,,,,Deutsch,,,,,,,,Mittagessen,,,,,,Wirtschaft und Verwaltung,"Bürokraft, Kaufmann/Kauffrau für Bürokommunikation, Kaufmann/Kauffrau für Dialogmarketing, Kaufmann/Kauffrau für Marketingkommunikation",,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/weiterfuehrende-berufliche-schulen/iks---interkulturelle-schule-rhein-main,iks---interkulturelle-schule-rhein-main,Frankfurt Schulwegweiser,2026-04-06,201
SW-julius-leber-schule,Julius-Leber-Schule,Fachoberschule,weiterfuehrende-berufliche-schulen,"Berufsschule, Fachoberschule, Weiterführende berufliche Schule",,Seilerstraße 32,60313,Frankfurt am Main,Frankfurt am Main,Hessen,Innenstadt,50.1166227,8.6912399,+49 69 212 34408,+49 69 212 40519,poststelle.julius-leber-schule@stadt-frankfurt.de,http://www.julius-leber-schule.de,Stadt Frankfurt am Main,,,Oliver Schulz,Ulrike Janßen,2700.0,120.0,08:00 bis 17:00 Uhr,,,,,Deutsch,,Englisch,,,Englisch,,,"Angebote zur beruflichen Orientierung, Jugendhilfeangebot",,Engagierte Schule im Kampf gegen Blutkrebs „Wir retten Leben“ DKMS; Grenzenlos-Schule: Globales Lernen in der beruflichen Bildung; Schule im Trialog der Kulturen; Nachhaltigkeit lernen in Hessen: Lernen und Handeln für unsere Zukunft,"""Verein zur Förderung der beruflichen Bildung an der Julius-Leber-Schule e.V.""",,"Julius Leber (1891 - 1945), Sozialdemokrat, Publizist. Mitglied des Reichtages (1924 - 1933) , Widerstandskämpfer","Gesundheit, Wirtschaft - Schwerpunkt Wirtschaft und Verwaltung","Fachkraft für Kurier-, Express- und Postdienste, Kaufmann/Kauffrau für Kurier-, Express- und Postdienste, Kaufmann/Kauffrau für Spedition und Logistikdienste, Kaufmann/Kauffrau für Verkehrsservice, Medizinische/r Fachangestellte/r, Pharmazeutisch-kaufmännischer/r Angestellte/r, Tiermedizinische/r Fachangestellte/r, Zahnmedizinische/r Fachangestellte/r",,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/weiterfuehrende-berufliche-schulen/julius-leber-schule,julius-leber-schule,Frankfurt Schulwegweiser,2026-04-06,
SW-klingerschule,Klingerschule (Weiterführende berufliche Schule),Berufsschule,weiterfuehrende-berufliche-schulen,"Berufsschule, Berufliches Gymnasium, Berufsfachschule zum Übergang in Ausbildung – BÜA, Zweijährige Höhere Berufsfachschule, Weiterführende berufliche Schule",,Hermesweg 10,60316,Frankfurt am Main,Frankfurt am Main,Hessen,Nordend,50.1185018,8.6933852,+49 69 212 33749,+49 69 212 35838,poststelle.klingerschule@stadt-frankfurt.de,https://www.klingerschule.com/,Stadt Frankfurt am Main,,,Annette Grawenhoff,,1000.0,49.0,08:00 bis 16:45 Uhr,,,,,Deutsch,,Englisch,"Spanisch, Weitere Sprachangebote",,"Englisch, Spanisch, Weitere Sprachangebote",,,"Jugendhilfeangebot, Angebote zur beruflichen Orientierung, Gewaltprävention, Schüleraustausch",,,"""Förderverein der Klingerschule Frankfurt am Main e.V.""",Von der Stadtbücherei aufgebaut und organisiert.,Friedrich-Maximilian Klinger (1752 - 1831),"Wirtschaft, Gesundheit, Erziehungswissenschaft","Kaufmann/Kauffrau für Versicherung und Finanzen, Kaufmann/Kauffrau für Gesundheitswesen, Erläuterungen zu den Schulformen",,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/weiterfuehrende-berufliche-schulen/klingerschule,klingerschule,Frankfurt Schulwegweiser,2026-04-06,
3158,Ludwig-Erhard-Schule,Berufsfachschule zum Übergang in Ausbildung – BÜA,weiterfuehrende-berufliche-schulen,"Berufsfachschule zum Übergang in Ausbildung – BÜA, Berufsschule, Fachoberschule Form A, Weiterführende berufliche Schule",,Legienstraße 5,65929,Frankfurt am Main,Frankfurt am Main,Hessen,Unterliederbach,50.1108686,8.5345941,+49 69 212 43900,+49 69 212 43666,poststelle.ludwig-erhard-schule@stadt-frankfurt.de,http://www.les-frankfurt.de,Stadt Frankfurt am Main,,,Bernhard Friedrich,Petra Schaub,1445.0,70.0,7:55 bis 16:40 Uhr,,,,,Deutsch,,"Englisch, Weitere Sprachangebote, Französisch, Spanisch",,,"Englisch, Weitere Sprachangebote, Französisch, Spanisch",,,Pausenverkauf,,,"""Förderverein der Ludwig-Erhard-Schule e.V."", Ansprechpartner/in: Herr Uwe Kunz",,"Ludwig Erhard (1897 - 1977), Deutscher Bundeskanzler",Wirtschaft und Verwaltung,"Kaufmann/Kauffrau im Einzelhandel, Kaufmann/Kauffrau für Büromanagement, Kaufmann/Kauffrau für Dialogmarketing, Servicekraft für Dialogmarketing, Verkäufer/in, Industriekaufmann/-frau",,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/weiterfuehrende-berufliche-schulen/ludwig-erhard-schule,ludwig-erhard-schule,Frankfurt Schulwegweiser,2026-04-06,214
SW-mediacampus---schule-des-deutschen-buchhandels,mediacampus frankfurt GmbH,Berufliche Schule,weiterfuehrende-berufliche-schulen,"Berufliche Schule, Weiterführende berufliche Schule",,Wilhelmshöher Straße 283,60389,Frankfurt am Main,Frankfurt am Main,Hessen,Seckbach,50.1501909,8.7391395,+49 69 9474000,+49 69 94740050,info@mediacampus-frankfurt.de,http://www.mediacampus-frankfurt.de,Private Träger,Börsenverein GmbH,Staatlich anerkannte Ersatzschule,Nele Drewello,,599.0,,,,,,,,,,,,,,,,,,,,,,"Buchhändler/in, Kaufmann/Kauffrau im Einzelhandel, Medienkaufmann/-frau Digital und Print, Kaufmann/-frau im E-Commerce",,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/weiterfuehrende-berufliche-schulen/mediacampus---schule-des-deutschen-buchhandels,mediacampus---schule-des-deutschen-buchhandels,Frankfurt Schulwegweiser,2026-04-06,
6121,Paul-Ehrlich-Schule,Fachoberschule,weiterfuehrende-berufliche-schulen,"Berufsschule, Bildungsgänge zur Berufsvorbereitung (BzB), Fachoberschule, Weiterführende berufliche Schule",,Brüningstraße 2,65929,Frankfurt am Main,Frankfurt am Main,Hessen,Höchst,50.0979105,8.5436315,+49 69 212 45506,+49 69 212 45765,poststelle.paul-ehrlich-schule@stadt-frankfurt.de,http://www.paul-ehrlich-schule.de,Stadt Frankfurt am Main,,,Dr. Eva Kaufmann,Robert König,1600.0,85.0,siehe Erläuterung der Unterrichtszeit,,,,,Deutsch,,Englisch,,,Englisch,,,Schülerzeitung,,,,,Seit 1959 nach dem Mediziner und Naturwissenschaftler Paul Ehrlich (1854 - 1915) benannt. Er arbeitete sehr erfolgreich bei den Farbwerken Höchst auf dem Gebiet der Chemotherapie und erhielt dafür 1908 den Nobelpreis für Medizin,"Chemie, Physik, Biologie, Technik - Schwerpunkt Chemisch-physikalische Technik, Gesundheit","Biologielaborant/in, Chemielaborant/in, Chemikant/in, Drogist/in, Orthopädieschumacher/in, Pharmakant/in, Produktionsfachkraft Chemie, Tierpfleger/in, Zahntechniker/in",,40.0,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/weiterfuehrende-berufliche-schulen/paul-ehrlich-schule,paul-ehrlich-schule,Frankfurt Schulwegweiser,2026-04-06,674
SW-philipp-holzmann-schule,Philipp-Holzmann-Schule,Fachoberschule,weiterfuehrende-berufliche-schulen,"Berufsschule, Berufliches Gymnasium, Fachoberschule, Berufsfachschule zum Übergang in Ausbildung – BÜA, Bildungsgänge zur Berufsvorbereitung (BzB), InteA, Weiterführende berufliche Schule",,Siolistraße 41,60323,Frankfurt am Main,Frankfurt am Main,Hessen,Westend,50.1300646,8.6646231,+49 69 212 34422,+49 69 212 30791,poststelle.philipp-holzmann-schule@stadt-frankfurt.de,http://www.Philipp-Holzmann-Schule.de,Stadt Frankfurt am Main,,,Yvonne Sprock,Torsten Kolb,2400.0,120.0,7:30 bis 14:45 Uhr,,,,,Deutsch,,Englisch,,,Englisch,,,"Gewaltprävention, Pausenverkauf, Schüleraustausch",,,"""Förderverein Philipp-Holzmann-Schule e.V.""",,Johann Philipp Holzmann (1805 - 1870) Mitbegründer der Philipp-Holzmann AG,"Agrarwirtschaft, Bautechnik, Bautechnik / Holztechnik, Farbtechnik und Raumgestaltung, Gartenbau und Floristik, Gebäudereinigung, Holztechnik, Metalltechnik","Anlagenmechaniker/in für Sanitär-, Heizungs- und Klimatechnik, Ausbaufacharbeiter/in, Bauzeichner/in, Dachdecker/in, Fachkraft für Möbel- Küchen- und Umzugsservice, Fahrzeuglackierer/in, Florist/in, Gärtner/in, Gebäudereiniger/in, Hochbaufacharbeiter/in, Holzmechaniker/in, Kanalbauer/in, Maler/in und Lackierer/in, Tiefbaufacharbeiter/in, Tischler/in, Zimmerer/in, Erläuterungen zu den Schulformen",,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/weiterfuehrende-berufliche-schulen/philipp-holzmann-schule,philipp-holzmann-schule,Frankfurt Schulwegweiser,2026-04-06,
SW-rackow-schule-frankfurt,Rackow-Schule Frankfurt (Weiterf. berufl. Schule),Fachoberschule,weiterfuehrende-berufliche-schulen,"Berufliches Gymnasium, Fachoberschule, Gymnasium, Realschule, Weiterführende berufliche Schule",5-13,Eckenheimer Landstraße 303,60320,Frankfurt am Main,Frankfurt am Main,Hessen,Dornbusch,50.1391219,8.6843858,+49 69 552754,+49 69 557763,schulplatz@rackow-frankfurt.de,http://www.rackow-schulen.de,Private Träger,Kolping Bildungswerke,Staatlich anerkannte Ersatzschule,Michael Damm,Manuel Bromkamp (Sekundarstufe 1),570.0,28.0,"8:15-15:30 Uhr, AG Angebot ab 15:45-17:15",,,,,Deutsch,,Englisch,"Französisch, Spanisch, Weitere Sprachangebote, Sonstige Angebote",,"Englisch, Französisch, Spanisch, Weitere Sprachangebote, Sonstige Angebote",,,,,,"""Freunde und Förderer der Rackow-Schulen Frankfurt e.V.""",,"Professor August Rackow, Begründer der ersten Rackow-Schule in Berlin","Sozialwesen, Gesundheit, Wirtschaft und Verwaltung, Wirtschaft - Schwerpunkt Wirtschaft und Verwaltung",,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/weiterfuehrende-berufliche-schulen/rackow-schule-frankfurt,rackow-schule-frankfurt,Frankfurt Schulwegweiser,2026-04-06,
