Schul-nummer,Landkreis,Gemeinde,rechtsform,gesamtschultyp,schulname,plz,ort,strasse,Telefon- vorwahl,Telefon-nummer,Kennung Internat,Vorklassen,Grundschulen,davon an_Eingangsstufe,Grundschule (inkl. GFLX),Förderstufe,Hauptschule,Mittelstufen-schule,Realschule,gesamtschultyp,Gymnasien,davon an_Gymnasien (Mittelstufe),Gymnasien (Oberstufe),Förderschulen,Förderschule mit Förderschwerpunkt_Sehen,emotionale und soziale Entwicklung,Hören,körperliche und motorische Entwicklung,Kranke,Lernen,Sprachheil-förderung,geistige Entwicklung,Realschul-klassen,Nichtdeutscher Herkunfts- sprache,Schulen für Erwachsene,davon an_Abend-hauptschule,Abend-realschule,Abend-gymnasium,Kolleg,Schülerinnen und Schüler insgesamt mit Vorklassen,Schülerinnen und Schüler insgesamt ohne Vorklassen,fax,email,traegerschaft,schueler_gesamt,ndh_count,school_type,stadt,bundesland,data_source,data_retrieved,latitude,longitude
3116,412,000,1,,Karl-von-Ibell-Schule,65929,Frankfurt am Main,Schmalkaldener Straße 8,069,21245164,,,429,,429,,,,,,,,,,,,,,,,,,,,,,,,,429,429,21245165,poststelle@karl-von-ibell-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,429,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1094,8.52718
3117,412,000,1,,Karmeliterschule,60329,Frankfurt am Main,Moselstraße 11,069,21235338,,,112,,112,,,,,,,,,,,,,,,,,,,15,,,,,,127,127,21235215,poststelle@karmeliterschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,127,15.0,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1066,8.66786
3118,412,000,1,,Kerschensteinerschule,60488,Frankfurt am Main,Am Spritzenhaus 2,069,21245192,,,341,,341,,,,,,,,,,,,,,,,,,,16,,,,,,357,357,21245190,poststelle@kerschensteinerschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,357,16.0,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1326,8.62226
3120,412,000,1,,Ludwig-Richter-Schule,60433,Frankfurt am Main,Hinter den Ulmen 10,069,21233942,,,239,,239,,,,,,,,,,,,,,,,,,,10,,,,,,249,249,21232746,poststelle@ludwig-richter-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,249,10.0,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1548,8.66127
3121,412,000,1,,Günderrode-Schule,60326,Frankfurt am Main,Hufnagelstraße 25,069,21233086,,,377,,377,,,,,,,,,,,,,,,,,,,11,,,,,,388,388,21239092,poststelle@guenderrodeschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,388,11.0,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1044,8.64231
3122,412,000,1,,Goldsteinschule,60529,Frankfurt am Main,Am Wiesenhof 109,069,21232991,,,479,195,284,,,,,,,,,,,,,,,,,,,,,,,,,479,479,21232872,poststelle@goldsteinschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,479,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.0803,8.60705
3123,412,000,1,,Ackermannschule,60326,Frankfurt am Main,Ackermannstraße 37,069,21235549,,14,281,,281,,,,,,,,,,,,,,,,,,,12,,,,,,307,293,21242071,poststelle@ackermannschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,293,12.0,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.0991,8.62504
3124,412,000,1,,Adolf-Reichwein-Schule,65931,Frankfurt am Main,Lenzenbergstraße 70,069,21230790,,14,290,,290,,,,,,,,,,,,,,,,,,,,,,,,,304,290,21231632,poststelle@adolf-reichwein-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,290,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1013,8.50287
3125,412,000,1,,Albert-Schweitzer-Schule,60433,Frankfurt am Main,Berkersheimer Weg 26,069,21271830,,16,263,,263,,,,,,,,,,,,,,,,,,,12,,,,,,291,275,21271965,poststelle@albert-schweitzer-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,275,12.0,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.167,8.6745
3127,412,000,1,,August-Gräser-Schule,60529,Frankfurt am Main,Gerolsteiner Straße 2,069,21236719,,,250,,250,,,,,,,,,,,,,,,,,,,14,,,,,,264,264,21238066,poststelle@august-graeser-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,264,14.0,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.0882,8.57697
3128,412,000,1,,Steffi-Jones-Schule,60437,Frankfurt am Main,Harheimer Weg 16,069,21238564,,,334,,334,,,,,,,,,,,,,,,,,,,13,,,,,,347,347,21238459,poststelle@steffi-jones-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,347,13.0,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1828,8.66858
3129,412,000,1,,Berthold-Otto-Schule,65933,Frankfurt am Main,Kiefernstraße 18 A,069,21233901,,17,313,,313,,,,,,,,,,,,,,,,,,,,,,,,,330,313,21242626,poststelle@berthold-otto-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,313,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.0997,8.60645
3130,412,000,1,,Elsa-Brändström-Schule,60325,Frankfurt am Main,Lindenstraße 2,069,21235266,,10,271,,271,,,,,,,,,,,,,,,,,,,,,,,,,281,271,21237772,poststelle@elsa-braendstroem-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,271,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1152,8.661
3131,412,000,1,,Engelbert-Humperdinck-Schule,60322,Frankfurt am Main,Wolfsgangstraße 106,069,21235137,,,305,,305,,,,,,,,,,,,,,,,,,,10,,,,,,315,315,21238214,poststelle@engelbert-humperdinck-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,315,10.0,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1238,8.67077
3132,412,000,1,,Franckeschule,60487,Frankfurt am Main,Falkstraße 71,069,21235282,,13,389,,389,,,,,,,,,,,,,,,,,,,,,,,,,402,389,21234480,poststelle@franckeschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,389,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1248,8.64502
3133,412,000,1,,Friedrich-Fröbel-Schule,60528,Frankfurt am Main,Else-Alken-Straße 3,069,21243316,,,478,,478,,,,,,,,,,,,,,,,,,,,,,,,,478,478,21249440,poststelle@friedrich-froebel-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,478,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.0796,8.64294
3134,412,000,1,,Friedrich-List-Schule,65934,Frankfurt am Main,Heusingerstraße 14,069,38010022,,,332,,332,,,,,,,,,,,,,,,,,,,,,,,,,332,332,382075,poststelle@friedrich-list-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,332,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1073,8.58107
3135,412,000,1,,Dahlmannschule,60385,Frankfurt am Main,Luxemburgerallee 24,069,21235278,,,367,,367,,,,,,,,,,,,,,,,,,,,,,,,,367,367,21231190,poststelle@dahlmannschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,367,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1189,8.71197
3136,412,000,1,,Diesterwegschule,60431,Frankfurt am Main,Ginnheimer Waldgasse 30,069,21242881,,10,369,,369,,,,,,,,,,,,,,,,,,,,,,,,,379,369,21242805,poststelle@diesterwegschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,369,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1455,8.65083
3137,412,000,1,,Ebelfeldschule,60488,Frankfurt am Main,Praunheimer Hohl 4,069,21235598,,9,381,,381,,,,,,,,,,,,,,,,,,,,,,,,,390,381,21230195,poststelle@ebelfeldschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,381,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1412,8.61348
3138,412,000,1,,Eichendorffschule,65933,Frankfurt am Main,Waldschulstraße 83,069,21243113,,,242,,242,,,,,,,,,,,,,,,,,,,12,,,,,,254,254,21242912,poststelle@eichendorffschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,254,12.0,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1033,8.60205
3148,412,000,1,,Mühlbergschule,60599,Frankfurt am Main,Lettigkautweg 8,069,21245579,,,399,,399,,,,,,,,,,,,,,,,,,,11,,,,,,410,410,21245568,poststelle@muehlbergschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,410,11.0,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.0982,8.70286
3149,412,000,1,,Römerstadtschule,60439,Frankfurt am Main,In der Römerstadt 120 E,069,21234978,,,370,,370,,,,,,,,,,,,,,,,,,,,,,,,,370,370,21232009,poststelle@roemerstadtschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,370,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.154,8.63315
3150,412,000,1,,Schwarzburgschule,60318,Frankfurt am Main,Lenaustraße 81,069,21233940,,,284,,284,,,,,,,,,,,,,,,,,,,,,,,,,284,284,21230750,poststelle@schwarzburgschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,284,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1265,8.68983
3151,412,000,1,,Textorschule,60594,Frankfurt am Main,Oppenheimer Landstraße 15,069,21241161,,,404,,404,,,,,,,,,,,,,,,,,,,11,,,,,,415,415,21239598,poststelle@textorschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,415,11.0,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1027,8.6817
3152,412,000,1,,Theobald-Ziegler-Schule,60435,Frankfurt am Main,Theobald-Ziegler-Straße 10,069,21238755,,13,314,,314,,,,,,,,,,,,,,,,,,,,,,,,,327,314,21230706,poststelle@theobald-ziegler-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,314,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1481,8.69085
3153,412,000,1,,Willemerschule,60594,Frankfurt am Main,Willemerstraße 12,069,21233529,,,336,,336,,,,,,,,,,,,,,,,,,,13,,,,,,349,349,21238523,poststelle@willemerschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,349,13.0,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.104,8.69286
3154,412,000,1,,Zentgrafenschule,60389,Frankfurt am Main,Wilhelmshöher Straße 124,069,21274050,,17,307,,307,,,,,,,,,,,,,,,,,,,,,,,,,324,307,21245632,poststelle@zentgrafenschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,307,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.143,8.72667
3155,412,000,1,,Erich Kästner Schule,60439,Frankfurt am Main,Praunheimer Weg 44,069,21234515,,26,449,,449,,,,,,,,,,,,,,,,,,,11,,,,,,486,460,21232744,poststelle@erich-kaestner-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,460,11.0,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1615,8.62122
3156,412,000,1,,Brentanoschule,60489,Frankfurt am Main,Biedenkopfer Weg 33,069,21242713,,,189,,189,,,,,,,,,,,,,,,,,,,28,,,,,,217,217,21242770,poststelle@brentanoschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,217,28.0,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1207,8.60364
3158,412,000,1,,Ludwig-Weber-Schule,65931,Frankfurt am Main,Paul-Kirchhof-Platz 13,069,21245465,,,214,84,130,,,,,,,,,,,,,,,,,,,,,,,,,214,214,21245476,poststelle@ludwig-weber-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,214,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.0879,8.50674
3159,412,000,1,,Heinrich-Seliger-Schule,60320,Frankfurt am Main,Mierendorffstraße 8,069,21235332,,12,395,,395,,,,,,,,,,,,,,,,,,,,,,,,,407,395,21232733,poststelle@heinrich-seliger-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,395,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.141,8.67439
3160,412,000,1,,Hellerhofschule,60326,Frankfurt am Main,Idsteiner Straße 47,069,21235301,,22,310,,310,,,,,,,,,,,,,,,,,,,35,,,,,,367,345,21235211,poststelle@hellerhofschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,345,35.0,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1052,8.63372
3161,412,000,1,,Kirchnerschule,60385,Frankfurt am Main,Berger Straße 268,069,21235293,,,421,,421,,,,,,,,,,,,,,,,,,,,,,,,,421,421,21237603,poststelle@kirchnerschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,421,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1289,8.71214
3162,412,000,1,,Liebfrauenschule,60313,Frankfurt am Main,Schäfergasse 23,069,21235162,,14,363,,363,,,,,,,,,,,,,,,,,,,,,,,,,377,363,21231441,poststelle@liebfrauenschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,363,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1158,8.68464
3163,412,000,1,,Linnéschule,60385,Frankfurt am Main,Linnestraße 18 - 20,069,21235275,,,347,38,309,,,,,,,,,,,,,,,,,,,11,,,,,,358,358,21230390,poststelle@linneschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,358,11.0,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1218,8.70664
3164,412,000,1,,Merianschule,60316,Frankfurt am Main,Burgstraße 21,069,21234479,,,305,,305,,,,,,,,,,,,,,,,,,,11,,,,,,316,316,21239851,poststelle@merianschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,316,11.0,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1238,8.69625
3165,412,000,1,,Albrecht-Dürer-Schule,65936,Frankfurt am Main,Sossenheimer Riedstraße 13,069,21231662,,12,351,,351,,,,,,,,,,,,,,,,,,,13,,,,,,376,364,21236718,poststelle@albrecht-duerer-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,364,13.0,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.121,8.57014
3166,412,000,1,,Berkersheimer Grundschule,60435,Frankfurt am Main,In den Gräben 5,069,21241005,,,260,,260,,,,,,,,,,,,,,,,,,,14,,,,,,274,274,21241108,poststelle@berkersheimer-grundschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,274,14.0,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1738,8.69624
3167,412,000,1,,Boehleschule,65933,Frankfurt am Main,Jungmannstraße 3 - 5,069,21242670,,12,251,,251,,,,,,,,,,,,,,,,,,,,,,,,,263,251,21242709,poststelle@boehleschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,251,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.0919,8.60541
3168,412,000,1,,Bonifatiusschule,60486,Frankfurt am Main,Hamburger Allee 43,069,21233527,,,237,,237,,,,,,,,,,,,,,,,,,,11,,,,,,248,248,21235486,poststelle@bonifatiusschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,248,11.0,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1152,8.64761
3169,412,000,1,,Fried-Lübbecke-Schule,60433,Frankfurt am Main,Im Uhrig 17,069,21238754,,,171,,171,,,,,,,,,,,,,,,,,,,,,,,,,171,171,21238338,poststelle@fried-luebbecke-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,171,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1638,8.65505
3170,412,000,1,,Frauenhofschule,60528,Frankfurt am Main,Niederräder Landstraße 60 - 62,069,21233059,,,378,,378,,,,,,,,,,,,,,,,,,,16,,,,,,394,394,21232711,poststelle@frauenhofschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,394,16.0,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.0889,8.65106
3171,412,000,1,,Freiligrathschule,60386,Frankfurt am Main,Fachfeldstraße 32,069,21248888,,13,452,,452,,,,,,,,,,,,,,,,,,,14,,,,,,479,466,21249111,poststelle@freiligrathschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,466,14.0,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1202,8.76825
3172,412,000,1,,Fridtjof-Nansen-Schule,65934,Frankfurt am Main,Dürkheimer Straße 47,069,21245504,,,217,,217,,,,,,,,,,,,,,,,,,,14,,,,,,231,231,21242905,poststelle@fridtjof-nansen-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,231,14.0,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.0983,8.57706
3173,412,000,1,,Comeniusschule,60389,Frankfurt am Main,Burgstraße 59,069,21233484,,13,313,,313,,,,,,,,,,,,,,,,,,,57,,,,,,383,370,21236612,poststelle@comeniusschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,370,57.0,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1239,8.6962
3174,412,000,1,,Uhlandschule,60314,Frankfurt am Main,Ostendstraße 35,069,21233530,,12,301,,301,,,,,,,,,,,,,,,,,,,,,,,,,313,301,21231652,poststelle@uhlandschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,301,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.112,8.69845
3178,412,000,2,,Isaak-Emil-Lichtigfeld-Schule,60318,Frankfurt am Main,Hebelstraße 15 - 19,069,427289800,,,360,147,213,116,,,,,222,146,76,,,,,,,,,,,,,,,,,698,698,427289899,lichtigfeld-schule@jg-ffm.de,Privat,698,,Gesamtschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1123,8.66047
3179,412,000,1,,Konrad-Haenisch-Schule,60386,Frankfurt am Main,Lauterbacher Straße 2,069,21245397,,10,174,,174,,91,,207,,,,,,,,,,,,,,,31,,,,,,513,503,21245415,poststelle@konrad-haenisch-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,503,31.0,Gesamtschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1346,8.75218
3180,412,000,1,1,Edith-Stein-Schule,65936,Frankfurt am Main,Schaumburger Straße 66 - 68,069,21242908,,,,,,,170,,288,,,,,,,,,,,,,,,28,,,,,,486,486,345004,poststelle@edith-stein.frankfurt.schulverwaltung.hessen.de,Öffentlich,486,28.0,Weiterführende Schule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1188,8.55969
