schulnummer,schulname,schulart,strasse,plz,ortsteil,bezirk,telefon,email,website,leitung
04G23,Alt-Schmargendorf-Grundschule,Grundschule,Reichenhaller Str. 8,14199,Schmargendorf,,+49 30 810567670,%09%0904G23@04G23.schule.berlin.de,https://www.alt-schmargendorf-grundschule.de,"Sülflow, Sabine"
09G19,Amtsfeld-Schule (Grundschule),Grundschule,Pablo-Neruda-Str. 8,12559,Köpenick,,+49 30 6540192,09G19@09G19.schule.berlin.de,https://www.amtsfeld-grundschule.de,"Zips, Steffen"
01G36,Andersen-Grundschule,Grundschule,Kattegatstr. 26,13359,Gesundbrunnen,,+49 30 493015410,%09sekretariat@andersen.schule.berlin.de,https://www.andersen-grundschule.de,"Mergenthaler-Starke, Fee"
01G42,Anna-Lindh-Schule (Grundschule),Grundschule,Reinickendorfer Str. 60,13347,Wedding,,+49 1721799010,%09%0901G42@01G42.schule.berlin.de,https://anna-lindh-schule.de,"Hörold, Mathias"
07G30,Annedore-Leber-Grundschule,Grundschule,Halker Zeile 137-149,12305,Lichtenrade,,+49 30 902778243,%09%09Schulleitung@algs.schule.berlin.de,http://www.algs.de,"Adamzik,Tamara"
01G15,Anne-Frank-Grundschule,Grundschule,Paulstr. 20B,10557,Moabit,,+49 30 20629180,sekretariat@anne-frank.schule.berlin.de,https://www.anne-frank-grundschule.de,"Irogue, Heike"
12P19,APEGO-Schule Berlin (Gemeinschaftsschule),Grundschule,Dianastr. 44-46,13469,Waidmannslust,,+49 30 27498477,office@apego-schule.de,https://apego-schule.de,"Suerdieck, Aida; Wolf, Daniela"
03G26,Arnold-Zweig-Grundschule,Grundschule,Wollankstr. 131,13187,Pankow,,+49 30 49790970,%0903G26@03G26.schule.berlin.de,https://www.arnold-zweig-grundschule.com,"Baer, Stephanie"
05G15,Askanier-Grundschule,Grundschule,Borkzeile 34,13583,Spandau,,+49 30 36753860,%09t.berlin@askanier-gs.de,http://www.askanier-gs.de,"Berlin, Thomas"
05G17,Astrid-Lindgren-Grundschule,Grundschule,Südekumzeile 5,13591,Staaken,,+49 30 3758620,%09sekretariat@lindgren.schule.berlin.de,https://lindgrenschule.de,"Dietrich, Gabi"
06G18,Athene-Grundschule,Grundschule,Curtiusstr. 37,12205,Lichterfelde,,+49 30 81009710,sekretariat@athene.schule.berlin.de,http://www.athene-grundschule.de,"Andorf-Seretis, Christiane"
02G33,Aziz-Nesin-Grundschule,Grundschule,Urbanstr. 15,10961,Kreuzberg,,+49 30 2700409431,%09Sekretariat@aziz-nesin.schule.berlin.de,http://www.aziz-nesin-schule.de,"Siemund, Demet"
10G17,Beatrix-Potter-Grundschule,Grundschule,Ludwigsfelder Str. 7,12629,Hellersdorf,,+49 30 9939018,%09Sekretariat@beatrix-potter.schule.berlin.de,http://www.beatrix-potter-grundschule.de,"Reich, Barbara"
02P11,Berlin Bilingual School (Grundschule),Grundschule,Weinstr. 1,10249,Friedrichshain,,+49 30 24628089,info@berlin-bilingual.de,https://berlin-bilingual-school.de,"Yarwood, Nelson"
04P39,Berlin British School (Grundschule),Grundschule,Dickensweg 17-19,14055,Westend,,+49 30 35109190,info@berlinbritishschool.de,https://www.berlinbritishschool.de,"Phelan-Körnig, Caitriona"
01P22,Berlin Cosmopolitan School,Grundschule,Rückerstr. 9,10119,Mitte,,+49 30 688332324,mail@cosmopolitanschool.de,https://www.cosmopolitanschool.de,"Wende, Yvonne; Brennan, James; Röschel, Katrin"
01P16,Berlin Metropolitan School (Integrierte Sekundarschule),Grundschule,Linienstr. 122,10115,Mitte,,+49 30 88727390,info@metropolitanschool.com,https://www.metropolitanschool.com,"Aslan, Saliha.; Hearn, Samantha"
05G13,Bernd-Ryke-Grundschule,Grundschule,Daumstr. 12,13599,Haselhorst,,+49 30 3548050,info@bernd-ryke-gs.de,http://www.bernd-ryke-gs.de,"Nogai, Kristin"
11G11,Bernhard-Grzimek-Schule (Grundschule),Grundschule,Sewanstr. 184,10319,Friedrichsfelde,,+49 30 5120097,%09%09Sekretariat@grzimek.schule.berlin.de,https://11g11.de/startseite.html,N.N.
10P13,BEST-Sabel-Grundschule Kaulsdorf,Grundschule,Wernerstr. 48,12619,Kaulsdorf,,+49 30 56594668,grundschule-kaulsdorf@best-sabel.de,http://www.best-sabel.de,"Grammerstorf, Elke"
10P05,BEST-Sabel-Grundschule Mahlsdorf,Grundschule,Erich-Baron-Weg 118,12623,Mahlsdorf,,+49 30 99283520,grundschule@best-sabel.de,http://www.best-sabel.de,"Nixdorf, Susan"
09P10,Bewegte Schule Köpenick (Grundschule),Grundschule,Lindenstr. 26,12555,Köpenick,,+49 30 65015495,%09schule-berlin@mkus-berlin.de,https://www.bewegte-schule-koepenick.de,"Szalkai, Andrea"
01P18,Bilinguale Schule Phorms Berlin Mitte,Grundschule,Ackerstr. 76,13355,Gesundbrunnen,,+49 30 318737100,berlin-mitte@phorms.de,https://berlin-mitte.phorms.de,"Stölting, Jana"
03P47,Bilinguale Schule Phorms Berlin Prenzlauer Berg (Grundschule),Grundschule,Hermann-Blankenstein-Str. 16,10249,Prenzlauer Berg,,+49 30 318737500,berlin-prenzlauer-berg@phorms.de,https://neu-prenzlauer-berg.phorms.de,"Johnson, Mark"
06P18,Bilinguale Schule Phorms Berlin Süd,Grundschule,Harry-S.-Truman-Allee 3,14167,Lichterfelde,,+49 30 91684990,berlin-sued@phorms.de,http://www.berlin-sued.phorms.de,"Hardt, Valèrie; Mell, Selena"
04G26,Birger-Forell-Grundschule,Grundschule,Koblenzer Str. 22-24,10715,Wilmersdorf,,+49 30 8577180,sekretariat@birger-forell.schule.berlin.de,http://www.birger-forell-grundschule.de,"Raatz, Stefanie"
05G30,Birken-Grundschule,Grundschule,Hügelschanze 8,13585,Spandau,,+49 30 437287910,sekretariat@05G30.schule.berlin.de,http://inklusiver-campus-spandau.de,"Dudkowiak, Anja"
02G36,Blumen-Grundschule,Grundschule,Andreasstr. 52,10243,Friedrichshain,,+49 30 3198702911,buero@36-grundschule.de,http://www.36-grundschule.de,"Flores, Patrizia"
03G14,Bornholmer Grundschule,Grundschule,Ibsenstr. 17,10439,Prenzlauer Berg,,+49 30 4458763,%09sekretariat@bornholmer.schule.berlin.de,https://bornholmer-grundschule.de,"Fuchs, Jochen"
12G12,Borsigwalder Grundschule,Grundschule,Miraustr. 100,13509,Wittenau,,+49 30 4322051,%09sekretariat@borsigwalder.schule.berlin.de,http://borsigwaldergs.de,"Pflug, Katrin"
03G06,Bötzow-Grundschule,Grundschule,John-Schehr-Str. 38,10407,Prenzlauer Berg,,+49 30 42851032,info@boetzow-grundschule.de,http://www.boetzow-grundschule.de,"Dellas, Frauke"
09G01,Bouché-Schule (Grundschule),Grundschule,Bouchéstr. 5,12435,Alt-Treptow,,+49 30 5337745,sekretariat@bouche.schule.berlin.de,http://www.bouche-schule.de,"Seiberl, Viola"
11G17,Brodowin-Schule (Grundschule),Grundschule,Liebenwalder Str. 20-22,13055,Alt-Hohenschönhausen,,+49 30 9864058,%0911G17@11G17.schule.berlin.de,http://www.brodowinschule.de,"Eccarius, Doreen"
01G28,Brüder-Grimm-Grundschule,Grundschule,Tegeler Str. 18-19,13353,Wedding,,+49 30 4530840,%09%0901G28@01G28.schule.berlin.de,https://bggs-berlin.de,"Riebesell, Frank Bruno"
07G32,Bruno-H.-Bürgel-Grundschule,Grundschule,Rackebüller Weg 70,12305,Lichtenrade,,+49 30 902778250,sekretariat@bhb.schule.berlin.de,http://www.bruno-h-buergel-grundschule.de,"Otte, Jens"
08G13,Bruno-Taut-Schule (Grundschule),Grundschule,Bruno-Taut-Ring 9C,12359,Britz,,+49 30 60972490,sekretariat@bruno-taut.schule.berlin.de,https://bruno-taut-schule.de,"Wolters, Holger"
10G19,Bücherwurm-Schule am Weiher (Grundschule),Grundschule,Eilenburger Str. 1,12627,Hellersdorf,,+49 30 9918148,%09schulleitung@buecherwurm.schule.berlin.de,http://www.buecherwurm-grundschule.de,"Woltmann, Elke"
02G20,Bürgermeister-Herz-Grundschule,Grundschule,Wilmsstr. 10,10961,Kreuzberg,,+49 30 3198702211,sekretariat@bmh.schule.berlin.de,http://www.bmh-schule.de,"Gembaczka, Susanne"
11G09,Bürgermeister-Ziethen-Schule (Grundschule),Grundschule,Massower Str. 39,10315,Friedrichsfelde,,+49 30 5251434,sekretariat@buezie.schule.berlin.de,http://www.buezie.de,"Preiß, Ramsay"
01G18,Carl-Bolle-Grundschule,Grundschule,Waldenserstr. 20-21,10551,Moabit,,+49 30 397457810,%09%09info@Bolle.Schule.Berlin.de,https://carl-bolle-grundschule.de,"Blome, Juliane"
03G25,Carl-Humann-Grundschule,Grundschule,Stahlheimer Str. 22,10439,Prenzlauer Berg,,+49 30 4441580,humann-grundschule@gmx.de,http://www.carl-humann-grundschule.de,"Wahner, Stephan"
01G32,Carl-Kraemer-Grundschule,Grundschule,Zechliner Str. 4,13359,Gesundbrunnen,,+49 30 4998993,sekretariat@carl-kraemer-gs.de,http://www.carl-kraemer-gs.de,"Sümenicht, Kirsten"
04G24,Carl-Orff-Grundschule,Grundschule,Berkaer Str. 10,14199,Schmargendorf,,+49 30 902922809,sekretariat@carl-orff-gs.de,http://www.carl-orff-gs.de,"Acri, Domenica"
05G20,Carl-Schurz-Grundschule,Grundschule,Hakenfelder Str. 32,13587,Hakenfelde,,+49 30 35599010,%09sekretariat@05g20.schule.berlin.de,https://carl-schurz-grundschule.de,"Wagenseil, Britta"
07G31,Carl-Sonnenschein-Grundschule,Grundschule,Am Hellespont 4-6,12109,Mariendorf,,+49 30 902772670,07G31@07G31.schule.berlin.de,http://www.carl-sonnenschein-gs.de,"Gaehtgens, Martje"
04G25,Cecilien-Schule (Grundschule),Grundschule,Nikolsburger Platz 5,10717,Wilmersdorf,,+49 30 8639050,04G25@04G25.schule.berlin.de,http://www.cecilien-schule.de,"Wedeu-Kolhoff, Elisabeth"
12G27,Chamisso-Grundschule,Grundschule,Senftenberger Ring 27,13435,Märkisches Viertel,,+49 30 21309370,%09%0912G27@12G27.schule.berlin.de,https://www.chamisso-grundschule.com,"Heger, Sabrina"
04G15,Charles-Dickens-Grundschule,Grundschule,Dickensweg 15,14055,Westend,,+49 30 30328680,sekretariat@charles-dickens.schule.berlin.de,http://www.charles-dickens-gs.de,"Effenberger, Frank"
12G32,Charlie-Chaplin-Grundschule,Grundschule,Wilhelmsruher Damm 90-94,13439,Märkisches Viertel,,+49 30 213086400,%0912G32@12G32.schule.berlin.de,https://www.charlie-chaplin-grundschule.de,"Donath, Annett"
02G13,Charlotte-Salomon-Grundschule,Grundschule,Großbeerenstr. 40,10965,Kreuzberg,,+49 30 50587511,Sekretariat@02G13.schule.berlin.de,http://www.charlotte-salomon-grundschule.de,"Buchert, Claudia"
05G22,Christian-Morgenstern-Grundschule,Grundschule,Räcknitzer Steig 12,13593,Staaken,,+49 30 3647930,sekretariat@05g22.schule.berlin.de,http://www.christian-morgenstern-grundschule.de,"Jehniche, Karina"
05G05,Christoph-Földerich-Grundschule,Grundschule,Földerichplatz 5,13595,Wilhelmstadt,,+49 30 36208530,%09%09%09sekretariat@05g05.schule.berlin.de,http://www.foelleschule-berlin.de,"Malkowski, Andrea"
08G26,Christoph-Ruden-Schule (Grundschule),Grundschule,An den Achterhöfen 13-17,12349,Buckow,,+49 30 7421014,%09sekretariat@08G26.schule.berlin.de,https://christoph-ruden-schule.de,"Hellwig, Monika"
01G10,City-Grundschule,Grundschule,Sebastianstr. 57,10179,Mitte,,+49 30 28449060,Sekretariat@city.schule.berlin.de,https://city-grundschule.de,"Lau, Robert"
02G32,Clara-Grunwald-Grundschule,Grundschule,Hallesche Str. 24,10963,Kreuzberg,,+49 30 81888311,clara-grunwald-gs@gmx.de,http://www.clara-grunwald-grundschule.de,"Eichert-Rakette, Katja"
06G25,Clemens-Brentano-Grundschule,Grundschule,Kommandantenstr. 83-84,12205,Lichterfelde,,+49 30 84416460,%09schulleitung@c-brentano-grundschule.de,http://www.c-brentano-grundschule.de,"Sommerlatte, Angela"
04S07,Comenius-Schule,Grundschule,Gieselerstr. 4,10713,Wilmersdorf,,+49 30 8649950,%09Schulleitung@comenius.schule.berlin.de,http://www.schule-comenius.de,"Walther, Ulrike"
06G05,Conrad-Schule (Grundschule),Grundschule,Schulstr. 4,14109,Wannsee,,+49 30 902996926,info@conrad-schule.de,http://www.conrad-schule.de,"Dr. Plessen, Hans-Gerrit"
12P10,Demokratische Schule X (Gemeinschaftsschule),Grundschule,Ruppiner Chaussee 209-211,13503,Heiligensee,,+49 30 60922621,info@demokratische-schule-x.de,https://www.demokratische-schule-x.de,"Benz, Jochen"
07P13,Deutsch Skandinavische Gemeinschaftsschule,Grundschule,Machonstr. 54,12105,Mariendorf,,+49 30 760061230,info@dsg-schule.de,https://dsg-schule.de,"Schultz, Jarl (komm.)"
04G05,Dietrich-Bonhoeffer-Grundschule,Grundschule,Spandauer Damm 205-215,14050,Westend,,+49 30 303284510,Sekretariat@dibog.schule.berlin.de,,"Melchert-Arlt, Carola"
10P14,dreieins-Grundschule Berlin Kaulsdorf,Grundschule,Peter-Huchel-Str. 35,12619,Hellersdorf,,+49 30 92901840,%09grundschule-kaulsdorf@dreieins.org,https://www.dreieins.org/kaulsdorf,"El Cherif, Dawud"
03P18,dreieins-Grundschule Berlin-Pankow,Grundschule,Bizetstr. 64,13088,Weißensee,,+49 30 92092220,grundschule-pankow@dreieins.org,https://www.dreieins.org/pankow,"Grieger, Gabriele"
06G09,Dreilinden-Grundschule,Grundschule,Dreilindenstr. 65,14109,Nikolassee,,+49 30 8038009,%09%09sekretariat@dreilinden-grundschule.schule.berlin.de,https://dreilinden-grundschule-berlin.de,"Scholtke, Marcel"
06G15,Dunant-Grundschule,Grundschule,Gritznerstr. 19-23,12163,Steglitz,,+49 30 79742160,sekretariat@dunant.schule.berlin.de,https://www.dunant-gs.de,"Schätzlein, Biljana"
10G05,Ebereschen-Grundschule,Grundschule,Borkheider Str. 28,12689,Marzahn,,+49 30 9309511,10G05@10G05.schule.berlin.de,http://www.ebereschen-grundschule.de,"Dr. Stache, Antje"
01P47,Ecole Voltaire (Grundschule),Grundschule,Kurfürstenstr. 53,10785,Tiergarten,,+49 30 4110015,verein@ecolevoltaire.de,http://www.ecolevoltaire.de,"Bury, Emeline"
09G21,Edison-Grundschule,Grundschule,Wattstr. 69-70,12459,Oberschöneweide,,+49 30 5350657,%09sekretariat@edison.schule.berlin.de,https://www.edison-grundschule.de,"Ludwig, Lisa-Marie"
08G18,Eduard-Mörike-Schule (Grundschule),Grundschule,Stuttgarter Str. 35-39,12059,Neukölln,,+49 30 680856890,%09schulleitung@ems-neukoelln.de,http://www.ems-neukoelln.de,"Gericke, Robert (i.V.)"
04G01,Eichendorff-Grundschule,Grundschule,Goethestr. 19-24,10625,Charlottenburg,,+49 30 437272270,sekretariat@eichendorff.schule.berlin.de,https://www.eichendorff-grundschule-berlin.de,"Winde, Stefanie"
08G05,Elbe-Schule (Grundschule),Grundschule,Elbestr. 11,12045,Neukölln,,+49 30 632250880,%09%0908G05@08G05.schule.berlin.de,http://www.elbeschule.de,"Taner, Devrim Deniz"
03G36,Elisabeth-Christinen-Grundschule,Grundschule,Buchholzer Str. 3,13156,Prenzlauer Berg,,+49 30 40058920,Sekretariat@03G36.schule.berlin.de,https://ecg.schule,"Jaeschke, Nadine"
12P06,Elisabethstift-Schule (Gemeinschaftsschule),Grundschule,Falkentaler Steig 10,13467,Hermsdorf,,+49 30 688343870,michael.winter@elisabethstift-berlin.de,http://www.elisabethstift-schule.de,"Hartmann, Andrea"
03G27,Elizabeth-Shaw-Grundschule,Grundschule,Grunowstr. 17,13187,Pankow,,+49 30 49301190,03G27@03G27.schule.berlin.de,https://esg.berlin,"Kamke, Margit"
12G17,Ellef-Ringnes-Grundschule,Grundschule,Im Erpelgrund 11-17,13503,Heiligensee,,+49 30 417440780,%0912G17@12G17.schule.berlin.de,https://www.ellef-ringnes-grundschule.de,"Albrecht, Jens"
06G04,Erich-Kästner-Grundschule,Grundschule,Bachstelzenweg 2-8,14195,Dahlem,,+49 30 84414860,sekretariat@eks.schule.berlin.de,http://www.erich-kaestner-grundschule-berlin.de,"König, Ralf"
01G41,Erika-Mann-Grundschule,Grundschule,Utrechter Str. 25-27,13347,Wedding,,+49 30 45085510,%09%09schulleitung@emg.schule.berlin.de,https://erika-mann-grundschule.com,"Schlesinger, Sandra"
04G18,Ernst-Habermann-Grundschule,Grundschule,Prinzregentenstr. 33-34,10715,Wilmersdorf,,+49 30 81462460,schule@ernst-habermann.de,http://www.ernst-habermann.de,"Moeller, Britta"
05G01,Ernst-Ludwig-Heim-Grundschule,Grundschule,Grunewaldstr. 8,13597,Spandau,,+49 30 3393870,%09Sekretariat@05G01.schule.berlin.de,https://www.elhg.de,"Niedrig, Regina (stellv.)"
04P22,Erste Aktivschule Charlottenburg (Grundschule),Grundschule,Alt-Lietzow 31,10587,Charlottenburg,,+49 30 30366968,kontakt@aktivschule-berlin.de,http://www.aktivschule-charlottenburg.de,"Rücker, Bettina"
04G09,Erwin-von-Witzleben-Grundschule,Grundschule,Halemweg 34,13627,Charlottenburg-Nord,,+49 30 666290910,schulleitung@erwin-von-witzleben.schule.berlin.de,https://www.erwinvonwitzleben-grundschule.de,"Bussenius, Christiane"
09P13,Evangelische Grundschule Friedrichshagen,Grundschule,Peter-Hille-Str. 36,12587,Friedrichshagen,,+49 30 5444901500,buero@ev-schule-friedrichshagen.de,https://www.ev-schule-friedrichshagen.de,"Koberling, Katrin"
06P24,Evangelische Grundschule Zehlendorf,Grundschule,Ludwigsfelder Str. 30,14165,Zehlendorf,,+49 30 200094180,buero@ev-schule-zehlendorf.de,https://www.ev-schule-zehlendorf.de,"Barckhausen, Yvonne"
03P33,Evangelische Schule Berlin Buch (Grundschule),Grundschule,Wiltbergstr. 50,13125,Buch,,+49 30 31958200,buero@ev-schule-buch.de,http://www.ev-schule-buch.de,"Moldenhauer, Thomas"
01P01,Evangelische Schule Berlin Mitte (Gemeinschaftsschule),Grundschule,Rochstr. 7,10178,Mitte,,+49 30 70725482,schule@esbm.de,http://www.esbm.de,"Hagedorn, Kerstin"
02P25,Evangelische Schule Berlin-Friedrichshain (Grundschule),Grundschule,Petersburger Platz 5,10249,Friedrichshain,,+49 30 32296700,info@ev-schule-friedrichshain.de,http://www.ev-schule-friedrichshain.de,"Bedorf, Benjamin"
04P05,Evangelische Schule Charlottenburg (Integrierte Sekundarschule),Grundschule,Guerickestr. 4-6,10587,Charlottenburg,,+49 30 343571610,sekretariat@ev-schule-charlottenburg.de,https://www.ev-schule-charlottenburg.de,"Althoff, Markus"
12P03,Evangelische Schule Frohnau,Grundschule,Benediktinerstr. 11-19,13465,Frohnau,,+49 30 509305310,sekretariat@ev-frohnau.de,http://www.ev-frohnau.de,"Behnken, Christine"
11P03,Evangelische Schule Lichtenberg (Grundschule),Grundschule,Rummelsburger Str. 3,10315,Friedrichsfelde,,+49 30 54718014,info@ev-schule-lichtenberg.de,https://www.ev-schule-lichtenberg.de,"Sommerfeldt, Beate"
08P03,Evangelische Schule Neukölln (Integrierte Sekundarschule),Grundschule,Mainzer Str. 47,12053,Neukölln,,+49 30 6242027,buero@evangelische-schule-neukoelln.de,https://evangelische-schule-neukoelln.de,"Knauer, Thorsten"
03P12,Evangelische Schule Pankow (Grundschule),Grundschule,Galenusstr. 60A,13187,Pankow,,+49 30 47498940,info@ev-schule-pankow.de,http://www.ev-schule-pankow.de,"Hermann, Gunnar"
05P03,Evangelische Schule Spandau im Johannesstift,Grundschule,Schönwalder Allee 26,13587,Hakenfelde,,+49 30 35599050,buero@ev-schule-spandau.de,https://www.ev-schule-spandau.de,"Gohlke, Paul"
06P12,Evangelische Schule Steglitz (Integrierte Sekundarschule),Grundschule,Beymestr. 6-7,12167,Steglitz,,+49 30 7916001,info@ev-schule-steglitz.de,https://www.ev-schule-steglitz.de,"Jacobs, Tilmann (komm.)"
04P21,Evangelische Schule Wilmersdorf (Grundschule),Grundschule,Brandenburgische Str. 51,10707,Wilmersdorf,,+49 30 81826980,info@evgruwi.de,http://www.evgruwi.de%20,"Steinhauer, Anne"
10G04,Falken-Grundschule,Grundschule,Geraer Ring 2,12689,Marzahn,,+49 30 93022319,%09schulleitung@falken-gs.schule.berlin.de,https://falken-grundschule.de,"Pense, Birgit"
02G19,Fanny-Hensel-Grundschule,Grundschule,Schöneberger Str. 23,10963,Kreuzberg,,+49 30 50586811,sekretariat@fanny-hensel.schule.berlin.de,http://www.Fanny-Hensel-Grundschule.de,"Neubert, Jana"
11G28,Feldmark-Schule (Grundschule),Grundschule,Wartiner Str. 23,13057,Neu-Hohenschönhausen,,+49 30 92403710,sekretariat@feldmark.schule.berlin.de,https://feldmark-schule.de,
02G23,Fichtelgebirge-Grundschule,Grundschule,Görlitzer Ufer 2,10997,Kreuzberg,,+49 30 22502811,schulleitung@fichtelgebirge.schule.berlin.de,https://fichtelgebirge-grundschule-berlin.de,"Kuhnhenn, Anna"
07G02,Finow-Grundschule,Grundschule,Welserstr. 16-22,10777,Schöneberg,,+49 30 902777175,%09sekretariat@finow.schule.berlin.de,http://www.finow-gs.de,"Bonacci, Alberta"
07G15,Fläming-Grundschule,Grundschule,Illstr. 4-6,12161,Friedenau,,+49 30 902777061,sekretariat@flaeming.schule.berlin.de,https://flaeming-grundschule.de,"Pein, Isabell"
10G31,Franz-Carl-Achard-Grundschule,Grundschule,Waplitzer Str. 11A,12621,Kaulsdorf,,+49 30 5677339,%09schulleitung@achard.schule.berlin.de,https://www.fc-achard.de,"Serbe, Petra"
12G13,Franz-Marc-Grundschule,Grundschule,Treskowstr. 26-31,13507,Tegel,,+49 30 4339792,%09sekretariat@fmg.schule.berlin.de,http://www.fmg-tegel.de,"Münch, Bettina"
10P24,Freie Grundschule Marzahn,Grundschule,Karl-Holtz-Str. 6,12687,Marzahn,,+49 30 20882970,sekretariat@freie-grundschule-marzahn.de,https://www.freie-grundschule-marzahn.de,"Tietböhl, Jens"
03P14,Freie Grundschule Pfefferwerk,Grundschule,Schönfließer Str. 7,10439,Prenzlauer Berg,,+49 30 44383285,grundschule@pfefferwerk.de,https://www.freie-grundschule.de,"Preuß, Heike"
03P48,Freie Humanistische Grundschule,Grundschule,Grabbeallee 36-40,13156,Niederschönhausen,,+49 15142585239,mail@fhg-berlin.de,https://www.humanistisch.de/freie-humanistische-grundschule,"Lissner, Antje"
03P21,Freie Integrative Montessori Grundschule Pankow,Grundschule,Hadlichstr. 2,13187,Pankow,,+49 30 50019130,montessori-schule-pankow@karuna-ev.de,http://www.montessori-p%c3%a4dagogik-pankow.de,"Just, Simone"
03P23,Freie Naturschule im StadtGUT (Grundschule),Grundschule,Hauptstr. 26,13159,Blankenfelde,,+49 30 40058302,%09kontakt@freie-naturschule-stadtgut.de,http://freie-naturschule-stadtgut.de,"Reckow, Stefan"
01P13,Freie Schule am Mauerpark (Grundschule),Grundschule,Wolliner Str. 25-26,13355,Gesundbrunnen,,+49 30 42022690,info@freieschuleberlin.de,https://www.freieschuleberlin.de,
06P20,Freie Schule Anne-Sophie Berlin,Grundschule,Clayallee 328-334,14169,Zehlendorf,,+49 30 8471463910,info.berlin@freie-schule-anne-sophie.de,http://www.freie-schule-anne-sophie.de,"Tscherniak, A.; Herzig, Ch.; Rockenstein, A."
