schulnummer,schulname,school_type,schulart,strasse,plz,ort,ortsteil,bundesland,stadt,latitude,longitude,telefon,fax,email,website,schulleitung,traegerschaft,data_source,data_retrieved
STG-18571,Freie Evangelische Schule Stuttgart (GWRS),secondary,Grund- und Werkrealschule,"Hengstäcker, Gew. 15",18571,Stuttgart,Möhringen,Baden-Württemberg,Stuttgart,48.730450513780305,9.129242122471668,0711 7941360,,sekretariat@fes-stuttgart.de,https://www.stuttgart-inklusiv.de/,,Privat,stuttgart.de Adressverzeichnis,2026-04-06
STG-18620,Freie Evangelische Schule Stuttgart (Realschule),secondary,Realschule,"Hengstäcker, Gew. 15",18620,Stuttgart,Möhringen,Baden-Württemberg,Stuttgart,48.730450513780305,9.129242122471668,0711 7941360,,sekretariat@fes-stuttgart.de,https://www.stuttgart-inklusiv.de/,,Privat,stuttgart.de Adressverzeichnis,2026-04-06
STG-18334,Freie Waldorfschule am Kräherwald,secondary,Waldorfschule,Rudolf-Steiner-Weg 10,18334,Stuttgart,Nord,Baden-Württemberg,Stuttgart,48.79077538624402,9.153127940006854,0711 30530530,,kontakt@fkws.de,http://www.fkws.de/,,Privat,stuttgart.de Adressverzeichnis,2026-04-06
STG-19969,Freie Waldorfschule Uhlandshöhe,secondary,Waldorfschule,Haußmannstraße 44,19969,Stuttgart,Ost,Baden-Württemberg,Stuttgart,48.78227751528013,9.192878427200503,0711 210020,,waldorfschule@uhlandshoehe.de,http://www.waldorfschule-uhlandshoehe.de/,,Privat,stuttgart.de Adressverzeichnis,2026-04-06
STG-18087,Friedrich-Eugens-Gymnasium,secondary,Gymnasium,Silberburgstraße 86,18087,Stuttgart,West,Baden-Württemberg,Stuttgart,48.77912155628347,9.162661623523837,0711 21660990,,poststelle.friedrich-eugens-gymnasium@stuttgart.de,https://www.stuttgart-inklusiv.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-19871,Fritz-Leonhardt-Realschule,secondary,Realschule,Wurmlinger Straße 63,19871,Stuttgart,Degerloch,Baden-Württemberg,Stuttgart,48.74213762340803,9.163643997356289,0711 21689177,,poststelle.fritz-leonhardt-realschule@stuttgart.de,http://www.frlers.s.schule-bw.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-18019,Gemeinschaftsschule Weilimdorf,secondary,Gemeinschaftsschule,Engelbergstraße 81,18019,Stuttgart,Weilimdorf,Baden-Württemberg,Stuttgart,48.802478985050186,9.094646276945102,0711 21691050,,poststelle.gms.weilimdorf@stuttgart.de,https://www.gmsweilimdorf.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-421879,Gemeinschaftsschule Weilimdorf - Lernwerkstatt,secondary,Gemeinschaftsschule,Hemminger Straße 21,42187,Stuttgart,Weilimdorf,Baden-Württemberg,Stuttgart,48.823267818957696,9.095516467685409,0711 21635630,,poststelle.40-lernwerkstatt@stuttgart.de,https://www.stuttgart-inklusiv.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-19151,Geschwister-Scholl-Gymnasium,secondary,Gymnasium,Richard-Schmid-Straße 25,19151,Stuttgart,Sillenbuch,Baden-Württemberg,Stuttgart,48.737669469463526,9.22118750256803,0711 21635100,,poststelle.gsg@stuttgart.de,http://www.geschwister-scholl-gymnasium.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-17668,Grund- und Werkrealschule Gablenberg,secondary,Grund- und Werkrealschule,Pflasteräckerstraße 25,17668,Stuttgart,Ost,Baden-Württemberg,Stuttgart,48.779740596356135,9.208413642078861,0711 21696770,,poststelle.gwrs.gablenberg@stuttgart.de,http://www.gws-gablenberg.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-18083,Gottlieb-Daimler-Gymnasium,secondary,Gymnasium,Kattowitzer Straße 8,18083,Stuttgart,Bad Cannstatt,Baden-Württemberg,Stuttgart,48.800983599258686,9.234647772219184,0711 21620880,,Poststelle.Gottlieb-Daimler-Gymnasium@stuttgart.de,https://www.stuttgart-inklusiv.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-12432,Grund- und Werkrealschule Gablenberg (Außenstelle),secondary,Grund- und Werkrealschule,Am Klingenbach 19,12432,Stuttgart,Ost,Baden-Württemberg,Stuttgart,48.78193153756339,9.2106551829722,0711 21696779,,,https://www.stuttgart-inklusiv.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-388049,Grund- und Werkrealschule Ostheim,secondary,Grund- und Werkrealschule,Landhausstraße 117,38804,Stuttgart,Ost,Baden-Württemberg,Stuttgart,48.787396515786334,9.203176688424943,0711 21633305,,poststelle.gwrs.ostheim@stuttgart.de,https://gwrsostheim.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-18095,Hegel-Gymnasium,secondary,Gymnasium,Krehlstraße 65,18095,Stuttgart,Vaihingen,Baden-Württemberg,Stuttgart,48.72337052179435,9.102506266172188,0711 21698640,,Poststelle.Hegel-Gymnasium@stuttgart.de,http://www.hegelgymnasium.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-18091,Hölderlin-Gymnasium,secondary,Gymnasium,Hölderlinstraße 28,18091,Stuttgart,Nord,Baden-Württemberg,Stuttgart,48.78493420564184,9.161768308178507,0711 21633700,,Poststelle.Hoelderlin-Gymnasium@stuttgart.de,http://www.hoegy.net/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-17969,Jahn-Realschule,secondary,Realschule,Überkinger Straße 48,17969,Stuttgart,Bad Cannstatt,Baden-Württemberg,Stuttgart,48.80862879815087,9.216964020172195,0711 21665680,,Poststelle.Jahn-Realschule@stuttgart.de,http://www.jrs.s.bw.schule.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-18623,Jörg-Ratgeb-Schule Stuttgart-Neugereut (Gymnasium),secondary,Gymnasium,Seeadlerstraße 3,18623,Stuttgart,Mühlhausen,Baden-Württemberg,Stuttgart,48.8325663632244,9.231129739257424,0711 21689400,,poststelle.jrsn@stuttgart.de,https://www.stuttgart-inklusiv.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-19972,Jörg-Ratgeb-Schule Stuttgart Neugereut (Realschule),secondary,Realschule,Seeadlerstraße 3,19972,Stuttgart,Mühlhausen,Baden-Württemberg,Stuttgart,48.8325663632244,9.231129739257424,0711 21689400,,poststelle.jrsn@stuttgart.de,https://www.stuttgart-inklusiv.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-18099,Karls-Gymnasium,secondary,Gymnasium,Tübinger Straße 38,18099,Stuttgart,Süd,Baden-Württemberg,Stuttgart,48.76935677708858,9.17172103785783,0711 21660590,,poststelle.karls-gymnasium@stuttgart.de,http://karls-gymnasium.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-18544,Königin-Charlotte-Gymnasium,secondary,Gymnasium,Sigmaringer Straße 85,18544,Stuttgart,Möhringen,Baden-Württemberg,Stuttgart,48.73005299810524,9.152685098383822,0711 21633750,,Poststelle.Koenigin-Charlotte-Gymnasium@stuttgart.de,https://www.stuttgart-inklusiv.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-18106,Königin-Olga-Stift,secondary,Gymnasium,Johannesstraße 18,18106,Stuttgart,West,Baden-Württemberg,Stuttgart,48.775180183743124,9.163465537329401,0711 21657610,,Poststelle.Koenigin-Olga-Stift@stuttgart.de,http://www.olga-stift.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-18110,Königin-Katharina-Stift,secondary,Gymnasium,Schillerstraße 5,18110,Stuttgart,Mitte,Baden-Württemberg,Stuttgart,48.7814708443925,9.185592652060627,0711 21696651,,Poststelle.Koenigin-Katharina-Stift@stuttgart.de,http://www.koenigin-katharina-stift.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-17763,Körschtalschule Gemeinschaftsschule,secondary,Gemeinschaftsschule,Paracelsusstraße 44,17763,Stuttgart,Plieningen,Baden-Württemberg,Stuttgart,48.706771533607295,9.209675274225507,0711 21698380,,poststelle.koerschtalschule@stuttgart.de,https://koerschtalschule.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-281979,Kolping Realschule,secondary,Realschule,Willy-Brandt-Straße 4,28197,Stuttgart,Mitte,Baden-Württemberg,Stuttgart,48.78179085894058,9.187962420891267,0711 21580,,,https://www.stuttgart-inklusiv.de/,,Privat,stuttgart.de Adressverzeichnis,2026-04-06
STG-16061,Lessing-Schulen Realschule,secondary,Realschule,Zuckerfabrik 7,16061,Stuttgart,Bad Cannstatt,Baden-Württemberg,Stuttgart,48.820518035745096,9.21395014032523,0711 2226767,,info@lessing-schulen.de,https://www.lessing-schulen.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-16064,Lessing-Schulen Gymnasium,secondary,Gymnasium,Zuckerfabrik 7,16064,Stuttgart,Bad Cannstatt,Baden-Württemberg,Stuttgart,48.820518035745096,9.21395014032523,0711 2226767,,info@lessing-schulen.de,https://www.lessing-schulen.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-19863,Linden-Realschule,secondary,Realschule,Lindenschulstraße 20,19863,Stuttgart,Untertürkheim,Baden-Württemberg,Stuttgart,48.77744703601334,9.249006984415361,0711 21660500,,poststelle.linden-realschule@stuttgart.de,http://www.linden-realschule.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-18528,Mädchengymnasium St. Agnes,secondary,Gymnasium,Gymnasiumstraße 45,18528,Stuttgart,Mitte,Baden-Württemberg,Stuttgart,48.777741896046216,9.17113712005033,0711 2253434,,info@agnes-gymnasium.de,https://www.stuttgart-inklusiv.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-18552,Merz Schule Privates Gymnasium,secondary,Gymnasium,Albrecht-Leo-Merz-Weg 2,18552,Stuttgart,Ost,Baden-Württemberg,Stuttgart,48.76535710987654,9.202761172126468,0711 210340,,info@merz-schule.de,http://www.merz-schule.de/,,Privat,stuttgart.de Adressverzeichnis,2026-04-06
STG-18534,Michael Bauer Schule,secondary,Waldorfschule,Othellostraße 5,18534,Stuttgart,Vaihingen,Baden-Württemberg,Stuttgart,48.7386969790406,9.123686878325113,0711 68689660,,michael-bauer-schule@t-online.de,http://www.michael-bauer-schule.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-248145,Monte Sole - Schule für individuelle Entwicklung,secondary,Realschule,Kölner Straße 11,24814,Stuttgart,Münster,Baden-Württemberg,Stuttgart,48.82158282075667,9.202170470118261,0711 9548040,,info@realschule-monte-sole.de,http://www.realschule-monte-sole.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-18117,Neues Gymnasium Leibniz,secondary,Gymnasium,Klagenfurter Straße 75,18117,Stuttgart,Feuerbach,Baden-Württemberg,Stuttgart,48.81208301083837,9.155916972131635,0711 21659850,,neues.gymnasium.leibniz@stuttgart.de,http://www.gymnasium-feuerbach.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-17965,Neckar-Realschule,secondary,Realschule,Heilbronner Straße 159,17965,Stuttgart,Mitte,Baden-Württemberg,Stuttgart,48.79851740088873,9.180412945460958,0711 21657730,,poststelle.neckar-realschule@stuttgart.de,https://neckar-realschule.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-421401,Neues Gymnasium Leibniz (Außenstelle),secondary,Gymnasium,Siemensstraße 52,42140,Stuttgart,Feuerbach,Baden-Württemberg,Stuttgart,48.81137112749195,9.175528405800494,0711 21659850,,info@ngl.s.schule-bw.de,https://www.gymnasium-feuerbach.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-18114,Paracelsus-Gymnasium Hohenheim,secondary,Gymnasium,Paracelsusstraße 36,18114,Stuttgart,Plieningen,Baden-Württemberg,Stuttgart,48.70549169243268,9.21098838076659,0711 21625350,,poststelle.paracelsus-gymnasium-hohenheim@stuttgart.de,http://www.paracelsus-gymnasium.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-17973,Park-Realschule,secondary,Realschule,Fliegenweg 4,17973,Stuttgart,Zuffenhausen,Baden-Württemberg,Stuttgart,48.84812264078773,9.154352275672709,0711 21625500,,poststelle.park-realschule@stuttgart.de,http://www.park-realschule.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-17760,Pestalozzischule,secondary,Grund- und Werkrealschule,Krehlstraße 60,17760,Stuttgart,Vaihingen,Baden-Württemberg,Stuttgart,48.72398394177479,9.100590340569184,0711 21698660,,poststelle.pestalozzischule@stuttgart.de,https://www.stuttgart-inklusiv.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-17995,Raichberg-Realschule,secondary,Realschule,Schönbühlstraße 90,17995,Stuttgart,Ost,Baden-Württemberg,Stuttgart,48.78321027127038,9.209939047278143,0711 21633550,,Poststelle.Raichberg-Realschule@stuttgart.de,https://www.stuttgart-inklusiv.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-17981,Realschule Ostheim,secondary,Realschule,Landhausstraße 117,17981,Stuttgart,Ost,Baden-Württemberg,Stuttgart,48.787396515786334,9.203176688424943,0711 21633301,,poststelle.realschule.ostheim@stuttgart.de,https://www.rsostheim.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-18613,Realschule Feuerbach,secondary,Realschule,Hohewartstraße 95,18613,Stuttgart,Feuerbach,Baden-Württemberg,Stuttgart,48.80561715503274,9.147398655476247,0711 21698059,,rsf@stuttgart.de,http://www.realschule-feuerbach.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-17988,Rilke-Realschule,secondary,Realschule,Tapachstraße 60,17988,Stuttgart,Zuffenhausen,Baden-Württemberg,Stuttgart,48.829986200112934,9.196263500296292,0711 21689430,,poststelle.rilke-realschule@stuttgart.de,http://www.rrs.s.schule-bw.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-19885,Robert-Koch-Realschule,secondary,Realschule,Vischerstraße 21,19885,Stuttgart,Vaihingen,Baden-Württemberg,Stuttgart,48.72313431014873,9.105075569456677,0711 21698612,,poststelle.robert-koch-realschule@stuttgart.de,http://www.robert-koch-realschule.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-17730,Rosensteinschule,secondary,Grund- und Werkrealschule,Nordbahnhofstraße 120,17730,Stuttgart,Nord,Baden-Württemberg,Stuttgart,48.800345547202795,9.190373967687659,0711 21620820,,poststelle.rosensteinschule@stuttgart.de,http://www.rosensteinschule.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-18007,Schickhardt-Gemeinschaftsschule,secondary,Gemeinschaftsschule,Schickhardtstraße 30,18007,Stuttgart,Süd,Baden-Württemberg,Stuttgart,48.765773554849495,9.161216860959797,0711 21691630,,info@schickhardt-gms.de,http://www.schickhardtschule.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-17688,Schickhardt-Gemeinschaftsschule Standort Heusteigschule,secondary,Gemeinschaftsschule,Heusteigstraße 97,17688,Stuttgart,Süd,Baden-Württemberg,Stuttgart,48.765910153267,9.172498566952115,0711 21659880,,,https://www.stuttgart-inklusiv.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-18125,Schickhardt-Gymnasium,secondary,Gymnasium,Schickhardtstraße 26,18125,Stuttgart,Süd,Baden-Württemberg,Stuttgart,48.76543282909765,9.160412889131061,0711 21691650,,Poststelle.Schickhardt-Gymnasium@stuttgart.de,https://www.das-schickhardt.org/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-19879,Schloss-Realschule,secondary,Realschule,Breitscheidstraße 28,19879,Stuttgart,West,Baden-Württemberg,Stuttgart,48.778083774776725,9.164945015134979,0711 21621220,,Poststelle.Schloss-Realschule@stuttgart.de,http://www.schloss-realschule.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-18003,Schloss-Realschule für Mädchen,secondary,Realschule,Schloßstraße 53C,18003,Stuttgart,West,Baden-Württemberg,Stuttgart,48.777343779328845,9.16656234441141,0711 21680490,,info@realschule-maedchen.de,http://schloss-realschule-fuer-maedchen.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-50098,Torwiesenschule (RS),secondary,Realschule,Vogelrainstraße 27,50098,Stuttgart,Süd,Baden-Württemberg,Stuttgart,48.75472095371245,9.137726022030598,0711 46913590,,torwiesenschule@diakonie-stetten.de,http://www.torwiesenschule.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-17800,Uhlandschule,secondary,Grund- und Werkrealschule,Tapachstraße 4,17800,Stuttgart,Zuffenhausen,Baden-Württemberg,Stuttgart,48.8317233217043,9.195725241002268,0711 21689440,,poststelle.uhlandschule@stuttgart.de,http://www.uhlandschule-rot.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-18121,Wagenburg-Gymnasium,secondary,Gymnasium,Wagenburgstraße 30,18121,Stuttgart,Ost,Baden-Württemberg,Stuttgart,48.77935853015227,9.195426284788033,0711 21635001,,Poststelle.WBG@stuttgart.de,http://www.wagenburg-gymnasium.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-26804,Waldorfschule Silberwald e.V.,secondary,Waldorfschule,Kemnater Straße 21,26804,Stuttgart,Sillenbuch,Baden-Württemberg,Stuttgart,48.73821499987358,9.222862796112912,0711 90754300,,info@silberwald.org,http://www.waldorfschule-silberwald.de/,,Privat,stuttgart.de Adressverzeichnis,2026-04-06
STG-18626,Waldschule Degerloch (Realschule),secondary,Realschule,Georgiiweg 1,18626,Stuttgart,Degerloch,Baden-Württemberg,Stuttgart,48.75053408225277,9.185315438320018,0711 8066970,,info@waldschule-degerloch.de,http://www.waldschule-degerloch.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-18531,Waldschule Degerloch (Gymnasium),secondary,Gymnasium,Georgiiweg 1,18531,Stuttgart,Degerloch,Baden-Württemberg,Stuttgart,48.75053408225277,9.185315438320018,0711 8066970,,info@waldschule-degerloch.de,http://www.waldschule-degerloch.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-17855,Wilhelmsschule Wangen,secondary,Grund- und Werkrealschule,Hedelfinger Straße 9,17855,Stuttgart,Wangen,Baden-Württemberg,Stuttgart,48.77095823233921,9.24607603922269,0711 21698344,,wilhelmsschule-wangen@stuttgart.de,http://www.wilhelmsschule.s.schule-bw.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-18541,Wirtemberg-Gymnasium,secondary,Gymnasium,Lindenschulstraße 20,18541,Stuttgart,Untertürkheim,Baden-Württemberg,Stuttgart,48.77744703601334,9.249006984415361,0711 21620370,,"Poststelle.Wirtemberg-Gymnasium@stuttgart.de, wirtemberg-gymnasium@stuttgart.de",http://www.wiggy.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-18141,Zeppelin-Gymnasium,secondary,Gymnasium,Neckarstraße 149,18141,Stuttgart,Ost,Baden-Württemberg,Stuttgart,48.789838548002734,9.195589512657802,0711 21621100,,poststelle.zeppelin-gymnasium@stuttgart.de,http://www.zeppelingymnasium.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
