schulnummer,Schulform,Schulbezeichnung_1,Schulbezeichnung_2,Schulbezeichnung_3,kurzbezeichnung,Bezirksregierung,plz,ort,strasse,Telefonvorwahl,Telefon,Faxvorwahl,Fax,email,website,Rechtsform,Traegernummer,gemeindeschluessel,Schulbetriebsschluessel,Schulbetriebsdatum,EPSG,UTMRechtswert,UTMHochwert,Unnamed: 24,latitude,longitude,schulform_name,traegerschaft,bezirksregierung_name,schulname,telefon,stadt,data_source,data_retrieved,bundesland,sozialindexstufe
100078,02,LOGOS-Grundschule,Russisch-Orthodoxe Bekenntnisgrundschule,,"Köln, GG LOGOS",3,51065,Köln,Arnsberger Str. 11,0221,16908487,,,100078@schule.nrw.de,http://www.logos-grundschule.de,2,10004,05315000,1,01.08.2019,EPSG:25832,360561,5646621,,50.954314,7.014696,Grundschule,Privat,Köln,LOGOS-Grundschule Russisch-Orthodoxe Bekenntnisgrundschule,022116908487,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,
100079,02,Paulus Schule,Städt. Kath. Grundschule,- Primarstufe -,"Düsseldorf, KG Paulus Schule",1,40237,Düsseldorf,Paulusplatz 1,0211,667608,0211,6799796,100079@schule.nrw.de,https://paulusschule-duesseldorf.de/,1,10042,05111000,1,01.08.1973,EPSG:25832,346730,5678352,,51.23593,6.804452,Grundschule,Öffentlich,Düsseldorf,Paulus Schule Städt. Kath. Grundschule - Primarstufe -,0211667608,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,3.0
100092,02,Städt. Kath. Grundschule,- Primarstufe -,,"Düsseldorf, KG Rather Kreuzweg",1,40472,Düsseldorf,Rather Kreuzweg 21,0211,8992882,0211,8929436,100092@schule.nrw.de,https://www.kgs-rather-kreuzweg.de/,1,10042,05111000,1,01.08.1973,EPSG:25832,347071,5681331,,51.262789,6.80806,Grundschule,Öffentlich,Düsseldorf,Städt. Kath. Grundschule - Primarstufe -,02118992882,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,9.0
100105,02,Erzbischöfliche Grundschule am,"Bildungscampus Köln-Kalk, staatl.gen.",priv.Ersatzsch.d.Erzbist.Köln,"Köln, KG am Bildungscampus",3,51103,Köln,Christian-Sünner-Str. 5,0221,22210910,,,100105@schule.nrw.de,https://bildungscampus-kalk.de/,2,71110,05315000,1,01.08.2020,EPSG:25832,360142,5644488,,50.935043,7.009553,Grundschule,Privat,Köln,"Erzbischöfliche Grundschule am Bildungscampus Köln-Kalk, staatl.gen. priv.Ersatzsch.d.Erzbist.Köln",022122210910,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,
100109,02,Marienschule,Städt. Kath. Grundschule,- Primarstufe -,"Düsseldorf, KG Marienschule",1,40591,Düsseldorf,Rheindorfer Weg 20,0211,8924360,0211,8924362,100109@schule.nrw.de,http://www.kgs-marienschule-duesseldorf.de,1,10042,05111000,1,01.08.1973,EPSG:25832,347268,5673248,,51.190212,6.814326,Grundschule,Öffentlich,Düsseldorf,Marienschule Städt. Kath. Grundschule - Primarstufe -,02118924360,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,2.0
100113,02,Gemeinschaftsgrundschule Gaedestrasse,in Köln-Marienburg,,"Köln, GG Gaedestrasse",3,50968,Köln,Gaedestr. 31,0221,5708050,0221,57080520,100113@schule.nrw.de,http://www.ggs-gaedestrasse.de,1,10182,05315000,1,01.08.2023,EPSG:25832,356628,5640545,,50.898745,6.961126,Grundschule,Öffentlich,Köln,Gemeinschaftsgrundschule Gaedestrasse in Köln-Marienburg,02215708050,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,4.0
100122,02,Hermann Gmeiner Schule,Städt. Kath. Grundschule,- Primarstufe -,"Düsseldorf, KG Hermann Gmeiner Schule",1,40599,Düsseldorf,Schillstr. 7,0211,8926160,0211,8926155,100122@schule.nrw.de,http://www.kgs-hermann-gmeiner.de,1,10042,05111000,1,01.08.1973,EPSG:25832,351479,5671797,,51.178283,6.875143,Grundschule,Öffentlich,Düsseldorf,Hermann Gmeiner Schule Städt. Kath. Grundschule - Primarstufe -,02118926160,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,7.0
100145,20,Städt. Gymnasium Zusestraße,,,"Köln, Gym Zusestraße",3,50859,Köln,Zusestr. 47,0221,22134810,,,100145@schule.nrw.de,https://gymnasium-zusestrasse.de/,1,10182,05315000,1,01.08.2022,EPSG:25832,348169,5646617,,50.951147,6.838392,Gymnasium,Öffentlich,Köln,Städt. Gymnasium Zusestraße,022122134810,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,2.0
100147,20,Stadt Köln,Gymnasium Müngersdorf,Sekundarstufen I und II,"Köln, Gym Müngersdorf",3,50933,Köln,Aachener Str. 744 - 750,0221,22136620,0221,22136643,100147@schule.nrw.de,https://www.gymnasium-aachener-str.de,1,10182,05315000,1,01.08.2022,,350995,5645088,,50.938144,6.879221,Gymnasium,Öffentlich,Köln,Stadt Köln Gymnasium Müngersdorf Sekundarstufen I und II,022122136620,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,2.0
100158,02,Städtische Katholische Grundschule,Primarstufe mit Montessorizweig,,"Düsseldorf, KG Josef-Kleesattel-Str.",1,40595,Düsseldorf,Josef-Kleesattel-Str. 13,0211,7393600,0211,7393601,100158@schule.nrw.de,http://schulen.duesseldorf.de/gs-josefkleesattelstr,1,10042,05111000,1,01.08.1973,EPSG:25832,352341,5668096,,51.145248,6.888985,Grundschule,Öffentlich,Düsseldorf,Städtische Katholische Grundschule Primarstufe mit Montessorizweig,02117393600,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,6.0
100159,02,Gem. Grundschule Alfons-Nowak-Straße,,,"Köln, GG Alfons-Nowak-Straße",3,50858,Köln,Alfons-Nowak-Str. 2,0221,7161250,0221,71612520,100159@schule.nrw.de,https://www.alfons-nowak-strasse.de,1,10182,05315000,1,01.08.2023,,349599,5644243,,50.930188,6.859716,Grundschule,Öffentlich,Köln,Gem. Grundschule Alfons-Nowak-Straße,02217161250,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,3.0
100160,02,Grundschule Kaiserswerth,Städt. Gem. Grundschule Fliednerstraße,- Primarstufe -,"Düsseldorf, GG Kaiserswerth",1,40489,Düsseldorf,Fliednerstr. 32,0211,8923642,0211,8923645,100160@schule.nrw.de,http://www.grundschule-kaiserswerth.de,1,10042,05111000,1,01.08.1972,EPSG:25832,342329,5685867,,51.302254,6.738147,Grundschule,Öffentlich,Düsseldorf,Grundschule Kaiserswerth Städt. Gem. Grundschule Fliednerstraße - Primarstufe -,02118923642,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,3.0
100161,02,"Offene Grund-Schule Köln, Staatl.gen.",private Ersatzschule als inklusive,Gem.Grundschule d. OSK gGmbH,"Köln, GG Offene-Grundschule Köln",3,50999,Köln,Sürther Str. 199,0221,337703101,,,100161@schule.nrw.de,https://www.offene-schule-koeln.de,2,82508,05315000,1,01.08.2022,,359708,5637441,,50.871605,7.006089,Grundschule,Privat,Köln,"Offene Grund-Schule Köln, Staatl.gen. private Ersatzschule als inklusive Gem.Grundschule d. OSK gGmbH",0221337703101,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,
100168,02,Freie Naturschulen Köln - Grundschule,Staatl.gen.priv. Ersatzs. a. inklusive,Gem.Grundschule d. Vivimos gUG,"Köln, GG Freie Naturschulen",3,50996,Köln,An der Wachsfabrik 25,02236,8846800,,,100168@schule.nrw.de,https://www.freie-naturschulen-koeln.com/,2,10041,05315000,1,10.08.2022,,359211,5637187,,50.869201,6.999128,Grundschule,Privat,Köln,Freie Naturschulen Köln - Grundschule Staatl.gen.priv. Ersatzs. a. inklusive Gem.Grundschule d. Vivimos gUG,022368846800,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,
100169,15,Freie Naturschulen Köln - Gesamtschule,Staatl. gen. priv. Ersatzschule als,Gesamtschule d. Vivimos gUG i. Aufbau,"Köln, GE Freie Naturschulen",3,50996,Köln,An der Wachsfabrik 25,02236,8846800,,,100169@schule.nrw.de,http://www.freie-naturschulen-koeln.com/Unsere-Schulen/Gesamtschule/,2,10041,05315000,1,10.08.2022,,359211,5637187,,50.869201,6.999128,Gesamtschule,Privat,Köln,Freie Naturschulen Köln - Gesamtschule Staatl. gen. priv. Ersatzschule als Gesamtschule d. Vivimos gUG i. Aufbau,022368846800,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,
100171,02,Städt. Kath. Grundschule,- Primarstufe -,,"Düsseldorf, KG Unter den Eichen",1,40625,Düsseldorf,Unter den Eichen 26,0211,8928292,0211,8929562,100171@schule.nrw.de,http://www.kgs-unterdeneichen.de,1,10042,05111000,1,01.08.1973,EPSG:25832,350425,5677883,,51.232696,6.857538,Grundschule,Öffentlich,Düsseldorf,Städt. Kath. Grundschule - Primarstufe -,02118928292,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,3.0
100180,08,Schule am Engelshof,Förderschule mit dem,Förderschwerpunkt Lernen,"Köln, FÖ LE Am Engelshof",3,51149,Köln,Berliner Str. 36,02203,8992920,,,100180@schule.nrw.de,,1,10182,05315000,1,01.08.2023,,360984,5640553,,50.899882,7.023029,Förderschule,Öffentlich,Köln,Schule am Engelshof Förderschule mit dem Förderschwerpunkt Lernen,022038992920,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,
100181,30,FRÖBEL-Fachschule für Sozialpädagogik,,,"Köln, BK FRÖBEL-Fachschule",3,50677,Köln,Salierring 47 - 53,0152,59571390,,,100181@schule.nrw.de,https://froebel-akademie.de/koeln,2,10046,05315000,1,07.08.2023,,355422,5643852,,50.928163,6.942677,Berufskolleg,Privat,Köln,FRÖBEL-Fachschule für Sozialpädagogik,015259571390,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,
100183,02,Christophorus-Schule,Städt. Kath. Grundschule,- Primarstufe -,"Düsseldorf, KG Christophorus",1,40591,Düsseldorf,Werstener Friedhofstr. 10,0211,8926170,0211,8926175,100183@schule.nrw.de,https://www.christophorus-grundschule.de/,1,10042,05111000,1,01.08.1973,EPSG:25832,348182,5672765,,51.186115,6.8276,Grundschule,Öffentlich,Düsseldorf,Christophorus-Schule Städt. Kath. Grundschule - Primarstufe -,02118926170,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,3.0
100185,15,Élise Freinet Gesamtschule,Schule der Sekundarstufe I + II,,"Düsseldorf, GE Élise Freinet",1,40549,Düsseldorf,Aldekerkstr. 23,0211,89924994,,,100185@schule.nrw.de,https://www.elise-freinet-gesamtschule.de,1,10042,05111000,1,01.08.2024,,339896,5678226,,51.232921,6.706696,Gesamtschule,Öffentlich,Düsseldorf,Élise Freinet Gesamtschule Schule der Sekundarstufe I + II,021189924994,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,5.0
100186,10,Städtische Realschule Borbecker Straße,,,"Düsseldorf, RS Borbecker Straße",1,40472,Düsseldorf,Borbecker Str. 25,0211,8993022,,,100186@schule.nrw.de,https://www.borbecker-x.de/,1,10042,05111000,1,01.08.2024,,346030,5682418,,51.272276,6.792683,Realschule,Öffentlich,Düsseldorf,Städtische Realschule Borbecker Straße,02118993022,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,6.0
100187,20,Städt. Gymnasium Bernburger Straße,,,"Düsseldorf, Gym Bernburger Straße",1,40229,Düsseldorf,Bernburger Str. 44,0211,8928258,,,100187@schule.nrw.de,https://gy-bernburger-str.eschool.de/,1,10042,05111000,1,01.08.2024,,348822,5674329,,51.200338,6.836093,Gymnasium,Öffentlich,Düsseldorf,Städt. Gymnasium Bernburger Straße,02118928258,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,3.0
100205,20,Gymnasium Nippes,im Toni-Steingass-Park,,"Köln, Gym Nippes",3,50733,Köln,Henner-Berzau-Weg 3,0221,22136490,,,100205@schule.nrw.de,https://www.gymnasium-steingasspark.de/,1,10182,05315000,1,01.08.2024,,356546,5648550,,50.970664,6.956809,Gymnasium,Öffentlich,Köln,Gymnasium Nippes im Toni-Steingass-Park,022122136490,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,5.0
100206,20,Gymnasium Rondorf,,,"Köln, Gym Rondorf",3,50999,Köln,Eygelshovener Str.,0221,22136480,,,100206@schule.nrw.de,https://www.gymnasium-rondorf.de/,1,10182,05315000,1,01.08.2024,,359855,5638066,,50.877257,7.007937,Gymnasium,Öffentlich,Köln,Gymnasium Rondorf,022122136480,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,3.0
100208,15,Sieben Brücken Schule (Gesamtschule),Staatl. genehmigte Ersatzschule i.Aufbau,d. Bildungscampus Siebenbrücken gGmbH,"Köln, GE Sieben Brücken Schule",3,50859,Köln,Ottostr. 1,02234,93748710,,,100208@schule.nrw.de,https://www.7bruecken.com/,2,10048,05315000,1,23.10.2023,,348261,5646230,,50.947693,6.839862,Gesamtschule,Privat,Köln,Sieben Brücken Schule (Gesamtschule) Staatl. genehmigte Ersatzschule i.Aufbau d. Bildungscampus Siebenbrücken gGmbH,0223493748710,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,
100210,15,Gesamtschule Am Wassermann,,,"Köln, GE Am Wassermann",3,50829,Köln,Am Wassermann 40,0221,22136470,,,100210@schule.nrw.de,https://www.amwassermann.de/,1,10182,05315000,1,01.08.2024,,350877,5646322,,50.949203,6.877038,Gesamtschule,Öffentlich,Köln,Gesamtschule Am Wassermann,022122136470,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,5.0
100211,15,Gesamtschule Weidenpesch,,,"Köln, GE Weidenpesch",3,50739,Köln,Escher Str. 279,0221,22136460,0221,22136469,100211@schule.nrw.de,https://www.gesamtschule-weidenpesch.de,1,10182,05315000,1,01.08.2024,,354214,5648688,,50.971319,6.923563,Gesamtschule,Öffentlich,Köln,Gesamtschule Weidenpesch,022122136460,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,5.0
100212,15,Gesamtschule Ossendorf,,,"Köln, GE Ossendorf",3,50829,Köln,Am Wassermann 40,0221,22136450,,,100212@schule.nrw.de,https://gesamtschule-ossendorf.de,1,10182,05315000,1,01.08.2024,,350877,5646322,,50.949203,6.877038,Gesamtschule,Öffentlich,Köln,Gesamtschule Ossendorf,022122136450,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,6.0
100213,02,Henri-Dunant-Schule,Städt. Gem. Grundschule,- Primarstufe -,"Düsseldorf, GG Henri-Dunant-Schule",1,40591,Düsseldorf,Rheindorfer Weg 20,0211,8924350,0211,8924352,100213@schule.nrw.de,http://www.gs-rheindorferweg.schulen.duesseldorf.de/,1,10042,05111000,1,01.08.1973,EPSG:25832,347268,5673248,,51.190212,6.814326,Grundschule,Öffentlich,Düsseldorf,Henri-Dunant-Schule Städt. Gem. Grundschule - Primarstufe -,02118924350,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,2.0
100218,02,Grundschule Friedrich-Karl-Straße,,,"Köln, GG Friedrich-Karl-Straße",3,50737,Köln,Friedrich-Karl-Str. 64,0221,474410610,,,100218@schule.nrw.de,,1,10182,05315000,1,01.08.2025,,356442,5648917,,50.973937,6.955184,Grundschule,Öffentlich,Köln,Grundschule Friedrich-Karl-Straße,0221474410610,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,
100219,15,Erzbischöfliche Gesamtschule am,Bildungscampus Köln-Kalk,in Köln im Aufbau,"Köln, GE Erzbischöfliche Gesamtschule",3,51103,Köln,Christian-Sünner-Str. 5,0221,22211511,,,100219@schule.nrw.de,,2,71110,05315000,1,01.08.2024,,360142,5644488,,50.935043,7.009553,Gesamtschule,Privat,Köln,Erzbischöfliche Gesamtschule am Bildungscampus Köln-Kalk in Köln im Aufbau,022122211511,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,
100225,02,Städt. Gem. Grundschule,- Primarstufe -,,"Düsseldorf, GG Bingener Weg",1,40229,Düsseldorf,Bingener Weg 10,0211,8924378,0211,8924385,100225@schule.nrw.de,http://www.schulen.duesseldorf.de/gs-bingenerweg/,1,10042,05111000,1,01.08.1973,EPSG:25832,347676,5674424,,51.200888,6.819662,Grundschule,Öffentlich,Düsseldorf,Städt. Gem. Grundschule - Primarstufe -,02118924378,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,5.0
100231,20,Gymnasium Neustadt-Nord,,,"Köln, Gym Neustadt-Nord",3,50678,Köln,Ubierring 45,0221,47441050,,,100231@schule.nrw.de,https://www.gymnasium-neustadt-nord.de,1,10182,05315000,1,01.08.2025,,356957,5643168,,50.922399,6.964773,Gymnasium,Öffentlich,Köln,Gymnasium Neustadt-Nord,022147441050,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,
100233,20,Gymnasium Brügelmannstraße,,,"Köln, Gym Brügelmannstraße",3,50679,Köln,Brügelmannstr. 10,,,,,100233@schule.nrw.de,,1,10182,05315000,1,01.08.2025,,358410,5645454,,50.943302,6.984545,Gymnasium,Öffentlich,Köln,Gymnasium Brügelmannstraße,,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,
100235,15,Gesamtschule Kalk,,,"Köln, GE Kalk",3,50679,Köln,Brügelmannstr. 10,,,,,100235@schule.nrw.de,,1,10182,05315000,1,01.08.2025,,358410,5645454,,50.943302,6.984545,Gesamtschule,Öffentlich,Köln,Gesamtschule Kalk,,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,
100237,02,Städt. Gem. Grundschule,- Primarstufe -,,"Düsseldorf, GG Gumbertstr.",1,40229,Düsseldorf,Gumbertstr. 191,0211,9215317,0211,2202122,100237@schule.nrw.de,https://gumbertschule.de/,1,10042,05111000,1,01.07.1973,EPSG:25832,349380,5674304,,51.200261,6.844084,Grundschule,Öffentlich,Düsseldorf,Städt. Gem. Grundschule - Primarstufe -,02119215317,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,8.0
100250,02,St. -Peter-Schule,Städt. Kath. Grundschule,- Primarstufe -,"Düsseldorf, KG St. -Peter",1,40215,Düsseldorf,Jahnstr. 97,0211,8924741,0211,8924746,100250@schule.nrw.de,http://www.st-peter-schule-duesseldorf.de,1,10042,05111000,1,01.08.1973,EPSG:25832,344980,5675726,,51.211862,6.78054,Grundschule,Öffentlich,Düsseldorf,St. -Peter-Schule Städt. Kath. Grundschule - Primarstufe -,02118924741,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,6.0
100262,02,St. Michael Schule,Städt. Kath. Grundschule,- Primarstufe -,"Düsseldorf, KG St. Michael Schule",1,40231,Düsseldorf,Kempgensweg 65,0211,8921726,0211,8929434,100262@schule.nrw.de,https://www.gs-kempgensweg.de/,1,10042,05111000,1,01.08.1973,EPSG:25832,348307,5675212,,51.208136,6.828354,Grundschule,Öffentlich,Düsseldorf,St. Michael Schule Städt. Kath. Grundschule - Primarstufe -,02118921726,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,9.0
100274,02,Franz-Boehm-Schule,Städtische Katholische Grundschule,- Primarstufe -,"Düsseldorf, KG Franz-Boehm-Schule",1,40627,Düsseldorf,Kamper Weg 291,0211,8927910,0211,8927915,100274@schule.nrw.de,http://www.grundschule-kamper-weg.de,1,10042,05111000,1,01.08.1973,EPSG:25832,350712,5676059,,51.216381,6.862405,Grundschule,Öffentlich,Düsseldorf,Franz-Boehm-Schule Städtische Katholische Grundschule - Primarstufe -,02118927910,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,4.0
100286,02,St. Apollinaris Schule,Städtische Katholische Grundschule,- Primarstufe -,"Düsseldorf, KG St. Apollinaris Schule",1,40589,Düsseldorf,Itterstr. 16,0211,8924726,0211,8924736,100286@schule.nrw.de,http://www.apollinarisschule.de,1,10042,05111000,1,01.08.1973,EPSG:25832,348372,5671509,,51.174879,6.830847,Grundschule,Öffentlich,Düsseldorf,St. Apollinaris Schule Städtische Katholische Grundschule - Primarstufe -,02118924726,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,6.0
100298,02,Städtische Katholische Grundschule,Lohausen,- Primarstufe -,"Düsseldorf, KG Lohausen",1,40474,Düsseldorf,Im Grund 78,0211,8992798,0211,8929433,100298@schule.nrw.de,http://www.kleine-gelbe-schule.de,1,10042,05111000,1,01.08.1973,EPSG:25832,342189,5682912,,51.275664,6.737446,Grundschule,Öffentlich,Düsseldorf,Städtische Katholische Grundschule Lohausen - Primarstufe -,02118992798,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,4.0
100304,02,Städtische Katholische Grundschule,Mettmanner Straße,- Primarstufe -,"Düsseldorf, KG Mettmanner Straße",1,40233,Düsseldorf,Hubbelrather Str. 13,0211,8997971,0211,8929449,100304@schule.nrw.de,https://kgs-mettmannerstrasse.de/,1,10042,05111000,1,01.08.1973,EPSG:25832,346843,5676926,,51.223147,6.806679,Grundschule,Öffentlich,Düsseldorf,Städtische Katholische Grundschule Mettmanner Straße - Primarstufe -,02118997971,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,8.0
