schulnummer,schulname,school_type,schulkategorie,schulform_raw,klassenstufe,strasse,plz,ort,stadt,bundesland,ortsteil,latitude,longitude,telefon,fax,email,website,traegerschaft,traeger_name,form_der_privatschule,schulleitung,stv_schulleitung,schueler_gesamt,klassenzahl,unterrichtszeit,unterrichtszeit_erlaeuterung,profile,sonstige_profile,foerderschwerpunkt,unterrichtssprache,fruehe_fremdsprache,erste_fremdsprache,zweite_fremdsprache,dritte_fremdsprache,sprachen,art_des_angebots,ganztagsform,besonderheiten,besonderheiten_erlaeuterung,auszeichnungen,foerderverein,schulbibliothek,namensgebung,berufsbereiche,ausbildungsberufe,schulform_bemerkung,ndh_count,sw_portal_url,sw_portal_slug,data_source,data_retrieved,traffic_accidents_total,traffic_accidents_per_year,traffic_accidents_fatal,traffic_accidents_serious,traffic_accidents_minor,traffic_accidents_bicycle,traffic_accidents_pedestrian,traffic_accidents_school_hours,traffic_nearest_accident_m,traffic_data_years,traffic_data_source,transit_rail_01_name,transit_rail_01_distance_m,transit_rail_01_latitude,transit_rail_01_longitude,transit_rail_01_lines,transit_rail_02_name,transit_rail_02_distance_m,transit_rail_02_latitude,transit_rail_02_longitude,transit_rail_02_lines,transit_rail_03_name,transit_rail_03_distance_m,transit_rail_03_latitude,transit_rail_03_longitude,transit_rail_03_lines,transit_tram_01_name,transit_tram_01_distance_m,transit_tram_01_latitude,transit_tram_01_longitude,transit_tram_01_lines,transit_tram_02_name,transit_tram_02_distance_m,transit_tram_02_latitude,transit_tram_02_longitude,transit_tram_02_lines,transit_tram_03_name,transit_tram_03_distance_m,transit_tram_03_latitude,transit_tram_03_longitude,transit_tram_03_lines,transit_bus_01_name,transit_bus_01_distance_m,transit_bus_01_latitude,transit_bus_01_longitude,transit_bus_01_lines,transit_bus_02_name,transit_bus_02_distance_m,transit_bus_02_latitude,transit_bus_02_longitude,transit_bus_02_lines,transit_bus_03_name,transit_bus_03_distance_m,transit_bus_03_latitude,transit_bus_03_longitude,transit_bus_03_lines,transit_stops_500m,transit_stop_count_1000m,transit_all_lines_1000m,transit_accessibility_score,crime_stadt,crime_bezirk,crime_bezirk_population,crime_bezirk_index,crime_haeufigkeitszahl_2023,crime_aufklaerungsquote_2023,crime_straftaten_2023,crime_strassenraub_2023,crime_koerperverletzung_2023,crime_diebstahl_fahrrad_2023,crime_wohnungseinbruch_2023,crime_straftaten_2023_rate_per_100k,crime_strassenraub_2023_rate_per_100k,crime_koerperverletzung_2023_rate_per_100k,crime_diebstahl_fahrrad_2023_rate_per_100k,crime_wohnungseinbruch_2023_rate_per_100k,crime_data_source
,Carlo-Mierendorff-Schule,Integrierte Gesamtschule (IGS),weiterfuehrende-allgemeinbildende-schulen,"Integrierte Gesamtschule (IGS), Gymnasiale Oberstufe, Weiterführende allgemeinbildende Schule",5-13,Gravensteiner-Platz 2,60435,Frankfurt am Main,Frankfurt am Main,Hessen,Preungesheim,50.1544,8.69753,+49 69 212 41910,+49 69 212 41940,poststelle.carlo-mierendorff-schule@stadt-frankfurt.de,http://www.cms-ffm.de/,Stadt Frankfurt am Main,,,Nicole Schiffer-Brams,Christian Schlag,1000.0,40.0,08:00 bis 17:15 Uhr,,Schule ohne Rassismus – Schule mit Courage,,,Deutsch,,Englisch,"Französisch, Spanisch, Weitere Sprachangebote, Spanisch, Ukrainisch",,"Englisch, Französisch, Spanisch, Weitere Sprachangebote, Spanisch, Ukrainisch",,Schule mit Ganztagsangeboten - Profil 2,"Angebote zur beruflichen Orientierung, AGs am Nachmittag, Förderung der Deutschkenntnisse, Ganztagsangebote, Gewaltprävention, Jugendhilfeangebot, Kooperationspartner, Mittagessen, Pausenverkauf",,"Umweltschule, Schule ohne Rassismus","""Freunde und Förderer der Carlo-Mierendorff-Schule, IGS e.V."", E-Mail: foerderverein@cms-ffm.de",Sportangebote,Carlo Mierendorff (1897-1943) Widerstandskämpfer und führender Sozialdemokrat während der Nazizeit,,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/weiterfuehrende-allgemeinbildende-schulen/carlo-mierendorff-schule,carlo-mierendorff-schule,Frankfurt Schulwegweiser,2026-04-06,262,87.3,1,21,240,112,64,106,23,"2024,2023,2022",Unfallatlas,Ronneburgstraße,750.0,50.1513695,8.6881232,,Sigmund-Freud-Straße,810.0,50.1547945,8.6861706,,Preungesheim,850.0,50.1585161,8.6874727,,Gravensteiner-Platz,117.0,50.1551792,8.69864,,Alkmenestraße,330.0,50.1518084,8.6997916,,Walter-Kolb-Siedlung,935.0,50.1468119,8.7031811,18,Gravensteiner-Platz,119.0,50.1553692,8.6982279,,Wiesenhüttenstift,216.0,50.1563446,8.6976716,,Gundelandstraße,289.0,50.1562395,8.694663,,18,56,18,50.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
,Deutschherrenschule,Realschule,weiterfuehrende-allgemeinbildende-schulen,"Realschule, Weiterführende allgemeinbildende Schule",5-10,Willemerstraße 24,60594,Frankfurt am Main,Frankfurt am Main,Hessen,Sachsenhausen,50.1044,8.69442,+49 69 212 35335,+49 69 212 34563,poststelle.deutschherrenschule@stadt-frankfurt.de,,Stadt Frankfurt am Main,,,Verena Behr,N.N.,392.0,14.0,07:45 bis 13:05 Uhr,,,,,Deutsch,,Englisch,"Französisch, Italienisch, Bilingual, Italienisch",,"Englisch, Französisch, Italienisch, Bilingual, Italienisch",,,"AGs am Nachmittag, Angebote zur beruflichen Orientierung, Besondere Leseförderung, Förderung der Deutschkenntnisse, Gewaltprävention, Hausaufgabenhilfe/-betreuung, Jugendhilfeangebot, Pausenverkauf",,,"""Förderverein der Deutschherrenschule"", Ansprechpartner/in: Frau Nike Jaschinski",,Benannt nach dem in Sachsenhausen ansässigen Deutschen Orden,,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/weiterfuehrende-allgemeinbildende-schulen/deutschherrenschule,deutschherrenschule,Frankfurt Schulwegweiser,2026-04-06,262,87.3,1,21,240,112,64,106,23,"2024,2023,2022",Unfallatlas,Lokalbahnhof,268.0,50.1022138,8.6928445,,Mühlberg,495.0,50.1020216,8.7002889,,Südbahnhof,772.0,50.0989664,8.6876801,,Lokalbahnhof,150.0,50.1033204,8.6931589,,Heister-/Seehofstraße,154.0,50.1037356,8.6963189,,Frankensteiner Platz,228.0,50.1059556,8.6923446,14;18,Heister-/Siemensstraße,73.0,50.1040602,8.6952999,,Wasserweg,178.0,50.1059309,8.6951344,,Heister-/Seehofstraße,203.0,50.1036202,8.6969914,,57,153,"14, 18",50.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
,Edith-Stein-Schule,Haupt- und Realschule,weiterfuehrende-allgemeinbildende-schulen,"Haupt- und Realschule, Weiterführende allgemeinbildende Schule",5-10,Schaumburger Straße 66-68,65936,Frankfurt am Main,Frankfurt am Main,Hessen,Sossenheim,50.1188,8.55969,+49 69 212 42908,+49 69 212 42889,poststelle.edith-stein-schule@stadt-frankfurt.de,,Stadt Frankfurt am Main,,,Herr Morelli,Jeanette Soumah,480.0,18.0,siehe Erläuterung der Unterrichtszeit,,"Schwerpunkt Kunst, Schwerpunkt Musik, Schwerpunkt Neue Technologien, Schwerpunkt Sport",,,Deutsch,,Englisch,"Französisch, Herkunftssprachlicher Unterricht, Italienisch",,"Englisch, Französisch, Herkunftssprachlicher Unterricht, Italienisch",Ganztagsangebote,,"AGs am Nachmittag, Angebote zur beruflichen Orientierung, Besondere Leseförderung, Förderung der Deutschkenntnisse, Ganztagsangebote, Gewaltprävention, Jugendhilfeangebot, Kooperationspartner, Mittagessen, Pausenverkauf",,,"""Förderverein der Eduard-Spranger-Schule e.V."", Ansprechpartner/in: Herr Filgueira",Von der Stadtbücherei aufgebaut und organisiert.,"Edith Stein (1891–1942), Philosophin, Frauenrechtlerin, Theologin",,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/weiterfuehrende-allgemeinbildende-schulen/edith-stein-schule,edith-stein-schule,Frankfurt Schulwegweiser,2026-04-06,262,87.3,1,21,240,112,64,106,23,"2024,2023,2022",Unfallatlas,Sossenheim,611.0,50.1149359,8.5536044,,Nied,2014.0,50.1023216,8.5714188,,Eschborn Süd,2116.0,50.133625,8.5783053,,Zuckschwerdtstraße,1815.0,50.1031171,8.5526441,,Tillystraße,1926.0,50.1014862,8.5602552,,Bolongaropalast,1963.0,50.1017019,8.5528179,,Am Kapellenberg,253.0,50.1169187,8.5616838,,Dunantring,267.0,50.1177296,8.5563431,,Sossenheim Bahnhof,412.0,50.1156994,8.5565331,,14,41,,50.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
,Elisabethenschule,Gymnasium,weiterfuehrende-allgemeinbildende-schulen,"Gymnasium, Weiterführende allgemeinbildende Schule",5-13,Holzhausenstraße 98,60322,Frankfurt am Main,Frankfurt am Main,Hessen,Nordend,50.1257,8.67553,+49 69 212 38663,,,,Stadt Frankfurt am Main,,,Stefan Neureiter,Achim Kaewnetara,1200.0,30.0,08:10 bis 13:25 Uhr,,"Schwerpunkt Musik, MINT-freundliche Schule, Schwerpunkt Sprachen",,,,,"Englisch, Spanisch","Englisch, Französisch","Italienisch, Weitere Sprachangebote, Spanisch","Englisch, Spanisch, Englisch, Französisch, Italienisch, Weitere Sprachangebote, Spanisch",,Schule mit Ganztagsangeboten - Profil 2,"AGs am Nachmittag, Besondere Leseförderung, Förderung der Deutschkenntnisse, Ganztagsangebote, Gewaltprävention, Hausaufgabenhilfe/-betreuung, Kooperationspartner, Mittagessen, Pausenverkauf, Schüleraustausch",,"Gütesiegel Studien- und Berufsorientierung, Prädikat: Schwerpunkt Musik, Schule ohne Rassismus - Schule mit Courage, Gesundheitsfördernde Schule, MINT-EC, Smart-School","Förderverein der Elisabethenschule, Telefon 49 69 212 35144",Von der Stadtbücherei aufgebaut und organisiert.,"Katharina Elisabeth Goethe, geb. Textor (1731-1808), Mutter Goethes",,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/weiterfuehrende-allgemeinbildende-schulen/elisabethenschule,elisabethenschule,Frankfurt Schulwegweiser,2026-04-06,262,87.3,1,21,240,112,64,106,23,"2024,2023,2022",Unfallatlas,Holzhausenstraße,142.0,50.126592,8.6741114,,"U-Bahn (50.1220,8.6758)",413.0,50.1219906,8.675848,,"U-Bahn (50.1219,8.6756)",419.0,50.121929,8.6755721,,Friedberger Platz,1174.0,50.1238054,8.691725,,Matthias-Beltz-Platz,1176.0,50.1265694,8.691974,,Hessendenkmal,1243.0,50.1186272,8.6890393,,Holzhausenstraße,127.0,50.1264365,8.6741681,,Holzhausen-Park,163.0,50.1270624,8.6763907,,Lessing-Gymnasium,194.0,50.124929,8.673089,,46,131,36,50.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
,Erasmus Frankfurter Stadtschule,Grundschule,weiterfuehrende-allgemeinbildende-schulen,"Grundschule, Gymnasium, Weiterführende allgemeinbildende Schule",1-4,Sonnemannstraße 9-11,60314,Frankfurt am Main,Frankfurt am Main,Hessen,,50.1100273,8.6973096,+49 69 90743640,+49 69 907436412,info@erasmus-schule.eu,http://www.erasmus-schule.eu,Private Träger,ASB Erasmus Frankfurter Stadtschule Grundschule gGmbH,Staatlich genehmigte Ersatzschule,Gerlinde Herd-Huber,,300.0,15.0,08:30 bis 16:00 Uhr,,Schwerpunkt Sprachen,,,Bilingual Deutsch/Englisch,,"Englisch, Spanisch, Weitere Sprachangebote, Latein, Französisch, Bilingual, Englisch, Spanisch",,,"Englisch, Spanisch, Weitere Sprachangebote, Latein, Französisch, Bilingual, Englisch, Spanisch",,,"AGs am Nachmittag, Ganztägig arbeitende Schule, Mittagessen",,,"""EAP Elternverein am Palmengarten""",Ganztagsangebote,Erasmus von Rotterdam,,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/weiterfuehrende-allgemeinbildende-schulen/erasmus-frankfurter-stadtschule,erasmus-frankfurter-stadtschule,Frankfurt Schulwegweiser,2026-04-06,262,87.3,1,21,240,112,64,106,23,"2024,2023,2022",Unfallatlas,Ostendstraße; Europäische Zentralbank (ECB),131.0,50.1111515,8.6978556,,Ostendstraße; ECB,161.0,50.1113552,8.6982152,,Ostendstraße,277.0,50.1125091,8.6970061,,Hospital zum Heiligen Geist,331.0,50.1105492,8.6927342,14;18,Ostendstraße,362.0,50.1132808,8.6971192,,Zobelstraße,425.0,50.1129116,8.7012279,,Ostendstraße,343.0,50.113072,8.6980412,,Zobelstraße,397.0,50.1128393,8.7007318,,Allerheiligentor,430.0,50.113221,8.6938983,,30,188,"14, 18, n72",50.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
,Ernst-Reuter Schule 1,Gymnasiale Oberstufe,weiterfuehrende-allgemeinbildende-schulen,"Gymnasiale Oberstufe, Weiterführende allgemeinbildende Schule",11-13,,0None,Frankfurt am Main,Frankfurt am Main,Hessen,Niederursel,50.1626,8.629,+49 69 212 32000,+49 69 212 32001,poststelle.ernst-reuter-schule-I@stadt-frankfurt.de,http://www.ernst-reuter-schule1.de,Stadt Frankfurt am Main,,,Martin Schroeder,,,,07:50 bis 17:40 Uhr,,"Schwerpunkt Kunst, Schwerpunkt Musik, Schwerpunkt Naturwissenschaften, Schwerpunkt Neue Technologien, Schwerpunkt Sprachen",,,,,Englisch,"Französisch, Italienisch, Spanisch","Französisch, Italienisch, Spanisch","Englisch, Französisch, Italienisch, Spanisch, Französisch, Italienisch, Spanisch",,,"AGs am Nachmittag, Förderung der Deutschkenntnisse, Kooperationspartner, Mittagessen, Pausenverkauf, Schülerzeitung",,,,,"Ernst Reuter (1889-1953), Politiker",,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/weiterfuehrende-allgemeinbildende-schulen/ernst-reuter-schule-i,ernst-reuter-schule-i,Frankfurt Schulwegweiser,2026-04-06,262,87.3,1,21,240,112,64,106,23,"2024,2023,2022",Unfallatlas,Heddernheimer Landstraße,434.0,50.1637967,8.6348005,,Wiesenau,479.0,50.1668742,8.6297836,,Nordwestzentrum,615.0,50.1581352,8.634094,,Ginnheim Mitte,2789.0,50.1402029,8.6466334,,Markus-Krankenhaus,3124.0,50.1366388,8.6457564,,Frauenfriedenskirche,3956.0,50.1288186,8.646436,,Roßkopfstraße,16.0,50.1627464,8.6290263,,Heinrich-Kromer Schule,369.0,50.1652866,8.625954,,Ersatzhaltestelle,468.0,50.1636603,8.6353649,,9,47,,50.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
,Ernst-Reuter-Schule II,Integrierte Gesamtschule (IGS),weiterfuehrende-allgemeinbildende-schulen,"Integrierte Gesamtschule (IGS), Weiterführende allgemeinbildende Schule",5-10,,0None,Frankfurt am Main,Frankfurt am Main,Hessen,Niederursel,50.1626,8.629,+49 69 212 35531,+49 69 212 32083,poststelle.ernst-reuter-schule-ii@stadt-frankfurt.de,http://www.ersii.de,Stadt Frankfurt am Main,,,Jens Lischka-Beermann,Sabine Stoiber,1194.0,48.0,"siehe ""Erläuterung zu der Unterrichtszeit""",,"Schwerpunkt Musik, Schwerpunkt Sprachen, Schwerpunkt Naturwissenschaften",,,,,Englisch,"Spanisch, Französisch, Italienisch","Spanisch, Italienisch","Englisch, Spanisch, Französisch, Italienisch, Spanisch, Italienisch",Ganztagsangebote,Schule mit Ganztagsangeboten - Profil 2,"AGs am Nachmittag, Angebote zur beruflichen Orientierung, Förderung besonderer Begabung, Ganztagsangebote, Gewaltprävention, Hausaufgabenhilfe/-betreuung, Jugendhilfeangebot, Kooperationspartner, Mittagessen",,"Umweltschule, Fair-Trade-Schule",https://damas-ers2.de/,Von der Stadtbücherei aufgebaut und organisiert.,"Ernst Reuter (1889-1953) , Politiker",,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/weiterfuehrende-allgemeinbildende-schulen/ernst-reuter-schule-ii,ernst-reuter-schule-ii,Frankfurt Schulwegweiser,2026-04-06,262,87.3,1,21,240,112,64,106,23,"2024,2023,2022",Unfallatlas,Heddernheimer Landstraße,434.0,50.1637967,8.6348005,,Wiesenau,479.0,50.1668742,8.6297836,,Nordwestzentrum,615.0,50.1581352,8.634094,,Ginnheim Mitte,2789.0,50.1402029,8.6466334,,Markus-Krankenhaus,3124.0,50.1366388,8.6457564,,Frauenfriedenskirche,3956.0,50.1288186,8.646436,,Roßkopfstraße,16.0,50.1627464,8.6290263,,Heinrich-Kromer Schule,369.0,50.1652866,8.625954,,Ersatzhaltestelle,468.0,50.1636603,8.6353649,,9,47,,50.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
,Europäische Schule Frankfurt,Gymnasium,weiterfuehrende-allgemeinbildende-schulen,"Gymnasium, Weiterführende allgemeinbildende Schule",,,0None,Frankfurt am Main,Frankfurt am Main,Hessen,Niederursel,50.0972,8.66766,+49 69 9288740,+49 69 92887474,contact@eursc.org,http://www.eursc.org,Sonstige Träger,Europäische Mitgliedsstaaten,,Anastazija Avsec,,1600.0,,"Siehe ""Erläuterung zu der Unterrichtszeit""",,,,,Deutsch,"Englisch, Französisch, Deutsch","Englisch, Französisch, Deutsch, Sprachangebot",,,"Englisch, Französisch, Deutsch, Englisch, Französisch, Deutsch, Sprachangebot",,,"Ganztagsangebote, Ganztägig arbeitende Schule, Mittagessen",,,"""Elternverein der Europäischen Schule Frankfurt am Main"", www.esfparents.org",Angebote zur beruflichen Orientierung,Europäische Mitgliedsstaaten,,,Europäisches Abitur (Baccalaureat),,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/weiterfuehrende-allgemeinbildende-schulen/europaeische-schule-frankfurt,europaeische-schule-frankfurt,Frankfurt Schulwegweiser,2026-04-06,262,87.3,1,21,240,112,64,106,23,"2024,2023,2022",Unfallatlas,Stresemannallee,405.0,50.0942383,8.6709594,,Schweizer Platz,1057.0,50.1024094,8.6800572,,Gartenstraße Museumsufer,1078.0,50.1031575,8.6795856,,Vogelweidstraße,182.0,50.0976056,8.6651832,,Friedensbrücke,214.0,50.098823,8.6692789,,Stresemannallee Bahnhof,380.0,50.0946507,8.6712181,,Vogelweidstraße,148.0,50.0978426,8.6658425,,Friedensbrücke,178.0,50.0980491,8.6697783,,Haus 8,244.0,50.0966515,8.664346,,40,155,N16,50.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
,Falkschule,Realschule,weiterfuehrende-allgemeinbildende-schulen,"Realschule, Weiterführende allgemeinbildende Schule",5-10,Ludwigstraße 34-38,60327,Frankfurt am Main,Frankfurt am Main,Hessen,Gallus,50.1091,8.65824,+49 69 212 33526,+49 69 212 37615,poststelle.falkschule@stadt-frankfurt.de,http://falk.frankfurt.schule.hessen.de,Stadt Frankfurt am Main,,,Frau Lamik,Frau Helmand,403.0,16.0,08:00 bis 13:15 Uhr,,"Förderung der Deutschkenntnisse, Gewaltprävention (Mediation / Konfliktschlichtung), Hilfen zur Berufsorientierung, Schwerpunkt Musik, Schwerpunkt Kunst",,,Deutsch,,Englisch,Französisch,,"Englisch, Französisch",,Schule mit Ganztagsangeboten - Profil 1,"AGs am Nachmittag, Besondere Leseförderung, Hausaufgabenhilfe/-betreuung, Jugendhilfeangebot",,,,Videoproduktionen,Adalbert Falk (1827 - 1900) preußischer Kultusminister mit besonderem Engagement für die Realschulen,,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/weiterfuehrende-allgemeinbildende-schulen/falkschule,falkschule,Frankfurt Schulwegweiser,2026-04-06,262,87.3,1,21,240,112,64,106,23,"2024,2023,2022",Unfallatlas,Hohenstaufenstraße,229.0,50.1109295,8.656764,,Beethovenstraße,277.0,50.1115089,8.6572459,,"U-Bahn (50.1084,8.6625)",318.0,50.1083514,8.6625499,,Hohenstaufenstraße,189.0,50.1107627,8.6577127,,Platz der Republik,198.0,50.1092791,8.6610064,,Güterplatz,225.0,50.1076532,8.6560304,,Platz der Republik,77.0,50.1090982,8.6593202,,Hohenstaufenstraße,163.0,50.110544,8.6578354,,Güterplatz,223.0,50.1077117,8.6559827,,60,179,"64, N8",50.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
,Frankfurt International School,Gymnasium,weiterfuehrende-allgemeinbildende-schulen,"Gymnasium, Weiterführende allgemeinbildende Schule",1-4,An der Waldlust 15,61440,Oberursel,Frankfurt am Main,Hessen,,,,+49 6171 2024480,+49 6171 2024384,tina_awtani@fis.edu,http://www.fis.edu,Private Träger,Frankfurt International School e. V.,,Dr. Paul M. Fochtman,,1780.0,100.0,08:35 bis 15:10 Uhr,,"Angebote für neu aufgenommene Schüler, Förderung der Deutschkenntnisse, Hilfen zur Berufsorientierung, Internationale Ausrichtung, Schwerpunkt Mathematik, Schwerpunkt Musik, Schwerpunkt Kunst, Schwerpunkt Naturwissenschaften, Schwerpunkt Neue Technologien, Schwerpunkt Sport, Schwerpunkt Sprachen",,,Englisch,,Deutsch,"Französisch, Spanisch, Herkunftssprachlicher Unterricht, Japanisch, Koreanisch, Niederländisch, Schwedisch, Bilingual, Englisch",,"Deutsch, Französisch, Spanisch, Herkunftssprachlicher Unterricht, Japanisch, Koreanisch, Niederländisch, Schwedisch, Bilingual, Englisch",,,"AGs am Nachmittag, Ganztägig arbeitende Schule, Ganztagsangebote, Kooperationspartner, Mittagessen, Pausenverkauf",,,,Schülerzeitung,"Die Frankfurt International School ist ein Verein, der 1961 von 4 Elternpaaren in Frankfurt gegründet wurde und nach dem Erwerb eines großen Grundstückes in Oberursel seine Heimat fand.",,,Internationale englischsprachige private Ganztagsschule,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/weiterfuehrende-allgemeinbildende-schulen/frankfurt-international-school,frankfurt-international-school,Frankfurt Schulwegweiser,2026-04-06,262,87.3,1,21,240,112,64,106,23,"2024,2023,2022",Unfallatlas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
,Französische  internationale Schule Lycée Victor Hugo,Grundschule,weiterfuehrende-allgemeinbildende-schulen,"Grundschule, Gymnasium, Weiterführende allgemeinbildende Schule",1-4,Gontardstraße 11,60488,Frankfurt am Main,Frankfurt am Main,Hessen,Praunheim,50.1349768,8.6077897,+49 69 747498113,+49 69 747498142,secretariat@lfvh.net,https://www.lfvh.net/,Private Träger,Agence pour l'enseignement Francais à l'étranger (AEFE),Staatlich anerkannte Ersatzschule,Sylvain Pardo,Nathalie Daniel-Risacher,940.0,45.0,08:00 bis 17:45 Uhr,,"Internationale Ausrichtung, Schwerpunkt Sprachen, Schwerpunkt Mathematik, Schwerpunkt Naturwissenschaften",,,,Englisch,"Englisch, Deutsch","Spanisch, Chinesisch","Chinesisch, Spanisch, weitere Sprachen, Weitere Sprachangebote, Altgriechisch, Latein, Bilingual, Französisch, Deutsch, Überblick Sprachangebot","Englisch, Englisch, Deutsch, Spanisch, Chinesisch, Chinesisch, Spanisch, weitere Sprachen, Weitere Sprachangebote, Altgriechisch, Latein, Bilingual, Französisch, Deutsch, Überblick Sprachangebot",,,"Besondere Leseförderung, Ganztägig arbeitende Schule, Ganztagsangebote, Hausaufgabenhilfe/-betreuung, Kooperationspartner, Mittagessen",,,Union des Parents et Amis du Lycée français Victor Hugo,Schullandheim,,,,Ganztagsschule mit offenem Konzept,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/weiterfuehrende-allgemeinbildende-schulen/franzoesische-schule-lycee-victor-hugo,franzoesische-schule-lycee-victor-hugo,Frankfurt Schulwegweiser,2026-04-06,262,87.3,1,21,240,112,64,106,23,"2024,2023,2022",Unfallatlas,Stephan-Heise-Straße,534.0,50.136283,8.6149963,,Friedhof Westhausen,553.0,50.1388388,8.6126856,,Heerstraße,944.0,50.1434561,8.6083618,,Rebstockbad,2500.0,50.1137127,8.6191804,,An der Dammheide,2574.0,50.11727,8.6310384,,Markus-Krankenhaus,2712.0,50.1366388,8.6457564,,Stephan-Heise-Straße,507.0,50.1366836,8.6143817,,Friedhof Westhausen,523.0,50.138329,8.6129316,,Guerickestraße,622.0,50.1346177,8.5990829,,0,44,,20.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
,Freie Christliche Schule,Realschule,weiterfuehrende-allgemeinbildende-schulen,"Realschule, Gymnasium, Weiterführende allgemeinbildende Schule",1-4,Orber Straße 4,60386,Frankfurt am Main,Frankfurt am Main,Hessen,Fechenheim,50.1263,8.76471,+49 69 4200030,+49 69 42000311,Sekretariat@fcsf.de,http://www.fcsf.de,Private Träger,Freie Christliche Schule Frankfurt e.V.,,Mirjam Hamann,Raphael Zuccarelli,778.0,30.0,08:10 bis 13:15 Uhr,,"Förderung besonderer Begabung, Schüleraustausch / Schulpartnerschaft, Schwerpunkt Naturwissenschaften",,,,,Englisch,"Französisch, Latein, Weitere Sprachangebote, Spanisch",,"Englisch, Französisch, Latein, Weitere Sprachangebote, Spanisch",,,"Hausaufgabenhilfe/-betreuung, Mittagessen, Schüleraustausch",,,Förderverein der Freien Christlichen Schule Frankfurt am Main,Selbstlernzentrum mit integrierter Schülerbibliothek,,,,Staatlich anerkannte Ersatzschule,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/weiterfuehrende-allgemeinbildende-schulen/freie-christliche-schule,freie-christliche-schule,Frankfurt Schulwegweiser,2026-04-06,262,87.3,1,21,240,112,64,106,23,"2024,2023,2022",Unfallatlas,Frankfurt-Mainkur,936.0,50.1345505,8.767312,,Gwinnerstraße,1866.0,50.1336289,8.7411615,,Hessen-Center,1932.0,50.140506,8.7490937,,Alt-Fechenheim,320.0,50.1283828,8.7678036,,Arthur-von-Weinberg-Steg,393.0,50.1250326,8.7698618,,Cassellastraße,515.0,50.1299857,8.7603332,,Jakobsbrunnenstraße,16.0,50.1263386,8.7644875,,Bodenseestraße,218.0,50.1243433,8.7647298,,Max-Eyth-Straße,286.0,50.12413,8.7625657,,30,93,,50.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
