schulnummer,schulname,school_type,schulkategorie,schulform_raw,klassenstufe,strasse,plz,ort,stadt,bundesland,ortsteil,latitude,longitude,telefon,fax,email,website,traegerschaft,traeger_name,form_der_privatschule,schulleitung,stv_schulleitung,schueler_gesamt,klassenzahl,unterrichtszeit,unterrichtszeit_erlaeuterung,profile,sonstige_profile,foerderschwerpunkt,unterrichtssprache,fruehe_fremdsprache,erste_fremdsprache,zweite_fremdsprache,dritte_fremdsprache,sprachen,art_des_angebots,ganztagsform,besonderheiten,besonderheiten_erlaeuterung,auszeichnungen,foerderverein,schulbibliothek,namensgebung,berufsbereiche,ausbildungsberufe,schulform_bemerkung,ndh_count,sw_portal_url,sw_portal_slug,data_source,data_retrieved,traffic_accidents_total,traffic_accidents_per_year,traffic_accidents_fatal,traffic_accidents_serious,traffic_accidents_minor,traffic_accidents_bicycle,traffic_accidents_pedestrian,traffic_accidents_school_hours,traffic_nearest_accident_m,traffic_data_years,traffic_data_source,transit_rail_01_name,transit_rail_01_distance_m,transit_rail_01_latitude,transit_rail_01_longitude,transit_rail_01_lines,transit_rail_02_name,transit_rail_02_distance_m,transit_rail_02_latitude,transit_rail_02_longitude,transit_rail_02_lines,transit_rail_03_name,transit_rail_03_distance_m,transit_rail_03_latitude,transit_rail_03_longitude,transit_rail_03_lines,transit_tram_01_name,transit_tram_01_distance_m,transit_tram_01_latitude,transit_tram_01_longitude,transit_tram_01_lines,transit_tram_02_name,transit_tram_02_distance_m,transit_tram_02_latitude,transit_tram_02_longitude,transit_tram_02_lines,transit_tram_03_name,transit_tram_03_distance_m,transit_tram_03_latitude,transit_tram_03_longitude,transit_tram_03_lines,transit_bus_01_name,transit_bus_01_distance_m,transit_bus_01_latitude,transit_bus_01_longitude,transit_bus_01_lines,transit_bus_02_name,transit_bus_02_distance_m,transit_bus_02_latitude,transit_bus_02_longitude,transit_bus_02_lines,transit_bus_03_name,transit_bus_03_distance_m,transit_bus_03_latitude,transit_bus_03_longitude,transit_bus_03_lines,transit_stops_500m,transit_stop_count_1000m,transit_all_lines_1000m,transit_accessibility_score,crime_stadt,crime_bezirk,crime_bezirk_population,crime_bezirk_index,crime_haeufigkeitszahl_2023,crime_aufklaerungsquote_2023,crime_straftaten_2023,crime_strassenraub_2023,crime_koerperverletzung_2023,crime_diebstahl_fahrrad_2023,crime_wohnungseinbruch_2023,crime_straftaten_2023_rate_per_100k,crime_strassenraub_2023_rate_per_100k,crime_koerperverletzung_2023_rate_per_100k,crime_diebstahl_fahrrad_2023_rate_per_100k,crime_wohnungseinbruch_2023_rate_per_100k,crime_data_source
,Berthold-Otto-Schule,Grundschule,grundschulen,Grundschule,1-4,Kiefernstraße 18a,65933,Frankfurt am Main,Frankfurt am Main,Hessen,Griesheim,50.0997,8.60645,+49 69 212 33901,+49 69 212 42626,poststelle.berthold-otto-schule@stadt-frankfurt.de,,Stadt Frankfurt am Main,,,Carola Rasch-Hegelund,,280.0,13.0,08:15 bis 13:30 Uhr,,,,,Deutsch,"Englisch, Herkunftssprachlicher Unterricht, Arabisch, Türkisch, Erläuterung der Sprachangebote",,,,"Englisch, Herkunftssprachlicher Unterricht, Arabisch, Türkisch, Erläuterung der Sprachangebote",Ganztagsangebote,Schule mit Frühbetreuung,"Förderung der Deutschkenntnisse, Ganztagsangebote, Gewaltprävention, Jugendhilfeangebot, Kooperationspartner, Mittagessen",,,,Schullandheim,"Berthold Otto (1859-1933) Reformpädagoge, gründete 1911 eine eigene Gesamtschule",,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/berthold-otto-schule,berthold-otto-schule,Frankfurt Schulwegweiser,2026-04-06,39,13.0,0,6,33,6,5,27,79,"2024,2023,2022",Unfallatlas,Griesheim,596.0,50.094362,8.6056814,,Nied,2516.0,50.1023216,8.5714188,,Frankfurt (Main) Galluswarte,2759.0,50.1043873,8.6444435,,Waldschulstraße,164.0,50.1002386,8.6043118,,Linnegraben,694.0,50.1001906,8.5967462,,Mönchhofstraße,821.0,50.1005288,8.6178891,,Waldschulstraße,150.0,50.1001115,8.6044529,,Platanenstraße,210.0,50.09781,8.6063392,,Bingelsweg,267.0,50.1009557,8.6032525,,30,80,,50.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
,Boehleschule,Grundschule,grundschulen,Grundschule,1-4,Jungmannstraße 3-5,65933,Frankfurt am Main,Frankfurt am Main,Hessen,Griesheim,50.0919,8.60541,+49 69 212 42670,+49 69 212 42709,poststelle.boehleschule@stadt-frankfurt.de,,Stadt Frankfurt am Main,,,Marina Eckert,Stefanie Stromberger,292.0,12.0,siehe Erläuterung der Unterrichtszeit,,,,,Deutsch,"Englisch, Herkunftssprachlicher Unterricht, Türkisch",,,,"Englisch, Herkunftssprachlicher Unterricht, Türkisch",Ganztagsangebote,Schule mit Frühbetreuung,"AGs am Nachmittag, Ganztagsangebote, Jugendhilfeangebot",,,"""Förderverein der Boehleschule e.V."", Ansprechpartnerin: Carmen Wildtraut",Öffnungszeiten: täglich von 09:30 - 10:00 Uhr,"Fritz Boehle (1873-1916), Maler",,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/boehleschule,boehleschule,Frankfurt Schulwegweiser,2026-04-06,39,13.0,0,6,33,6,5,27,79,"2024,2023,2022",Unfallatlas,Griesheim,274.0,50.094362,8.6056814,,Frankfurt-Niederrad,2586.0,50.0807744,8.6372448,,Nied,2687.0,50.1023216,8.5714188,,Waldschulstraße,931.0,50.1002386,8.6043118,,Linnegraben,1110.0,50.1001906,8.5967462,,Mönchhofstraße,1309.0,50.1005288,8.6178891,,Jungmannstraße,104.0,50.0909618,8.6054458,,Alte Falterstraße,145.0,50.0911656,8.6070817,,Griesheim Bahnhof,238.0,50.0939716,8.6062376,,29,72,,50.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
,Bonifatiusschule,Grundschule,grundschulen,Grundschule,1-4,Hamburger Allee 43,60486,Frankfurt am Main,Frankfurt am Main,Hessen,Bockenheim,50.1152,8.64761,+49 69 212 33527,,poststelle.bonifatiusschule@stadt-frankfurt.de,http://www.bonifatiusschule-frankfurt.de,Stadt Frankfurt am Main,,,Isabella Eberz-Leuschner,,264.0,12.0,08:00 bis 13:30 Uhr,,,,,Deutsch,"Englisch, Herkunftssprachlicher Unterricht, Türkisch",,,,"Englisch, Herkunftssprachlicher Unterricht, Türkisch",Ganztagsangebote,Schule mit Frühbetreuung,"AGs am Nachmittag, Besondere Leseförderung, Förderung besonderer Begabung, Förderung der Deutschkenntnisse, Ganztagsangebote, Gewaltprävention, Jugendhilfeangebot, Kooperationspartner",,"Schule der Nachhaltigkeit, Musikalische Grundschule","""Förderverein der Bonifatiusschule e.V."", Ansprechpartner/in: Frau Verheyen","Öffnungszeiten: Täglich in der 1. Pause und nach Absprache. Vorlesestunden, Autorenlesungen, Monatsrätsel. Von der Stadtbücherei aufgebaut und organisiert.","St. Bonifatius (672-754) kath. Heiliger, Missionar",,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/bonifatiusschule,bonifatiusschule,Frankfurt Schulwegweiser,2026-04-06,39,13.0,0,6,33,6,5,27,79,"2024,2023,2022",Unfallatlas,Frankfurt am Main Messe,467.0,50.1119428,8.6434702,,Universität;Senckenberganlage;Senckenbergmuseum,513.0,50.1183099,8.6529162,,Senckenberganlage;Dantestraße,550.0,50.1181562,8.6537943,,Varrentrappstraße,25.0,50.1153189,8.6473106,,Ludwig-Erhard-Anlage,219.0,50.1140988,8.6501592,,Nauheimer Straße,323.0,50.116871,8.6439062,,Varrentrappstraße,138.0,50.1162616,8.6466016,,Ludwig-Erhard-Anlage,197.0,50.1137856,8.649267,,Emser Straße,322.0,50.1142449,8.6433469,,22,134,"32, 36, 73, M36, N7",60.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
,Brentanoschule,Grundschule,grundschulen,Grundschule,1-4,Biedenkopfer Weg 33,60489,Frankfurt am Main,Frankfurt am Main,Hessen,Rödelheim,50.1207,8.60364,+49 69 212 42713,,poststelle.brentanoschule@stadt-frankfurt.de,https://www.brentanoschule-frankfurt.de/,Stadt Frankfurt am Main,,,Konstanze Kutschera,,230.0,10.0,08:00 bis 13:30 Uhr,,"Flexibler Schulanfang, Schwerpunkt Musik, Schwerpunkte:, Flexibler Schulanfang:",,,Deutsch,"Englisch, Herkunftssprachlicher Unterricht, Türkisch",,,,"Englisch, Herkunftssprachlicher Unterricht, Türkisch",Ganztagsangebote,Schule mit Frühbetreuung,"AGs am Nachmittag, Besondere Leseförderung, Förderung der Deutschkenntnisse, Ganztagsangebote, Jugendhilfeangebot, Kooperationspartner",,"""Gesundheitsfördernde Schule"", ""Musikalische Grundschule"" und Zertifikat ""Schule und Gesundheit""","""Förderverein der Brentanoschule"", Ansprechpartnerin: Frau Neubert (Schulsekretärin), brentanoschule@t-online.de",Von der Stadtbücherei aufgebaut und organisiert. Öffnungszeiten: dienstags und donnerstags 08:45 - 12:30 Uhr. Wöchentliche feste Büchereistunde für jede Klasse.,"Nach der Familie von Brentano, Frankfurter Patrizierfamilie",,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/brentanoschule,brentanoschule,Frankfurt Schulwegweiser,2026-04-06,39,13.0,0,6,33,6,5,27,79,"2024,2023,2022",Unfallatlas,Frankfurt-Rödelheim,514.0,50.1247899,8.6070103,,Hausener Weg,1659.0,50.131425,8.6198226,,Fischstein,1814.0,50.1293756,8.6251947,,Rebstockbad,1353.0,50.1137127,8.6191804,,Leonardo-da-Vinci-Allee,1845.0,50.1134821,8.6269473,,An der Dammheide,1990.0,50.11727,8.6310384,,In der Au,319.0,50.1223902,8.6000297,,Rödelheim Bahnhof,395.0,50.1236903,8.6066393,,Kirschbaumweg,628.0,50.1262611,8.6051609,,18,43,,50.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
,Comeniusschule,Grundschule,grundschulen,Grundschule,1-4,Burgstraße 59,60389,Frankfurt am Main,Frankfurt am Main,Hessen,Nordend,50.1239,8.6962,+49 69 212 33484,+49 69 212 36612,poststelle.comeniusschule@stadt-frankfurt.de,http://www.comeniusschule-frankfurt.de,Stadt Frankfurt am Main,,,Christian Uhling-Neumann,Denise Emmerich,387.0,18.0,siehe Erläuterung der Unterrichtszeit,,"Schwerpunkt Musik, Schwerpunkt Musik",,,Deutsch,"Englisch, Herkunftssprachlicher Unterricht, Arabisch, Türkisch",,,,"Englisch, Herkunftssprachlicher Unterricht, Arabisch, Türkisch",Ganztagsangebote,,"AGs am Nachmittag, Besondere Leseförderung, Förderung der Deutschkenntnisse, Ganztagsangebote, Gewaltprävention, Hausaufgabenhilfe/-betreuung, Kooperationspartner",,"""Umweltschule"" und ""Musikalische Grundschule""","""Freunde und Förderer der Comeniusschule e.V.""",Täglich von 09:00 - 11:00 Uhr. Eltern arbeiten ehrenamtlich in unserer Bücherei. Kinder leihen in dieser Zeit Bücher aus.,"Johann Amos Comenius (1592-1670), Pädagoge",,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/comeniusschule,comeniusschule,Frankfurt Schulwegweiser,2026-04-06,39,13.0,0,6,33,6,5,27,79,"2024,2023,2022",Unfallatlas,"Berger Straße, Habsburgerallee",369.0,50.1227393,8.7010445,,Höhenstraße,379.0,50.1228696,8.7012626,,"Berger Straße, Merianplatz, Kantstraße, Mousonturm",388.0,50.1204126,8.6960549,,Friedberger Platz,319.0,50.1238054,8.691725,,Matthias-Beltz-Platz,423.0,50.1265694,8.691974,,Rothschildallee,457.0,50.127753,8.6939571,,Friedberger Platz,317.0,50.1238039,8.6917524,,Günthersburgallee,329.0,50.1267515,8.6974506,,Höhenstraße,376.0,50.1232403,8.7013777,,24,127,"32, 34, 36, 38, 43, OF-103, n4",50.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
,Dahlmannschule,Grundschule,grundschulen,Grundschule,1-4,Luxemburgerallee 24,60385,Frankfurt am Main,Frankfurt am Main,Hessen,Ostend,50.1189,8.71197,+49 69 212 35278,+49 69 212 31190,poststelle.dahlmannschule@stadt-frankfurt.de,http://dahlmannschule-frankfurt.de/,Stadt Frankfurt am Main,Stadt Frankfurt am Main,,Heike Talberg,Frau Pohl,405.0,18.0,8:15 Uhr bis 14:15 Uhr,,"Schwerpunkt Sport, Schwerpunkt Musik",,,Deutsch,Englisch,,,,Englisch,Ganztagsangebote,Schule mit Frühbetreuung,"AGs am Nachmittag, Förderung der Deutschkenntnisse, Ganztagsangebote, Gewaltprävention, Kooperationspartner, Pausenverkauf",,,"""Förderverein Verein der Freunde und Förderer der Dahlmannschule"", Ansprechpartner/in: Frau Sabine Beck, Frau Petra Schmidt, FV.Dahlmannschule@gmx.de",Schülerzeitung,Friedrich Christoph Dahlmann (1785-1860) Historiker und Politiker. Mitglied der Frankfurter Nationalversammlung 1848,,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/dahlmannschule,dahlmannschule,Frankfurt Schulwegweiser,2026-04-06,39,13.0,0,6,33,6,5,27,79,"2024,2023,2022",Unfallatlas,"Luxemburgerallee, Rhönstraße",69.0,50.1194635,8.7123707,,"U-Bahn (50.1197,8.7128)",113.0,50.1197491,8.7128498,,Parlamentsplatz,172.0,50.120065,8.7135633,,Freiligrathstraße,375.0,50.1219778,8.7098076,,Habsburger-/Wittelsbacherallee,460.0,50.120346,8.705918,,Saalburg-/Wittelsbacherallee,588.0,50.1241594,8.7128602,,Habsburgerallee,305.0,50.118007,8.7079186,,Freiligrathstraße,387.0,50.1222959,8.7107659,,Habsburger-/Wittelsbacherallee,456.0,50.1201983,8.7058982,,26,131,"38, OF-103, n5",50.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
,Diesterwegschule,Grundschule,grundschulen,Grundschule,1-4,Ginnheimer Waldgasse 30,60431,Frankfurt am Main,Frankfurt am Main,Hessen,Ginnheim,50.1455,8.65083,+49 69 212 42881,+49 69 212 42805,poststelle.diesterwegschule@stadt-frankfurt.de,http://www.diesterwegschule-frankfurt.de,Stadt Frankfurt am Main,,,Christiane Wieler,,380.0,19.0,08:00 bis 13:15 Uhr,,"Schwerpunkt Musik, Schwerpunkt Musik",,,Deutsch,"Französisch, Herkunftssprachlicher Unterricht, Türkisch",,,,"Französisch, Herkunftssprachlicher Unterricht, Türkisch",Ganztagsangebote,Schule mit Frühbetreuung,"AGs am Nachmittag, Förderung der Deutschkenntnisse, Ganztagsangebote, Jugendhilfeangebot",,,"""Förderverein der Diesterwegschule e.V."", Ansprechpartner: Vorsitzender Herr Martin Richter","Öffnungszeiten: Tägliche Ausleihe in den Pausen, feste Büchereistunden für die Klassen. Konzept: Projekte, Lesungen, Vorlesetag. Von der Stadtbücherei aufgebaut und organisiert.",Adolf Diesterweg (1790-1866) Pädagoge und Schulpolitiker,,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/diesterwegschule,diesterwegschule,Frankfurt Schulwegweiser,2026-04-06,39,13.0,0,6,33,6,5,27,79,"2024,2023,2022",Unfallatlas,Frankfurt-Ginnheim,605.0,50.1431449,8.6431785,,Ginnheim/Niddapark,636.0,50.1432467,8.6426292,,Ginnheim Mitte,651.0,50.1403245,8.6465665,,Ginnheim Mitte,661.0,50.1402029,8.6466334,,Markus-Krankenhaus,1048.0,50.1366419,8.6457914,,Frauenfriedenskirche,1881.0,50.1288186,8.646436,,Am Mühlgarten,100.0,50.1446324,8.6504794,,Kurhessenstraße,239.0,50.1449173,8.6540609,,Füllerstraße,309.0,50.1432155,8.6483666,,23,58,,50.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
,Ebelfeldschule,Grundschule,grundschulen,Grundschule,1-4,Praunheimer Hohl 4,60488,Frankfurt am Main,Frankfurt am Main,Hessen,Praunheim,50.1412,8.61348,+49 69 212 35598,+49 69 212 30195,poststelle.ebelfeldschule@stadt-frankfurt.de,www.ebelfeldschule.de,Stadt Frankfurt am Main,,,Petra Eichner,Frau Köhler,420.0,14.0,07:55 Uhr bis 13:15 Uhr,,"Schwerpunkt Naturwissenschaften, Schwerpunkt Naturwissenschaften",,,Deutsch,"Englisch, Herkunftssprachlicher Unterricht, Türkisch",,,,"Englisch, Herkunftssprachlicher Unterricht, Türkisch",Ganztagsangebote,Schule mit Frühbetreuung,"Ganztagsangebote, Jugendhilfeangebot, Mittagessen",,,"""Förderverein Ebelfeldschule e.V."", Ansprechpartnerin: Frau Dr. Schmidt",,Benannt nach den geographischen Gegebenheiten (eine Erhebung an der Nidda namens Ebel),,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/ebelfeldschule,ebelfeldschule,Frankfurt Schulwegweiser,2026-04-06,39,13.0,0,6,33,6,5,27,79,"2024,2023,2022",Unfallatlas,Friedhof Westhausen,269.0,50.1388388,8.6126856,,Heerstraße,443.0,50.1434561,8.6083618,,Stephan-Heise-Straße,557.0,50.136283,8.6149963,,Markus-Krankenhaus,2356.0,50.1366388,8.6457564,,Ginnheim Mitte,2364.0,50.1401805,8.6466127,,Frauenfriedenskirche,2723.0,50.1288186,8.646436,,Friedhof Westhausen,187.0,50.1397813,8.6120771,,Gymnasium Westhausen,272.0,50.1406303,8.6097667,,Heerstraße,342.0,50.1426942,8.6092898,,14,45,,50.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
,Eichendorffschule,Grundschule,grundschulen,Grundschule,1-4,Waldschulstraße 83,65933,Frankfurt am Main,Frankfurt am Main,Hessen,Griesheim,50.1033,8.60205,+49 69 212 43113,+49 69 212 42912,poststelle.eichendorffschule@stadt-frankfurt.de,,Stadt Frankfurt am Main,,,Frau Stemmer,Bettina Wetzel,290.0,13.0,08:00 bis 13:15 Uhr,,,,,Deutsch,Englisch,,,,Englisch,Ganztagsangebote,Schule mit Frühbetreuung,"AGs am Nachmittag, Besondere Leseförderung, Förderung der Deutschkenntnisse, Ganztagsangebote, Jugendhilfeangebot, Kooperationspartner",,"""Gesundheitsfördernde Schule""","""Freunde und Förderer der Eichendorffschule (FFE)"", Ansprechpartnerin: Vorsitzende: Frau Özlem Baysal",Schulzeitung,Josef Freiherr von Eichendorff (10.03.1788 - 26.11.1857) Dichter,,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/eichendorffschule,eichendorffschule,Frankfurt Schulwegweiser,2026-04-06,39,13.0,0,6,33,6,5,27,79,"2024,2023,2022",Unfallatlas,Griesheim,1027.0,50.094362,8.6056814,,Nied,2187.0,50.1023216,8.5714188,,Frankfurt-Rödelheim,2416.0,50.1247899,8.6070103,,Waldschulstraße,364.0,50.1002669,8.6039626,,Linnegraben,512.0,50.1001906,8.5967462,,Jägerallee,888.0,50.100135,8.5906157,,Heinrich-Hardt-Straße,38.0,50.1034352,8.6025431,,Bingelsweg,228.0,50.1013513,8.6030622,,Lindenhag,340.0,50.1063006,8.6011213,,26,74,,50.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
,Elsa-Brändström-Schule,Grundschule,grundschulen,Grundschule,1-4,Lindenstraße 2,60325,Frankfurt am Main,Frankfurt am Main,Hessen,Westend,50.1152,8.661,Sekretariat Frau Petra Schröder,,poststelle.elsa-braendstroem-schule@stadt-frankfurt.de,http://www.ebs-ffm.de/,Stadt Frankfurt am Main,,,Thorsten Kübert,Liz Beutel,341.0,14.0,08:00 bis 13:10 Uhr,,"Schwerpunkt Kunst, Schwerpunkt Musik, Schwerpunkt Neue Technologien, Schwerpunkte",,,Deutsch,Englisch,,,,Englisch,Ganztagsangebote,Schule mit Frühbetreuung,"AGs am Nachmittag, Besondere Leseförderung, Förderung der Deutschkenntnisse, Ganztagsangebote, Gewaltprävention",,,"""Freunde und Förderer der Elsa-Brändström-Schule e.V."", Ansprechpartner/in: Frau Filippi (1. Vorsitzende)",Öffnungszeiten: Mo. bis Fr. zwischen 07:45 bis 08:00 Uhr Frühausleihe. Jede Klasse besucht 14-tägig während einer Deutschstunde im Klassenverband die Bücherei und führt eine Lesezeit mit Ausleihmöglichkeit durch. Von der Stadtbücherei aufgebaut und organisiert,"Elsa Brändström (1888-1948) als ""Engel von Sibirien"" bekannt, setzte sich für Kriegsgefangene des ersten Weltkrieges in russischen Lagern ein",,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/elsa-braendstroem-schule,elsa-braendstroem-schule,Frankfurt Schulwegweiser,2026-04-06,39,13.0,0,6,33,6,5,27,79,"2024,2023,2022",Unfallatlas,Feuerbachstraße,345.0,50.1179803,8.6631555,,Westend,349.0,50.118164,8.6625889,,Freiherr-vom-Stein-Straße,365.0,50.1181243,8.6633367,,Hohenstaufenstraße,540.0,50.1109059,8.6574625,,Festhalle/Messe,572.0,50.1121827,8.654498,,Platz der Republik,658.0,50.1092791,8.6610064,,Kettenhofweg,222.0,50.1161755,8.6582852,,Bettinaplatz,327.0,50.1139756,8.6568336,,Westend,348.0,50.118035,8.6630648,M36;N7,26,177,"64, M36, N7",50.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
,Emma-Kann-Grundschule,Grundschule,grundschulen,Grundschule,1-4,Maastrichter Ring 4,60486,Frankfurt am Main,Frankfurt am Main,Hessen,Gallus,50.1089689,8.6282704,+49 69 212 70935,+49 69 212 34389,poststelle.emma-kann-grundschule@stadt-frankfurt.de,https://www.emma-kann-grundschule.de/,Stadt Frankfurt am Main,,,Frau Soo-Young Hirsch-Yun,,,,07:30 bis max. 17:00 Uhr (Erweiterte Schulische Betreuung),,,,,Deutsch,,,,,,,Schule mit Frühbetreuung,,,,,Von der Stadtbücherei aufgebaut und organisiert.,"Emma Kann (1914-2009), deutsche Lyrikerin und Essayistin",,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/emma-kann-grundschule,emma-kann-grundschule,Frankfurt Schulwegweiser,2026-04-06,39,13.0,0,6,33,6,5,27,79,"2024,2023,2022",Unfallatlas,Frankfurt am Main Messe,1133.0,50.1119428,8.6434702,,Frankfurt (Main) Galluswarte,1261.0,50.1043873,8.6444435,,Frankfurt (Main) West,1388.0,50.1194076,8.638936,,Leonardo-da-Vinci-Allee,508.0,50.1134576,8.6269292,,Rebstöcker Straße,820.0,50.1016199,8.6291363,,Rebstockbad,824.0,50.1136503,8.619313,,Maastrichter Ring,53.0,50.108512,8.6280721,,Messeparkhaus Rebstock,272.0,50.109745,8.6246489,,Römischer Ring,313.0,50.1087084,8.6326417,,25,95,,50.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
,Engelbert-Humperdinck-Schule,Grundschule,grundschulen,Grundschule,1-4,Wolfsgangstraße 106,60322,Frankfurt am Main,Frankfurt am Main,Hessen,Westend,50.1238,8.67077,+49 69 212 35137,+49 69 212 38214,poststelle.engelbert-humperdinck-schule@stadt-frankfurt.de,http://www.ehs-frankfurt.de,Stadt Frankfurt am Main,,,Manuela Remke,Angela Wanke,348.0,16.0,08:30 bis 13:45 Uhr,,"Schwerpunkt Kunst, Schwerpunkt Mathematik, Schwerpunkt Musik, Schwerpunkt Naturwissenschaften, Schwerpunkt Neue Technologien, Schwerpunkt Sprachen, Schwerpunkte",,,Deutsch,Englisch,,,,Englisch,Ganztagsangebote,Schule mit Frühbetreuung,"AGs am Nachmittag, Besondere Leseförderung, Förderung der Deutschkenntnisse, Ganztagsangebote, Gewaltprävention, Kooperationspartner, Mittagessen",,,"""Freunde und Förderer der Engelbert-Humperdinck-Schule"", Ansprechpartner: Herr Dr. Schwarz",Schüleraustausch,Engelbert Humperdinck (1854-1921) Komponist,,,Schule mit Ganztagsangeboten,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/engelbert-humperdinck-schule,engelbert-humperdinck-schule,Frankfurt Schulwegweiser,2026-04-06,39,13.0,0,6,33,6,5,27,79,"2024,2023,2022",Unfallatlas,Holzhausenstraße,369.0,50.1265229,8.6737247,,"U-Bahn (50.1219,8.6756)",401.0,50.121929,8.6755721,,Grüneburgweg,410.0,50.1219063,8.6757021,,Hessendenkmal,1424.0,50.1186272,8.6890393,,Bockenheimer Warte,1465.0,50.1208587,8.6507444,,Friedberger Platz,1488.0,50.1229292,8.6915958,,Bremer Platz,73.0,50.1240064,8.6698039,,Uni Campus Westend,174.0,50.1240754,8.668373,,Lessing-Gymnasium,204.0,50.1249173,8.6730476,,51,142,"36, M36, N7",50.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
,Erasmus Frankfurter Stadtschule (Grundschule),Grundschule,grundschulen,"Grundschule, Gymnasium",1 bis 4,Sonnemannstraße 9-11,60314,Frankfurt am Main,Frankfurt am Main,Hessen,Ostend,50.1100273,8.6973096,+49 69 90743640,+49 69 907436412,info@erasmus-schule.eu,http://www.erasmus-schule.eu,Private Träger,siehe Erläuterung der Trägerschaft,Staatlich genehmigte Ersatzschule,Angela Drissler-Dietzel,,350.0,15.0,08:30 bis 16:00 Uhr,,Schwerpunkt Sprachen,,,Bilingual Deutsch/Englisch,,"Englisch, Spanisch, Bilingual, Englisch, Spanisch",,,"Englisch, Spanisch, Bilingual, Englisch, Spanisch",Ganztagsangebote,,"AGs am Nachmittag, Ganztägig arbeitende Schule, Mittagessen",,,"""EAP Elternverein am Palmengarten"", www.elternvereinampalmengarten.de",mehrsprachige Schulbücherei,Erasmus von Rotterdam,,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/erasmus-frankfurter-stadtschule,erasmus-frankfurter-stadtschule,Frankfurt Schulwegweiser,2026-04-06,39,13.0,0,6,33,6,5,27,79,"2024,2023,2022",Unfallatlas,Ostendstraße; Europäische Zentralbank (ECB),131.0,50.1111515,8.6978556,,Ostendstraße; ECB,161.0,50.1113552,8.6982152,,Ostendstraße,277.0,50.1125091,8.6970061,,Hospital zum Heiligen Geist,331.0,50.1105492,8.6927342,14;18,Ostendstraße,362.0,50.1132808,8.6971192,,Zobelstraße,425.0,50.1129116,8.7012279,,Ostendstraße,343.0,50.113072,8.6980412,,Zobelstraße,397.0,50.1128393,8.7007318,,Allerheiligentor,430.0,50.113221,8.6938983,,30,188,"14, 18, n72",50.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
