Schul-nummer,Landkreis,Gemeinde,rechtsform,gesamtschultyp,schulname,plz,ort,strasse,Telefon- vorwahl,Telefon-nummer,Kennung Internat,Vorklassen,Grundschulen,davon an_Eingangsstufe,Grundschule (inkl. GFLX),Förderstufe,Hauptschule,Mittelstufen-schule,Realschule,gesamtschultyp.1,Gymnasien,davon an_Gymnasien (Mittelstufe),Gymnasien (Oberstufe),Förderschulen,Förderschule mit Förderschwerpunkt_Sehen,emotionale und soziale Entwicklung,Hören,körperliche und motorische Entwicklung,Kranke,Lernen,Sprachheil-förderung,geistige Entwicklung,Realschul-klassen,Nichtdeutscher Herkunfts- sprache,Schulen für Erwachsene,davon an_Abend-hauptschule,Abend-realschule,Abend-gymnasium,Kolleg,Schülerinnen und Schüler insgesamt mit Vorklassen,Schülerinnen und Schüler insgesamt ohne Vorklassen,fax,email,traegerschaft,schueler_gesamt,ndh_count,school_type,stadt,bundesland,data_source,data_retrieved,latitude,longitude,traffic_accidents_total,traffic_accidents_per_year,traffic_accidents_fatal,traffic_accidents_serious,traffic_accidents_minor,traffic_accidents_bicycle,traffic_accidents_pedestrian,traffic_accidents_school_hours,traffic_nearest_accident_m,traffic_data_years,traffic_data_source
3138,412,0,1,,Eichendorffschule,65933,Frankfurt am Main,Waldschulstraße 83,69,21243113,,,242,,242,,,,,,,,,,,,,,,,,,,12.0,,,,,,254,254,21242912,poststelle@eichendorffschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,254,12.0,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1033,8.60205,51,17.0,0,5,46,11,12,32,83,"2024,2023,2022",Unfallatlas
3148,412,0,1,,Mühlbergschule,60599,Frankfurt am Main,Lettigkautweg 8,69,21245579,,,399,,399,,,,,,,,,,,,,,,,,,,11.0,,,,,,410,410,21245568,poststelle@muehlbergschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,410,11.0,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.0982,8.70286,17,5.7,0,0,17,6,1,13,164,"2024,2023,2022",Unfallatlas
3149,412,0,1,,Römerstadtschule,60439,Frankfurt am Main,In der Römerstadt 120 E,69,21234978,,,370,,370,,,,,,,,,,,,,,,,,,,,,,,,,370,370,21232009,poststelle@roemerstadtschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,370,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.154,8.63315,43,14.3,1,5,37,10,5,26,113,"2024,2023,2022",Unfallatlas
3150,412,0,1,,Schwarzburgschule,60318,Frankfurt am Main,Lenaustraße 81,69,21233940,,,284,,284,,,,,,,,,,,,,,,,,,,,,,,,,284,284,21230750,poststelle@schwarzburgschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,284,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1265,8.68983,139,46.3,0,18,121,59,10,67,72,"2024,2023,2022",Unfallatlas
3151,412,0,1,,Textorschule,60594,Frankfurt am Main,Oppenheimer Landstraße 15,69,21241161,,,404,,404,,,,,,,,,,,,,,,,,,,11.0,,,,,,415,415,21239598,poststelle@textorschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,415,11.0,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1027,8.6817,133,44.3,0,14,119,59,27,61,90,"2024,2023,2022",Unfallatlas
3152,412,0,1,,Theobald-Ziegler-Schule,60435,Frankfurt am Main,Theobald-Ziegler-Straße 10,69,21238755,,13.0,314,,314,,,,,,,,,,,,,,,,,,,,,,,,,327,314,21230706,poststelle@theobald-ziegler-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,314,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1481,8.69085,33,11.0,0,8,25,11,7,14,13,"2024,2023,2022",Unfallatlas
3153,412,0,1,,Willemerschule,60594,Frankfurt am Main,Willemerstraße 12,69,21233529,,,336,,336,,,,,,,,,,,,,,,,,,,13.0,,,,,,349,349,21238523,poststelle@willemerschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,349,13.0,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.104,8.69286,136,45.3,0,21,115,55,29,64,45,"2024,2023,2022",Unfallatlas
3154,412,0,1,,Zentgrafenschule,60389,Frankfurt am Main,Wilhelmshöher Straße 124,69,21274050,,17.0,307,,307,,,,,,,,,,,,,,,,,,,,,,,,,324,307,21245632,poststelle@zentgrafenschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,307,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.143,8.72667,20,6.7,0,3,17,9,2,6,49,"2024,2023,2022",Unfallatlas
3155,412,0,1,,Erich Kästner Schule,60439,Frankfurt am Main,Praunheimer Weg 44,69,21234515,,26.0,449,,449,,,,,,,,,,,,,,,,,,,11.0,,,,,,486,460,21232744,poststelle@erich-kaestner-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,460,11.0,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1615,8.62122,16,5.3,0,5,11,8,3,8,51,"2024,2023,2022",Unfallatlas
3156,412,0,1,,Brentanoschule,60489,Frankfurt am Main,Biedenkopfer Weg 33,69,21242713,,,189,,189,,,,,,,,,,,,,,,,,,,28.0,,,,,,217,217,21242770,poststelle@brentanoschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,217,28.0,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1207,8.60364,6,2.0,0,0,6,5,1,4,257,"2024,2023,2022",Unfallatlas
3158,412,0,1,,Ludwig-Weber-Schule,65931,Frankfurt am Main,Paul-Kirchhof-Platz 13,69,21245465,,,214,84.0,130,,,,,,,,,,,,,,,,,,,,,,,,,214,214,21245476,poststelle@ludwig-weber-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,214,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.0879,8.50674,11,3.7,0,3,8,3,5,5,104,"2024,2023,2022",Unfallatlas
3159,412,0,1,,Heinrich-Seliger-Schule,60320,Frankfurt am Main,Mierendorffstraße 8,69,21235332,,12.0,395,,395,,,,,,,,,,,,,,,,,,,,,,,,,407,395,21232733,poststelle@heinrich-seliger-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,395,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.141,8.67439,75,25.0,1,10,64,35,12,47,56,"2024,2023,2022",Unfallatlas
3160,412,0,1,,Hellerhofschule,60326,Frankfurt am Main,Idsteiner Straße 47,69,21235301,,22.0,310,,310,,,,,,,,,,,,,,,,,,,35.0,,,,,,367,345,21235211,poststelle@hellerhofschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,345,35.0,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1052,8.63372,74,24.7,0,4,70,21,18,33,67,"2024,2023,2022",Unfallatlas
3161,412,0,1,,Kirchnerschule,60385,Frankfurt am Main,Berger Straße 268,69,21235293,,,421,,421,,,,,,,,,,,,,,,,,,,,,,,,,421,421,21237603,poststelle@kirchnerschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,421,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1289,8.71214,73,24.3,1,8,64,38,17,41,89,"2024,2023,2022",Unfallatlas
3162,412,0,1,,Liebfrauenschule,60313,Frankfurt am Main,Schäfergasse 23,69,21235162,,14.0,363,,363,,,,,,,,,,,,,,,,,,,,,,,,,377,363,21231441,poststelle@liebfrauenschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,363,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1158,8.68464,262,87.3,1,21,240,112,64,106,23,"2024,2023,2022",Unfallatlas
3163,412,0,1,,Linnéschule,60385,Frankfurt am Main,Linnestraße 18 - 20,69,21235275,,,347,38.0,309,,,,,,,,,,,,,,,,,,,11.0,,,,,,358,358,21230390,poststelle@linneschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,358,11.0,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1218,8.70664,75,25.0,0,9,66,34,15,41,134,"2024,2023,2022",Unfallatlas
3164,412,0,1,,Merianschule,60316,Frankfurt am Main,Burgstraße 21,69,21234479,,,305,,305,,,,,,,,,,,,,,,,,,,11.0,,,,,,316,316,21239851,poststelle@merianschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,316,11.0,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1238,8.69625,143,47.7,0,24,119,72,18,67,141,"2024,2023,2022",Unfallatlas
3165,412,0,1,,Albrecht-Dürer-Schule,65936,Frankfurt am Main,Sossenheimer Riedstraße 13,69,21231662,,12.0,351,,351,,,,,,,,,,,,,,,,,,,13.0,,,,,,376,364,21236718,poststelle@albrecht-duerer-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,364,13.0,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.121,8.57014,20,6.7,0,1,19,7,0,12,65,"2024,2023,2022",Unfallatlas
3166,412,0,1,,Berkersheimer Grundschule,60435,Frankfurt am Main,In den Gräben 5,69,21241005,,,260,,260,,,,,,,,,,,,,,,,,,,14.0,,,,,,274,274,21241108,poststelle@berkersheimer-grundschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,274,14.0,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1738,8.69624,3,1.0,0,1,2,2,1,2,209,"2024,2023,2022",Unfallatlas
3167,412,0,1,,Boehleschule,65933,Frankfurt am Main,Jungmannstraße 3 - 5,69,21242670,,12.0,251,,251,,,,,,,,,,,,,,,,,,,,,,,,,263,251,21242709,poststelle@boehleschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,251,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.0919,8.60541,33,11.0,0,3,30,5,3,20,14,"2024,2023,2022",Unfallatlas
3168,412,0,1,,Bonifatiusschule,60486,Frankfurt am Main,Hamburger Allee 43,69,21233527,,,237,,237,,,,,,,,,,,,,,,,,,,11.0,,,,,,248,248,21235486,poststelle@bonifatiusschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,248,11.0,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1152,8.64761,100,33.3,0,13,87,31,7,47,65,"2024,2023,2022",Unfallatlas
