Schul-nummer,Landkreis,Gemeinde,rechtsform,gesamtschultyp,schulname,plz,ort,strasse,Telefon- vorwahl,Telefon-nummer,Kennung Internat,Vorklassen,Grundschulen,davon an_Eingangsstufe,Grundschule (inkl. GFLX),Förderstufe,Hauptschule,Mittelstufen-schule,Realschule,gesamtschultyp.1,Gymnasien,davon an_Gymnasien (Mittelstufe),Gymnasien (Oberstufe),Förderschulen,Förderschule mit Förderschwerpunkt_Sehen,emotionale und soziale Entwicklung,Hören,körperliche und motorische Entwicklung,Kranke,Lernen,Sprachheil-förderung,geistige Entwicklung,Realschul-klassen,Nichtdeutscher Herkunfts- sprache,Schulen für Erwachsene,davon an_Abend-hauptschule,Abend-realschule,Abend-gymnasium,Kolleg,Schülerinnen und Schüler insgesamt mit Vorklassen,Schülerinnen und Schüler insgesamt ohne Vorklassen,fax,email,traegerschaft,schueler_gesamt,ndh_count,school_type,stadt,bundesland,data_source,data_retrieved,latitude,longitude,traffic_accidents_total,traffic_accidents_per_year,traffic_accidents_fatal,traffic_accidents_serious,traffic_accidents_minor,traffic_accidents_bicycle,traffic_accidents_pedestrian,traffic_accidents_school_hours,traffic_nearest_accident_m,traffic_data_years,traffic_data_source
4324,412,0,2,,Lycée Français Victor Hugo,60488,Frankfurt am Main,Gontardstraße 11,69,7474980,,,289.0,,289.0,,,,,,241.0,241.0,,,,,,,,,,,,,,,,,,530,530,747498142,secretariat@lfvh.net,Privat,530,,Gesamtschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1349768,8.6077897,17,5.7,0,1,16,3,2,13,99,"2024,2023,2022",Unfallatlas
4383,412,0,2,,Phorms Frankfurt,60322,Frankfurt am Main,Fürstenberger Straße 3 - 9,69,17392550,,,895.0,174.0,721.0,,,,,,292.0,227.0,65.0,,,,,,,,,,,,,,,,,1187,1187,17392574,frankfurt@phorms.de,Privat,1187,,Gesamtschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1256666,8.6807275,72,24.0,0,11,61,44,8,35,92,"2024,2023,2022",Unfallatlas
4385,412,0,1,,Ludwig-Börne-Schule,60311,Frankfurt am Main,Lange Straße 30-36,69,21233056,,,,,,,149.0,,234.0,,,,,,,,,,,,,,,50.0,,,,,,433,433,21231646,poststelle@ludwig-boerne-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,433,50.0,Weiterführende Schule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1141171,8.6936718,143,47.7,0,16,127,55,32,76,32,"2024,2023,2022",Unfallatlas
4386,412,0,1,2.0,IGS Herder,60316,Frankfurt am Main,Wittelsbacher Allee 6-12,69,21235334,,,,,,,,,,571.0,,,,,,,,,,,,,,14.0,,,,,,585,585,21240536,poststelle@igs-herder.frankfurt.schulverwaltung.hessen.de,Öffentlich,585,14.0,Gesamtschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1178,8.70154,82,27.3,0,11,71,43,10,46,51,"2024,2023,2022",Unfallatlas
4387,412,0,1,,Gymnasium Riedberg,60438,Frankfurt am Main,Friedrich-Dessauer-Straße 2,69,21244001,,,,,,,,,,,1475.0,1083.0,392.0,,,,,,,,,,,24.0,,,,,,1499,1499,21244755,poststelle@gymnasium-riedberg.frankfurt.schulverwaltung.hessen.de,Öffentlich,1499,24.0,Gymnasium,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.177,8.63504,24,8.0,0,2,22,9,5,10,53,"2024,2023,2022",Unfallatlas
4389,412,0,2,,Rackow-Schule Frankfurt,60320,Frankfurt am Main,Eckenheimer Landstraße 303,69,552754,,,,,,,,,147.0,,132.0,132.0,,,,,,,,,,,,,,,,,,279,279,557763,poststelle@rackow.frankfurt.schulverwaltung.hessen.de,Privat,279,,Weiterführende Schule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1391219,8.6843858,38,12.7,0,8,30,15,3,23,29,"2024,2023,2022",Unfallatlas
4390,412,0,2,,ASB Erasmus Frankfurter Stadtschule,60314,Frankfurt am Main,Sonnemannstraße 9 - 11,69,25628890,,,,,,,,,,,202.0,162.0,40.0,,,,,,,,,,,,,,,,,202,202,2562889150,gymnasium@erasmus-frankfurt.de,Privat,202,,Weiterführende Schule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1100273,8.6973096,93,31.0,0,17,76,40,8,49,69,"2024,2023,2022",Unfallatlas
4391,412,0,1,2.0,IGS West,65929,Frankfurt am Main,Palleskestraße 20,69,21247087,,,,,,,,,,565.0,,,,,,,,,,,,,,29.0,,,,,,594,594,21247093,poststelle@igswest.frankfurt.schulverwaltung.hessen.de,Öffentlich,594,29.0,Gesamtschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1049704,8.5551009,63,21.0,0,4,59,14,9,36,129,"2024,2023,2022",Unfallatlas
4397,412,0,1,,Adorno-Gymnasium,60323,Frankfurt am Main,Miquelallee,69,21271917,,,,,,,,,,,1287.0,1052.0,235.0,,,,,,,,,,,13.0,,,,,,1300,1300,21275975,poststelle@adorno.frankfurt.schulverwaltung.hessen.de,Öffentlich,1300,13.0,Gymnasium,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1313088,8.6621918,52,17.3,0,5,47,14,6,40,3,"2024,2023,2022",Unfallatlas
4399,412,0,1,2.0,IGS Süd,60596,Frankfurt am Main,Textorstraße 104,69,21275401,,,,,,,,,,574.0,,,,,,,,,,,,,,22.0,,,,,,596,596,–,poststelle@igs-sued.frankfurt.schulverwaltung.hessen.de,Öffentlich,596,22.0,Gesamtschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.0986512,8.6791754,109,36.3,0,11,98,50,16,59,53,"2024,2023,2022",Unfallatlas
4401,412,0,1,,Gymnasium Nord (Westhausen),60488,Frankfurt am Main,Muckermannstraße 1,69,21275399,,,,,,,,,,,1397.0,1107.0,290.0,,,,,,,,,,,,,,,,,1397,1397,21274078,poststelle@gymnasium-nord.frankfurt.schulverwaltung.hessen.de,Öffentlich,1397,,Gymnasium,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1393,8.6099,14,4.7,0,2,12,8,4,12,77,"2024,2023,2022",Unfallatlas
4403,412,0,1,2.0,Josephine-Baker-Gesamtschule,60438,Frankfurt am Main,Gräfin-Dönhoff-Straße 11,69,21275644,,,,,,,,,,567.0,,,,,,,,,,,,,,23.0,,,,,,590,590,–,poststelle@josephine-baker-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,590,23.0,Gesamtschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1801612,8.637293,7,2.3,0,1,6,1,1,4,76,"2024,2023,2022",Unfallatlas
4405,412,0,1,,Toni-Sender-Oberstufe,60486,Frankfurt am Main,Voltastraße 1a,69,21244355,,,,,,,,,,,469.0,,469.0,,,,,,,,,,,,,,,,,469,469,–,poststelle@tso.frankfurt.schulverwaltung.hessen.de,Öffentlich,469,,Gymnasium,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1165541,8.6415209,73,24.3,0,12,61,20,10,31,37,"2024,2023,2022",Unfallatlas
4406,412,0,1,2.0,IGS 15,65929,Frankfurt am Main,Palleskestraße 60,69,21271432,,,,,,,,,,600.0,,,,,,,,,,,,,,13.0,,,,,,613,613,–,poststelle@igs15.frankfurt.schulverwaltung.hessen.de,Öffentlich,613,13.0,Gesamtschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1092,8.54279,69,23.0,0,5,64,20,15,38,44,"2024,2023,2022",Unfallatlas
4407,412,0,1,,Gymnasium Römerhof,60486,Frankfurt am Main,Am Römerhof 13 c,69,21270738,,,,,,,,,,,904.0,821.0,83.0,,,,,,,,,,,18.0,,,,,,922,922,21234389,poststelle@gym-roemerhof.frankfurt.schulverwaltung.hessen.de,Öffentlich,922,18.0,Gymnasium,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1075,8.6086,31,10.3,0,3,28,0,0,18,313,"2024,2023,2022",Unfallatlas
4413,412,0,1,2.0,Johanna-Tesch-Schule,60487,Frankfurt am Main,Falkstraße 60,69,21241134,,,,,,,,,,856.0,,,,,,,,,,,,,,,,,,,,856,856,–,poststelle@igs-norden.frankfurt.schulverwaltung.hessen.de,Öffentlich,856,,Weiterführende Schule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1244911,8.6463671,57,19.0,0,2,55,30,14,37,22,"2024,2023,2022",Unfallatlas
4415,412,0,1,,Stadtgymnasium Frankfurt,60487,Frankfurt am Main,Neue Börsenstraße 1,69,21249470,,,,,,,,,,,132.0,132.0,,,,,,,,,,,,,,,,,,132,132,–,poststelle.stadtgymnasium-frankfurt@stadt-frankfurt.de,Öffentlich,132,,Gymnasium,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1255059,8.6297126,37,12.3,0,8,29,20,3,22,221,"2024,2023,2022",Unfallatlas
4417,412,0,1,,Neues Gymnasium Frankfurt,60487,Frankfurt am Main,Neue Börsenstraße 1,69,21249480,,,,,,,,,,,128.0,128.0,,,,,,,,,,,,,,,,,,128,128,–,poststelle.neues-gymnasium-frankfurt@stadt-frankfurt.de,Öffentlich,128,,Gymnasium,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1255059,8.6297126,37,12.3,0,8,29,20,3,22,221,"2024,2023,2022",Unfallatlas
4419,412,0,2,,Karl Popper Schule,60528,Frankfurt am Main,Lyoner Straße 34,69,870046980,,,,,,,,,,,137.0,137.0,,,,,,,,,,,,,,,,,,137,137,–,mail@k-p-schule.de,Privat,137,,Weiterführende Schule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.0788933,8.6234083,29,9.7,0,4,25,3,5,17,71,"2024,2023,2022",Unfallatlas
4426,412,0,1,,Gymnasium Süd,60594,Frankfurt am Main,Diesterwegstraße 11,69,21241170,,,,,,,,,,,437.0,437.0,,,,,,,,,,,,,,,,,,437,437,21244710,poststelle@gym-sued.frankfurt.schulverwaltung.hessen.de,Öffentlich,437,,Gymnasium,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1017082,8.68286,95,31.7,0,10,85,38,17,48,49,"2024,2023,2022",Unfallatlas
5001,412,0,1,,Geschwister-Scholl-Schule,60439,Frankfurt am Main,Hadrianstraße 18,69,21238753,,,,,,,,,466.0,,,,,,,,,,,,,,,41.0,,,,,,507,507,21240337,poststelle@geschwister-scholl-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,507,41.0,Weiterführende Schule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1526,8.6377,23,7.7,0,0,23,5,2,16,96,"2024,2023,2022",Unfallatlas
5002,412,0,1,,Brüder-Grimm-Schule,60385,Frankfurt am Main,Luxemburgerallee 1 - 3,69,21235277,,,,,,,,,328.0,,,,,,,,,,,,,,,25.0,,,,,,353,353,21235164,poststelle@brueder-grimm-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,353,25.0,Weiterführende Schule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1199,8.71195,39,13.0,0,7,32,21,3,18,110,"2024,2023,2022",Unfallatlas
5003,412,0,1,,Deutschherrenschule,60594,Frankfurt am Main,Willemerstraße 24,69,21235335,,,,,,,,,385.0,,,,,,,,,,,,,,,14.0,,,,,,399,399,21234563,poststelle@deutschherrenschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,399,14.0,Weiterführende Schule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1044,8.69442,128,42.7,0,20,108,51,25,61,21,"2024,2023,2022",Unfallatlas
5004,412,0,1,,Anne-Frank-Schule,60320,Frankfurt am Main,Fritz-Tarnow-Straße 29,69,21238752,,,,,,,,,535.0,,,,,,,,,,,,,,,21.0,,,,,,556,556,21231874,poststelle@anne-frank-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,556,21.0,Weiterführende Schule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1432,8.67164,48,16.0,0,7,41,25,8,30,211,"2024,2023,2022",Unfallatlas
5007,412,0,1,,Louise-von-Rothschild-Schule,60389,Frankfurt am Main,Usinger Straße 24,69,21235341,,,,,,,,,355.0,,,,,,,,,,,,,,,23.0,,,,,,378,378,21234431,poststelle@louise-von-rothschild.frankfurt.schulverwaltung.hessen.de,Öffentlich,378,23.0,Weiterführende Schule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.131,8.70609,60,20.0,1,10,49,27,11,35,177,"2024,2023,2022",Unfallatlas
5010,412,0,1,,Falkschule,60327,Frankfurt am Main,Ludwigstraße 34 - 38,69,21233526,,,,,,,,,393.0,,,,,,,,,,,,,,,21.0,,,,,,414,414,21237615,poststelle@falkschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,414,21.0,Weiterführende Schule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1091,8.65824,211,70.3,0,25,186,71,37,100,57,"2024,2023,2022",Unfallatlas
5012,412,0,1,,Fürstenbergerschule,60322,Frankfurt am Main,Fürstenbergerstraße 152,69,21235145,,,,,,,,,356.0,,,,,,,,,,,,,,,42.0,,,,,,398,398,21231088,poststelle@fuerstenbergerschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,398,42.0,Weiterführende Schule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1241,8.67105,83,27.7,1,7,75,47,10,54,57,"2024,2023,2022",Unfallatlas
5013,412,0,1,,Robert-Koch-Schule,65929,Frankfurt am Main,Luciusstraße 2,69,21245567,,,,,,,,,555.0,,,,,,,,,,,,,,,16.0,,,,,,571,571,21245805,poststelle@robert-koch-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,571,16.0,Weiterführende Schule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.0981,8.54268,52,17.3,0,7,45,12,8,29,79,"2024,2023,2022",Unfallatlas
5101,412,0,1,,Wöhlerschule,60320,Frankfurt am Main,Mierendorffstraße 6,69,21235333,,,,,,,,,,,1327.0,941.0,386.0,,,,,,,,,,,11.0,,,,,,1338,1338,21232057,poststelle@woehlerschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,1338,11.0,Weiterführende Schule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1414,8.67419,70,23.3,0,11,59,33,10,43,83,"2024,2023,2022",Unfallatlas
5102,412,0,1,,Elisabethenschule,60322,Frankfurt am Main,Vogtstraße 35 - 37,69,21235144,,,,,,,,,,,1183.0,842.0,341.0,,,,,,,,,,,15.0,,,,,,1198,1198,21231320,poststelle@elisabethenschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,1198,15.0,Weiterführende Schule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1257,8.67553,57,19.0,1,9,47,27,6,26,111,"2024,2023,2022",Unfallatlas
5104,412,0,1,,Carl-Schurz-Schule,60596,Frankfurt am Main,Holbeinstraße 21 - 23,69,21233840,,,,,,,,,,,899.0,571.0,328.0,,,,,,,,,,,,,,,,,899,899,21240554,poststelle@carl-schurz-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,899,,Weiterführende Schule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1008,8.67605,91,30.3,0,10,81,41,16,42,40,"2024,2023,2022",Unfallatlas
5105,412,0,1,,Ziehenschule,60433,Frankfurt am Main,Josephskirchstraße 9,69,21234147,,,,,,,,,,,1298.0,918.0,380.0,,,,,,,,,,,,,,,,,1298,1298,21232060,poststelle@ziehenschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,1298,,Weiterführende Schule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1563,8.65964,38,12.7,0,7,31,21,3,29,125,"2024,2023,2022",Unfallatlas
5106,412,0,1,,Bettinaschule,60325,Frankfurt am Main,Feuerbachstraße 37 - 47,69,21233028,,,,,,,,,,,937.0,663.0,274.0,,,,,,,,,,,,,,,,,937,937,21234975,poststelle@bettinaschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,937,,Weiterführende Schule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1163,8.66293,93,31.0,0,10,83,57,10,57,53,"2024,2023,2022",Unfallatlas
5107,412,0,1,,Helene-Lange-Schule,65929,Frankfurt am Main,Breuerwiesenstraße 4,69,21245503,,,,,,,,,,,667.0,667.0,,,,,,,,,,,,13.0,,,,,,680,680,21245766,poststelle.helene-lange-schule@stadt-frankfurt.de,Öffentlich,680,13.0,Weiterführende Schule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1071,8.55401,45,15.0,0,2,43,9,7,28,121,"2024,2023,2022",Unfallatlas
5108,412,0,1,,Helmholtzschule,60385,Frankfurt am Main,Habsburgerallee 57 - 59,69,21235284,,,,,,,,,,,900.0,638.0,262.0,,,,,,,,,,,,,,,,,900,900,21232974,poststelle@helmholtzschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,900,,Weiterführende Schule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.116,8.70914,43,14.3,0,4,39,23,5,22,37,"2024,2023,2022",Unfallatlas
5109,412,0,1,,Schillerschule,60596,Frankfurt am Main,Morgensternstraße 3,69,21233058,,,,,,,,,,,1169.0,801.0,368.0,,,,,,,,,,,13.0,,,,,,1182,1182,21240563,poststelle@schillerschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,1182,13.0,Weiterführende Schule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1018,8.67766,111,37.0,0,11,100,53,21,51,84,"2024,2023,2022",Unfallatlas
5110,412,0,1,,Heinrich-von-Gagern-Gymnasium,60316,Frankfurt am Main,Bernhard-Grzimek-Allee 6 - 8,69,21235150,,,,,,,,,,,840.0,559.0,281.0,,,,,,,,,,,23.0,,,,,,863,863,21240537,poststelle@heinrich-von-gagern-gymnasium.frankfurt.schulverwaltung.hessen.de,Öffentlich,863,23.0,Gymnasium,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.114,8.70149,89,29.7,0,11,78,34,14,46,97,"2024,2023,2022",Unfallatlas
5111,412,0,1,,Lessing-Gymnasium,60322,Frankfurt am Main,Fürstenbergerstraße 166,69,21235136,,,,,,,,,,,755.0,518.0,237.0,,,,,,,,,,,11.0,,,,,,766,766,21240568,poststelle@lessinggymnasium.frankfurt.schulverwaltung.hessen.de,Öffentlich,766,11.0,Gymnasium,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1249,8.67222,68,22.7,1,6,61,32,10,42,61,"2024,2023,2022",Unfallatlas
5112,412,0,1,,Freiherr-vom-Stein-Schule,60594,Frankfurt am Main,Schweizer Straße 87,69,21233841,,,,,,,,,,,1053.0,760.0,293.0,,,,,,,,,,,,,,,,,1053,1053,21231895,poststelle@freiherr-vom-stein-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,1053,,Weiterführende Schule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.0996,8.68418,102,34.0,0,10,92,45,18,57,30,"2024,2023,2022",Unfallatlas
5113,412,0,1,,Liebigschule,60488,Frankfurt am Main,Kollwitzstraße 3,69,21239479,,,,,,,,,,,1074.0,765.0,309.0,,,,,,,,,,,14.0,,,,,,1088,1088,21239480,poststelle@liebigschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,1088,14.0,Gesamtschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.135,8.60963,25,8.3,0,3,22,9,5,20,51,"2024,2023,2022",Unfallatlas
5114,412,0,1,,Leibnizschule,65929,Frankfurt am Main,Gebeschusstraße 22-24,69,21245505,,,,,,,,,,,918.0,918.0,,,,,,,,,,,,18.0,,,,,,936,936,21245779,poststelle@leibnizschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,936,18.0,Weiterführende Schule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1051,8.54184,83,27.7,0,6,77,23,15,46,143,"2024,2023,2022",Unfallatlas
